categorie,produit,count_france_to_dunkerque,count_etranger_to_dunkerque,count_france_to_autres_portsfrancs,count_etranger_to_autres_portsfrancs
Boissons alcoolisées,"Bière, cidre et vinaigre",8,4,12,6
Boissons alcoolisées,Eaux-de-vie et liqueurs,14,16,31,24
Boissons alcoolisées,Vin de liqueurs,0,0,0,3
Boissons alcoolisées,Vins de Bordeaux,1,0,0,1
Boissons alcoolisées,Vins divers,17,16,48,42
Produits coloniaux,Cacao et chocolat,1,2,3,25
Produits coloniaux,Café,0,3,1,11
Produits coloniaux,Cannelle,0,4,1,7
Produits coloniaux,Cochenille,1,0,1,4
Produits coloniaux,Coton non transformé,1,5,3,10
Produits coloniaux,Denrées coloniales et épiceries diverses,1,4,1,8
Produits coloniaux,Indigo,0,4,3,24
Produits coloniaux,Quinquina,0,0,1,6
Produits coloniaux,Sucre,1,10,1,11
Produits coloniaux,Tabac,9,7,2,21
Produits coloniaux,Thé,0,6,0,8
Produits coloniaux,Girofle,1,1,0,1
Produits coloniaux,Muscades,1,2,0,1
Soieries,Bonneterie de soie,2,0,4,0
Soieries,Châles et mouchoirs de soie,0,4,4,3
Soieries,Châles et mouchoirs hors soie,9,5,17,9
Soieries,Dentelles,7,2,13,2
Soieries,Étoffes de soie,6,5,20,17
Soieries,"Filoselle, fleuret et bourre de soie",0,0,1,4
Soieries,"Mousseline, basin et nankin",1,5,16,10
Soieries,Rubanerie et passementerie de soie,6,0,9,5
Soieries,Rubanerie et passementerie diverse,0,2,6,2
Soieries,Soie,2,3,4,33
Soieries,Soieries diverses,3,4,7,12
