produit,%_sur_total_dunkerque_from_étranger.csv
Toiles diverses,11.613712308365287
Blé et autres grains comestibles,11.51884354632006
Café,9.634563450894602
Sucre,8.57967517889944
Toiles de coton,7.802778071524371
Eaux-de-vie et liqueurs,5.4089985218464385
Tabac,4.683177606229767
Étoffes de laine,3.9791167135703627
Châles et mouchoirs hors soie,2.974247145598359
Coton non transformé,2.704401431661369
Ouvrages métalliques,2.628579095191133
Thé,1.995479356395262
"Gravelée, potasse et védasse",1.6846967549102136
Soie,1.5045022423864376
Étoffes de soie,1.2763457696064981
Fruits frais,1.2607513194139375
Quincaillerie,1.2366923088031894
"Farine, gruau, biscuits et pâtes",1.1473998146834268
"Cuirs, peaux et pelleterie",1.0216123473572356
Toiles de chanvre et de lin,0.9916183615275713
