produit,%_sur_total_autres_portsfrancs_from_étranger.csv
Huiles diverses,13.300959874396225
Café,11.059002717474362
Sucre,10.089164847387256
Blé et autres grains comestibles,9.689780277177313
Coton non transformé,6.325701912380745
Fils divers,4.641431343308352
Étoffes de laine,3.712538351102084
Soie,3.237890592698653
Laines non transformées diverses,2.7920547212060858
"Cuirs, peaux et pelleterie",2.759462052943206
Soieries diverses,2.688025563393272
Ouvrages métalliques,2.4527011410254524
Indigo,2.083027318044406
Cochenille,1.4761724685001751
Chanvre,1.416385052953179
Cendres diverses,1.2281620703177796
Toiles de coton,1.0780710441238242
Cacao et chocolat,1.0063796227098933
Alcalis,0.977014729442198
Toiles diverses,0.9749216063772115
