produit,%_dunkerque_sur_portsfrancs.csv
[vide],100.0
Provisions diverses,100.0
Thé,97.74212539133451
Azur et cobalt,95.57660332141823
Chevaux et bêtes de somme,94.04761904761905
Divers incertains,93.55221631789621
Divers mélangés,89.62944145121538
Eaux-de-vie et liqueurs,82.70822599054286
Plumes ouvrées,81.88676908208566
Châles et mouchoirs hors soie,80.81074863198285
Beurre,79.85788583526113
Sel,78.16544948990371
Cordonnerie et sellerie,77.86355475763015
Graines grasses,71.02039694637499
Toiles diverses,69.40576475936456
"Bougies, chandelles et flambeaux",67.452900836048
Tabac,66.74378562552134
"Gravelée, potasse et védasse",66.43660048910617
Toiles de coton,62.71468647715076
Produits inconnus,60.47268411947213
