Série,Destination,Flows_from_France,Flows_from_Étranger
Boissons alcoolisées,Dunkerque,47,49
Boissons alcoolisées,Autres ports francs,91,83
Produits coloniaux,Dunkerque,17,67
Produits coloniaux,Autres ports francs,17,137
Soieries,Dunkerque,36,51
Soieries,Autres ports francs,101,97

