"Produit","Destination","France","Étranger",,,,,,,,,,
"Beurre","Dunkerque","157041.5",48838,,,,,,,,,,"0,101338364717432"
"Beurre","Autres ports francs","41465.65","10462.2",,,,,,,,,,
"Café","Dunkerque",0,4136305,,,,,,,,,,
"Café","Autres ports francs","256.8","15901077.8",,,,,,,,,,
"Coton non transformé","Dunkerque","10286.9",1161052,,,,,,,,,,
"Coton non transformé","Autres ports francs",3609,9095348,,,,,,,,,,
"Eaux-de-vie et liqueurs","Dunkerque","1048964.37",2322188,,,,,,,,,,
"Eaux-de-vie et liqueurs","Autres ports francs","624819.41",79986,,,,,,,,,,
"Sucre","Dunkerque",61,3683421,,,,,,,,,,
"Sucre","Autres ports francs","6729.3",14506606,,,,,,,,,,
"Tabac","Dunkerque","223132.8",2010579,,,,,,,,,,
"Tabac","Autres ports francs","106928.1","1006056.39",,,,,,,,,,
"Thé","Dunkerque",0,856698,,,,,,,,,,
"Thé","Autres ports francs",0,1979,,,,,,,,,,
"Vins divers","Dunkerque","110470.08",164861,,,,,,,,,,
"Vins divers","Autres ports francs","2227199.11","176663.3",,,,,,,,,,
