produit,france_to_autres_portsfrancs
Étoffes de laine,12667038
Étoffes de soie,3046500.45
Blé et autres grains comestibles,2396549.16
Vins divers,2227199.11
Huile d'olive à manger,2004662.5
Animaux,1754082.6
"Mousseline, basin et nankin",1617577.5
Combustibles dont charbons et bois,1518735.19
Mercerie,1391624.5
Soieries diverses,1288925
Étoffes diverses,1058560.25
Dorure,1049675
Rubanerie et passementerie de soie,1035878.5
"Cuirs, peaux et pelleterie",909472.55
Toiles de chanvre et de lin,874884.5
Toiles diverses,818696
Fruits secs et noix,641412.84
Eaux-de-vie et liqueurs,624819.41
Dentelles,519416
Chapeaux hors paille et écorce,507772
