produit,%_sur_total_dunkerque.csv
Toiles diverses,10.71152458088673
Blé et autres grains comestibles,10.515704716178194
Café,8.795520480114291
Sucre,7.832628727604069
Toiles de coton,7.296256367020169
Eaux-de-vie et liqueurs,7.168484853124726
Tabac,4.74980879030702
Étoffes de laine,3.8890919386698397
Châles et mouchoirs hors soie,2.7299911866440825
Coton non transformé,2.4907581236572964
Ouvrages métalliques,2.416930427265564
Thé,1.8216995130371076
"Gravelée, potasse et védasse",1.5379819631805933
Soie,1.4021441456622572
Toiles de chanvre et de lin,1.3618314807930063
Étoffes de soie,1.1880073015685675
Quincaillerie,1.157297548111361
Fruits frais,1.156278737789153
Sel,1.0900690709970309
"Farine, gruau, biscuits et pâtes",1.0478932540126713
