produit,etranger_to_autres_portsfrancs
Huiles diverses,19124653.75
Café,15901077.8
Sucre,14506606
Blé et autres grains comestibles,13932354.84
Coton non transformé,9095348
Fils divers,6673636.2
Étoffes de laine,5338036.59
Soie,4655569
Laines non transformées diverses,4014528.3
"Cuirs, peaux et pelleterie",3967665.25
Soieries diverses,3864951
Ouvrages métalliques,3526592.1
Indigo,2995060.25
Chanvre,2036535.26
Cendres diverses,1765900.7
Toiles de coton,1550093.8
Cacao et chocolat,1447013
Alcalis,1404790.98
Toiles diverses,1401781.4
Cuivre,1253559.05
