produit,%_sur_total_autres_portsfrancs.csv
Huiles diverses,10.095536770902552
Étoffes de laine,9.495081852936664
Blé et autres grains comestibles,8.611143448970681
Café,8.385662211063527
Sucre,7.653692626636781
Coton non transformé,4.79838842426421
Fils divers,3.6073349590350494
Soieries diverses,2.717926784190004
"Cuirs, peaux et pelleterie",2.5719872691678236
Soie,2.4752559417116013
Laines non transformées diverses,2.183265078095175
Ouvrages métalliques,1.972141745397052
Étoffes de soie,1.6908613771087575
Indigo,1.586013958849185
Vins divers,1.2676909666722584
Toiles diverses,1.1709818007163115
Huile d'olive à manger,1.1248397985026735
Cochenille,1.1211796830694638
Chanvre,1.08702511353473
Toiles de coton,1.0757799058937643
