produit,%_sur_total_dunkerque_from_France.csv
Eaux-de-vie et liqueurs,25.61282989882252
Dentelles,7.351693441321843
Tabac,5.448290232348913
Toiles de chanvre et de lin,5.242701931894996
Sel,4.613937905427377
Beurre,3.834522252237524
Savon,3.134528400488663
Étoffes de laine,2.94538013971533
Fils divers,2.8587721385582903
Vins divers,2.6973759342898904
Produits inconnus,2.553580876516609
Fruits secs et noix,2.2380262127400203
Combustibles dont charbons et bois,2.1696439692165526
Toiles de coton,1.986490144384594
Laines non transformées diverses,1.8583312429094998
Ouvrages divers et mélangés,1.7776493679830816
Drogues diverses,1.4345625228049
Huile d'olive à manger,1.4341034906597014
Toiles diverses,1.2540701830915082
Chapeaux hors paille et écorce,1.154643123404035
