produit,etranger_to_dunkerque
Toiles diverses,4985992
Blé et autres grains comestibles,4945263
Café,4136305
Sucre,3683421
Toiles de coton,3349884
Eaux-de-vie et liqueurs,2322188
Tabac,2010579
Étoffes de laine,1708312
Châles et mouchoirs hors soie,1276902
Coton non transformé,1161052
Thé,856698
"Gravelée, potasse et védasse",723273
Soie,645912
Fruits frais,541265
Quincaillerie,530936
"Farine, gruau, biscuits et pâtes",492601
"Cuirs, peaux et pelleterie",438598
Toiles de chanvre et de lin,425721
Huile d'olive à manger,409069
Divers mélangés,372336
