produit,%_dunkerque_sur_portsfrancs_from_étranger.csv
Chapeaux hors paille et écorce,100.0
"Graines de trèfle, de luzerne et de prairie",100.0
Dorure,100.0
Objets d'art et d'histoire naturelle,100.0
Gants,100.0
Plumes ouvrées,100.0
"Armes, munitions, poudre et pierres à fusil",100.0
Chevaux et bêtes de somme,100.0
Graines de jardin,100.0
Provisions diverses,100.0
Divers incertains,99.31318681318682
Sel,99.2031115429293
Produits inconnus,98.26482357220807
Thé,97.74212539133451
Châles et mouchoirs hors soie,97.38214864234138
Eaux-de-vie et liqueurs,96.67026618347934
Azur et cobalt,95.57660332141823
"Meubles, glaces et miroirs",94.7593289432424
Divers mélangés,93.61915284492916
Cordonnerie et sellerie,92.96227493569592
