produit,% / total Autres Ports Francs,% / total Autres Ports Francs (from France),% / total Autres Ports Francs (from étranger),% / total Dunkerque,% / total Dunkerque (from France),% / total Dunkerque (from étranger),% Dunkerque / Ports Francs,% Dunkerque / Ports Francs (from France),% Dunkerque / Ports Francs (from étranger),etranger_to_autres_portsfrancs,etranger_to_dunkerque,france_to_autres_portsfrancs,france_to_dunkerque
Verrerie,0.16,0.6,0.02,0.18,0.65,0.14,21.79,8.81,65.59,30717.54,58553,274566.96,26522
Beurre,0.03,0.09,0.01,0.44,3.83,0.11,79.86,79.11,82.36,10462.2,48838,41465.65,157041.5
"Bière, cidre et vinaigre",0.03,0.06,0.03,0.06,0.29,0.03,30.14,31.78,28.96,36864,15026,25616.2,11931.68
Eaux-de-vie et liqueurs,0.37,1.36,0.06,7.17,25.61,5.41,82.71,62.67,96.67,79986,2322188,624819.41,1048964.37
Matières premières diverses,0.41,0.6,0.35,0.22,0.56,0.19,11.6,7.69,13.58,509994.29,80153,276226.06,23006.25
Sirop et mélasse,0.01,0.02,0,0.01,0.02,0.01,28.07,8.02,51.77,3969,426,8944,78
Divers mélangés,0.02,0.04,0.02,0.8,0.06,0.87,89.63,12.75,93.62,25377.49,372336,18008,2631
Mercerie,0.88,3.04,0.19,0.23,0.4,0.22,6.2,1.17,25.42,275162.32,93805,1391624.5,16409
Ouvrages divers et mélangés,0.13,0.22,0.1,0.36,1.78,0.22,40.72,41.65,40.03,141348.67,94333,102003,72803
Vins divers,1.27,4.86,0.12,0.59,2.7,0.38,10.28,4.73,48.27,176663.3,164861,2227199.11,110470.08
Fruits secs et noix,0.51,1.4,0.23,0.25,2.24,0.07,10.93,12.5,7.76,334628.08,28147,641412.84,91657.57
Papier,0.18,0.66,0.02,0.1,0.23,0.09,12.13,3.03,52.89,32799,36826,302454.5,9455
"Brai, goudron et résines",0.15,0.24,0.13,0.09,0.01,0.1,12.6,0.53,18.43,183825.7,41536,108321.4,576
Chapeaux hors paille et écorce,0.27,1.11,0,0.16,1.15,0.06,12.6,8.52,1,0,25946,507772,47288
Matières brutes et transformées pour teinture,0.34,0.13,0.4,0.54,0.2,0.57,28.24,12.14,29.58,581563.92,2443,60657.76,8379.38
Huiles diverses,10.1,0.04,13.3,0.12,0.18,0.11,0.29,27.53,0.25,19124653.75,48739,19035.1,7229.3
Térébenthine,0,0.01,0,0,0.02,0,9.36,9.36,,0,0,6796.8,702
Miel,0.02,0.09,0,0.03,0.24,0.01,26.13,18.67,89.9,611.7,5445,42081.2,9658.86
Plumes brutes,0.05,0.17,0.01,0.07,0.01,0.08,26.49,0.29,75.34,10574.2,32313,79763.25,235
Toiles diverses,1.17,1.79,0.97,10.71,1.25,11.61,69.41,5.9,78.06,1401781.4,4985992,818696,5136
"Graines de trèfle, de luzerne et de prairie",0.01,0.03,0,0.03,0.26,0,43.92,40.95,1,0,1356,15122.8,10486.8
"Ouvrages de bois, liège et jonc",0.72,0.71,0.72,0.66,1.04,0.62,18.51,11.61,20.46,1034142.39,265946,323212.66,42456.82
