port de départ,port de destination,produit,tonnage pondéré
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,25.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,25.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,25.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Roscoff,Mount's Bay,Eau-de-vie,3.0
Roscoff,Mount's Bay,Eau-de-vie,4.0
Roscoff,Helford,Eau-de-vie,7.0
Roscoff,Cork,Eau-de-vie,9.0
Roscoff,Coverack,Eau-de-vie,1.0
Roscoff,Coverack,Diverses marchandises,1.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Plymouth,Eau-de-vie,5.0
Roscoff,Mount's Bay,Eau-de-vie,4.0
Roscoff,Cawsand,Eau-de-vie,50.0
Roscoff,Falmouth,Eau-de-vie,30.0
Roscoff,Cadgwith,Eau-de-vie,4.0
Roscoff,îles Scilly,Eau-de-vie,6.0
Roscoff,îles Scilly,Eau-de-vie,3.0
Roscoff,Falmouth,Eau-de-vie,7.0
Roscoff,cap Lizard,Eau-de-vie,2.0
Roscoff,Mount's Bay,Eau-de-vie,20.0
Roscoff,Mount's Bay,Eau-de-vie,4.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Plymouth,Eau-de-vie,2.0
Roscoff,Plymouth,Diverses marchandises,2.0
Roscoff,Coverack,Eau-de-vie,4.0
Roscoff,Coverack,Eau-de-vie,4.0
Roscoff,îles Scilly,Eau-de-vie,4.0
Roscoff,Mount's Bay,Eau-de-vie,5.0
Roscoff,Cawsand,Eau-de-vie,25.0
Roscoff,Dartmouth,Eau-de-vie,30.0
Roscoff,Polperro,Eau-de-vie,11.0
Roscoff,Kinsale,Eau-de-vie,6.0
Roscoff,Autre en Angleterre,Eau-de-vie,10.0
Roscoff,Mount's Bay,Eau-de-vie,4.0
Roscoff,Mount's Bay,Eau-de-vie,4.0
Roscoff,Mount's Bay,Eau-de-vie,2.0
Roscoff,Mount's Bay,Eau-de-vie,0.0
Roscoff,Mount's Bay,Eau-de-vie,3.0
Roscoff,Mount's Bay,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,3.0
Roscoff,Coverack,Eau-de-vie,14.0
Roscoff,Helford,Eau-de-vie,2.0
Roscoff,Newlyn,Eau-de-vie,3.0
Roscoff,Porthleven,Eau-de-vie,18.0
Roscoff,Nordkapp / Cap Nord),Eau-de-vie,25.0
Roscoff,Combe Martin,Eau-de-vie,4.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,3.0
Roscoff,Autre en Angleterre,Eau-de-vie,12.0
Roscoff,Mount's Bay,Eau-de-vie,5.0
Roscoff,Mount's Bay,Eau-de-vie,2.0
Roscoff,Mount's Bay,Sel,2.0
Roscoff,Guernesey,Eau-de-vie,100.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,1.5
Roscoff,Coverack,Diverses marchandises,1.5
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,4.0
Roscoff,Coverack,Eau-de-vie,4.0
Roscoff,Coverack,Sel,1.5
Roscoff,Coverack,Eau-de-vie,1.5
Roscoff,Cork,Eau-de-vie,9.0
Roscoff,Autre en Angleterre,Eau-de-vie,4.0
Roscoff,Cadgwith,Eau-de-vie,4.0
Roscoff,Cadgwith,Eau-de-vie,6.0
Roscoff,Helford,Eau-de-vie,0.0
Roscoff,Cawsand,Eau-de-vie,22.0
Roscoff,Cawsand,Eau-de-vie,50.0
Roscoff,îles Scilly,Eau-de-vie,4.0
Roscoff,îles Scilly,Eau-de-vie,4.0
Roscoff,îles Scilly,Eau-de-vie,5.0
Roscoff,Penzance,Eau-de-vie,3.0
Roscoff,Polperro,Eau-de-vie,18.0
Roscoff,Plymouth,Eau-de-vie,8.0
Roscoff,cap Lizard,Eau-de-vie,4.0
Roscoff,île de Man,Eau-de-vie,28.0
Roscoff,Gweek,Eau-de-vie,14.0
Roscoff,Mount's Bay,Eau-de-vie,0.0
Roscoff,Mount's Bay,Eau-de-vie,7.0
Roscoff,Falmouth,Eau-de-vie,4.0
Roscoff,Coverack,Eau-de-vie,3.0
Roscoff,Coverack,Eau-de-vie,3.0
Roscoff,Coverack,Eau-de-vie,4.0
Roscoff,Plymouth,Eau-de-vie,4.0
Roscoff,Polperro,Eau-de-vie,28.0
Roscoff,Cawsand,Eau-de-vie,50.0
Roscoff,Autre en Angleterre,Eau-de-vie,8.0
Roscoff,Combe Martin,Eau-de-vie,4.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,1.0
Roscoff,Coverack,Diverses marchandises,1.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Plymouth,Eau-de-vie,4.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,3.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,7.5
Roscoff,Coverack,Diverses marchandises,7.5
Roscoff,Mount's Bay,Eau-de-vie,5.0
Roscoff,Mount's Bay,Eau-de-vie,4.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Coverack,Eau-de-vie,2.0
Roscoff,Mount's Bay,Eau-de-vie,4.0
Roscoff,Cork,Eau-de-vie,3.0
Roscoff,Plymouth,Eau-de-vie,16.0
Roscoff,îles Scilly,Eau-de-vie,0.0
Roscoff,Cork,Eau-de-vie,6.0
Roscoff,Mount's Bay,Eau-de-vie,4.0
Roscoff,Mount's Bay,Eau-de-vie,18.0
Roscoff,Mount's Bay,Eau-de-vie,20.0
Roscoff,Cawsand,Eau-de-vie,32.0
Roscoff,Fowey,Eau-de-vie,8.0
Roscoff,îles Scilly,Eau-de-vie,2.0
Roscoff,îles Scilly,Diverses marchandises,2.0
Roscoff,îles Scilly,Eau-de-vie,4.0
Roscoff,îles Scilly,Eau-de-vie,6.0
Roscoff,Falmouth,Eau-de-vie,3.0
Roscoff,Falmouth,Diverses marchandises,3.0
Roscoff,Penzance,Eau-de-vie,3.0
Roscoff,Penzance,Eau-de-vie,3.0
Roscoff,Penzance,Eau-de-vie,4.0
Roscoff,Plymouth,Eau-de-vie,5.0
Lorient,Bergue ,Café,25.0
Lorient,Bergue ,Eau-de-vie,25.0
Lorient,Îles Féroé,Lest,19.0
Lorient,Îles Féroé,Eau-de-vie,0.0
Lorient,Bergue ,Eau-de-vie,19.0
Lorient,Bergue ,Café,19.0
Lorient,Îles Féroé,Eau-de-vie,50.0
Lorient,Bergue ,Eau-de-vie,45.0
Lorient,Îles Féroé,Eau-de-vie,26.0
Lorient,Îles Féroé,Bière,26.0
Lorient,Îles Féroé,Eau-de-vie,48.0
Lorient,Îles Féroé,Eau-de-vie,15.0
Lorient,Îles Féroé,Eau-de-vie,13.0
Lorient,Îles Féroé,Eau-de-vie,13.0
Lorient,Îles Féroé,Eau-de-vie,32.0
Lorient,Îles Féroé,Eau-de-vie,25.0
Lorient,Îles Féroé,Eau-de-vie,7.0
Lorient,Îles Féroé,Eau-de-vie,40.0
Lorient,Îles Féroé,Café,20.0
Lorient,Îles Féroé,Eau-de-vie,20.0
Lorient,Îles Féroé,Eau-de-vie,40.0
Lorient,Bergue ,Eau-de-vie,38.0
Lorient,Îles Féroé,Eau-de-vie,36.0
Lorient,Îles Féroé,Eau-de-vie,36.0
Lorient,Îles Féroé,Eau-de-vie,45.0
Lorient,Îles Féroé,Eau-de-vie,22.0
Lorient,Îles Féroé,Eau-de-vie,18.0
Lorient,Îles Féroé,Eau-de-vie,24.0
Lorient,Îles Féroé,Eau-de-vie,20.0
Lorient,Îles Féroé,Eau-de-vie,35.0
Lorient,Îles Féroé,Eau-de-vie,21.0
Lorient,Îles Féroé,Vin,21.0
Lorient,Îles Féroé,Eau-de-vie,30.0
Lorient,Îles Féroé,Eau-de-vie,30.0
Lorient,Îles Féroé,Eau-de-vie,30.0
Lorient,Îles Féroé,Eau-de-vie,38.0
Lorient,Norvège,Eau-de-vie,36.0
Lorient,Îles Féroé,Eau-de-vie,18.0
Lorient,Îles Féroé,Eau-de-vie,26.0
Bordeaux,Îles Féroé,Eau-de-vie,22.0
Bordeaux,Îles Féroé,Eau-de-vie,8.5
Bordeaux,Îles Féroé,Diverses marchandises,8.5
Bordeaux,Îles Féroé,Vin,7.5
Bordeaux,Îles Féroé,Eau-de-vie,7.5
Bordeaux,Îles Féroé,Eau-de-vie,20.0
Bordeaux,Bergue ,Eau-de-vie,36.0
Bordeaux,Bergue ,Diverses marchandises,36.0
Bordeaux,Îles Féroé,Diverses marchandises,24.0
Bordeaux,Îles Féroé,Eau-de-vie,24.0
Bordeaux,Îles Féroé,Eau-de-vie,22.0
Bordeaux,Îles Féroé,Eau-de-vie,25.0
Bordeaux,Îles Féroé,Diverses marchandises,25.0
Bordeaux,Îles Féroé,Eau-de-vie,20.0
Bordeaux,Îles Féroé,Diverses marchandises,20.0
Bordeaux,Îles Féroé,Vin,8.0
Bordeaux,Îles Féroé,Eau-de-vie,8.0
Bordeaux,Bergue ,Eau-de-vie,76.0
Bordeaux,Îles Féroé,Eau-de-vie,12.5
Bordeaux,Îles Féroé,Diverses marchandises,12.5
Bordeaux,Îles Féroé,Vin,23.0
Bordeaux,Îles Féroé,Eau-de-vie,23.0
Bordeaux,Bergue ,Diverses marchandises,12.5
Bordeaux,Bergue ,Eau-de-vie,12.5
Bordeaux,Îles Féroé,Eau-de-vie,72.0
Bordeaux,Îles Féroé,Vin,31.0
Bordeaux,Îles Féroé,Eau-de-vie,31.0
