port de départ,total des trajets anglais,trajets anglais smoggleurs,% de trajets anglais smoggleurs,total tonnage,tonnage smoggleur,% de tonnage smoggleurs,total des destinations,destinations smoggleurs,% de destination smoggleurs,smoggleurs avec produits de contrebande,% de smoggleurs avec produits de contrebande
dunkerque,1274,1042,81.78963893249608,103623,12504,12.066819142468372,154,13,3.934740882917467,41,0
calais,820,811,98.90243902439025,28202,17907,63.49549677327849,57,20,0,0,0
boulogne,1473,1472,99.93211133740665,23315,9946,42.659232253913785,34,2,0,0,0
roscoff,157,121,77.07006369426752,5555,1006,18.10981098109811,56,23,100.0,121,0
lorient,122,58,47.540983606557376,67731,2008,2.9646690584813453,143,3,94.82758620689656,55,0
bordeaux,174,25,14.367816091954023,262899,947,0.3602143789059677,206,2,100.0,25,0
