partner_simplification,nb observations,valeur cumulée lt
France,291,2416272.7067099973
Monde,8,5136098.0
Espagne,9,38458.65464996001
Angleterre,16,4881321.9543871945
Portugal,2,41340.53201809998
Hollande,16,161531.30815289996
Nord,27,910801.09657222
Flandre et autres états de l'Empereur,6,410697.22745461005
États-Unis d'Amérique,3,53529.16472571
Afrique,150,1591040.0
Amériques,45,71418.0
Asie,1,38060.0
