,pays,tonnage_sans_vide_ni_peche,tonnage_vide,tonnage_peche
0,Danemark,40026.0,5041.0,0.0
1,Angleterre,140785.0,15013.0,18042.0
2,Russie,14503.0,0.0,0.0
3,Espagne,36093.0,7401.0,0.0
4,Hollande,73248.0,3632.0,0.0
5,Portugal,33931.0,2782.0,890.0
6,Villes hanséatiques,65623.0,442.0,0.0
7,Suède,14059.0,945.0,0.0
8,États-Unis d'Amérique,19652.0,6444.0,0.0
9,Etats de l'Empereur,28040.0,60.0,0.0
10,Prusse,17179.0,1466.0,0.0
