bureau,partenaire,valeur lt
Les Sables d'Olonne,étranger,0
Les Sables d'Olonne,france,43006
Les Sables d'Olonne,colonies,0
La Rochelle,étranger,1500189
La Rochelle,france,1383337
La Rochelle,colonies,7097485
Aligre,étranger,6562
Aligre,france,280487
Aligre,colonies,0
Rochefort,étranger,1143530
Rochefort,france,479619
Rochefort,colonies,368288
Saint-Martin-de-Ré,étranger,251740
Saint-Martin-de-Ré,france,116103
Saint-Martin-de-Ré,colonies,0
Tonnay-Charente,étranger,215378
Tonnay-Charente,france,123765
Tonnay-Charente,colonies,0
Marennes,étranger,15980
Marennes,france,12676
Marennes,colonies,0
