rowIndex,product,region,year,partner,import,value,source
1,Coton en rame,Bordeaux,1787,Angleterre,false,1796000,AN F12 835
2,Indigo,Bordeaux,1787,Angleterre,false,41000,AN F12 835
3,Objets divers dont le plus fort article n'excede pas 10000 livres,Bordeaux,1787,Angleterre,false,74000,AN F12 835
4,Drogueries diverses,Bordeaux,1787,Angleterre,false,46000,AN F12 835
5,Vin divers,Bordeaux,1787,Angleterre,false,3996000,AN F12 835
6,Eau de vie diverses,Bordeaux,1787,Angleterre,false,665000,AN F12 835
7,Vinaigre,Bordeaux,1787,Angleterre,false,25000,AN F12 835
8,Fruits Secs confits &c.,Bordeaux,1787,Angleterre,false,133000,AN F12 835
9,Anchois capres &c.,Bordeaux,1787,Angleterre,false,16000,AN F12 835
10,Liege en planches,Bordeaux,1787,Angleterre,false,20000,AN F12 835
11,Peaux appretées,Bordeaux,1787,Angleterre,false,90000,AN F12 835
12,Papiers divers,Bordeaux,1787,Angleterre,false,40000,AN F12 835
13,Graines de Lin,Bordeaux,1787,Angleterre,false,46000,AN F12 835
14,Graines de Genievre,Bordeaux,1787,Angleterre,false,199000,AN F12 835
15,Toile Batiste,Bordeaux,1787,Angleterre,false,20000,AN F12 835
16,Dentelle de Soye,Bordeaux,1787,Angleterre,false,167000,AN F12 835
17,Dentelle de fil,Bordeaux,1787,Angleterre,false,33000,AN F12 835
