partner,sum_tonnage,sum_exports,price_per_barrel
Danemark,40026.0,4980100.0,124.42162594313696
Angleterre,158827.0,57227600.0,360.3140523966328
Russie,14503.0,6547700.0,451.4721092187823
Espagne,36093.0,92847700.0,2572.457263181226
Hollande,73248.0,24197100.0,330.34485583224114
Portugal,34821.0,9207600.0,264.4266390970966
Villes hanséatiques,65623.0,11419600.0,174.0182557944623
Suède,14059.0,8310700.0,591.1302368589515
États-Unis d'Amérique,19652.0,14153300.0,720.196417667413
Prusse,17179.0,3024100.0,176.03469352115957
