partner,price_per_barrel,sum_exports,sum_tonnage
Angleterre,188.83618976103185,34200500.0,181112.0
Danemark,134.20266519777124,6334500.0,47201.0
Espagne,678.5045801167078,32838264.66848842,48398.0
Etats de l'Empereur,767.6437577373515,32838264.66848842,42778.0
Etats-Unis,35.99375120675431,2050600.0,56971.0
Hollande,325.07213819547997,33571500.0,103274.0
Portugal,146.58422111301496,3935200.0,26846.0
Prusse,352.73503269509376,9008500.0,25539.0
Quatre villes hanséatiques,75.03956684714703,9008500.0,120050.0
Russie,313.69765791341376,6630000.0,21135.0
Suède,288.5355409648872,5053700.0,17515.0
