line_number,year,customs_region,partner,product_orthographic,product_simplification,product_revolutionempire,value,quantity,quantity_unit,quantity_unit_orthographic,quantity_unit_metric,unit_price_metric,value_per_unit,product_revolutionempire
47,1783,,Angleterre,eau-de-vie,eau-de-vie,Eaux-de-vie et liqueurs,3429000,25000,muids,muids,litres,,137.16,Eaux-de-vie et liqueurs
51,1783,,Angleterre,rhum des prises,rhum des prises,Eaux-de-vie et liqueurs,41000,131,muids,muids,litres,,312.9770992366412,Eaux-de-vie et liqueurs
105,1784,,Angleterre,eau-de-vie de vin,eau-de-vie de vin,Eaux-de-vie et liqueurs,4742500,34098,muids,muids,litres,,139.0844037773476,Eaux-de-vie et liqueurs
107,1784,,Angleterre,liqueurs diverses,liqueurs diverses,Eaux-de-vie et liqueurs,15500,,,unité manquante,unité manquante,,,Eaux-de-vie et liqueurs
321,1787.2,Amiens,Angleterre,eau-de-vie de vin,eau-de-vie de vin,Eaux-de-vie et liqueurs,402000,2673.26,muids,muids,litres,,150.3781899254094,Eaux-de-vie et liqueurs
322,1787.2,Amiens,Angleterre,eau-de-vie de genièvre,eau-de-vie de genièvre,Eaux-de-vie et liqueurs,1130000,7237.2402,muids,muids,litres,,156.1368655416467,Eaux-de-vie et liqueurs
5,1789,Amiens,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,1485,660,veltes,veltes,litres,.29539964,2.25,Eaux-de-vie et liqueurs
49,1789,Amiens,Angleterre,eau-de-vie de genièvre,eau-de-vie de genièvre,Eaux-de-vie et liqueurs,1174365,2087760,pinte,pintes,litres,.59079927,.5625,Eaux-de-vie et liqueurs
50,1789,Amiens,Angleterre,eau-de-vie double,eau-de-vie double,Eaux-de-vie et liqueurs,36861,6143.5,velte,veltes,litres,.78773236,6,Eaux-de-vie et liqueurs
51,1789,Amiens,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,226.875,41.25,velte,veltes,litres,.72208804,5.5,Eaux-de-vie et liqueurs
52,1789,Amiens,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,9280.5,1546.75,velte,veltes,litres,.78773236,6,Eaux-de-vie et liqueurs
53,1789,Amiens,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,370680,74136,velte,veltes,litres,.65644366,5,Eaux-de-vie et liqueurs
71,1789,Amiens,Angleterre,liqueurs,liqueurs,Eaux-de-vie et liqueurs,2428,6.0694447,muid,muids,litres,,400.0365964286651,Eaux-de-vie et liqueurs
114,1789,Amiens,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,50016,8336,velte,veltes,litres,.78773236,6,Eaux-de-vie et liqueurs
115,1789,Amiens,Angleterre,eau-de-vie de genièvre,eau-de-vie de genièvre,Eaux-de-vie et liqueurs,238213.5048,1102.8403,muid,muids,litres,.81023902,216,Eaux-de-vie et liqueurs
66,1787.2,Bordeaux,Angleterre,eau-de-vie diverse,eau-de-vie diverse,Eaux-de-vie et liqueurs,665000,5265.8599,muids,muids,litres,,126.2851675943752,Eaux-de-vie et liqueurs
216,1789,Bordeaux,Angleterre,eau-de-vie royale,eau-de-vie royale,Eaux-de-vie et liqueurs,27475.19938944,30528,pinte,pintes,litres,.94527882,.89999998,Eaux-de-vie et liqueurs
221,1789,Bordeaux,Angleterre,eau-de-vie double,eau-de-vie double,Eaux-de-vie et liqueurs,231692.80289616,289616,pinte,pintes,litres,.84024787,.80000001,Eaux-de-vie et liqueurs
226,1789,Bordeaux,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,406372,812744,pinte,pintes,litres,.52515495,.5,Eaux-de-vie et liqueurs
244,1789,Bordeaux,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,189664,379328,pinte,pintes,litres,.52515495,.5,Eaux-de-vie et liqueurs
455,1789,Bordeaux,Angleterre,liqueurs diverses,liqueurs diverses,Eaux-de-vie et liqueurs,5330.4,4442,pinte,pintes,litres,1.2603718,1.2,Eaux-de-vie et liqueurs
466,1789,Bordeaux,Angleterre,liqueurs anisette,anisette,Eaux-de-vie et liqueurs,700,500,pinte,pintes,litres,,1.4,Eaux-de-vie et liqueurs
55,1789,Caen,Angleterre,eau-de-vie,eau-de-vie,Eaux-de-vie et liqueurs,114,148,pinte,pintes,litres,,.7702702702702703,Eaux-de-vie et liqueurs
426,1787.2,Flandre,Angleterre,eau-de-vie de vin,eau-de-vie de vin,Eaux-de-vie et liqueurs,919000,6384.2798,muids,muids,litres,,143.9473251156693,Eaux-de-vie et liqueurs
427,1787.2,Flandre,Angleterre,eau-de-vie de genièvre,eau-de-vie de genièvre,Eaux-de-vie et liqueurs,432000,3001.47,muids,muids,litres,,143.9294745574668,Eaux-de-vie et liqueurs
439,1787.2,Flandre,Angleterre,tafia,tafia,Eaux-de-vie et liqueurs,93000,382.64001,muids,muids,litres,,243.0482896966263,Eaux-de-vie et liqueurs
22,1787.2,France,Angleterre,eau-de-vie,eau-de-vie,Eaux-de-vie et liqueurs,7000,60.939999,muids,muids,litres,,114.8670842610286,Eaux-de-vie et liqueurs
83,1787.2,La Rochelle,Angleterre,eau-de-vie,eau-de-vie,Eaux-de-vie et liqueurs,1166000,9907.6504,muids,muids,litres,,117.6868331971019,Eaux-de-vie et liqueurs
89,1789,La Rochelle,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,143136,994,muids,muids,litres,.54015934,144,Eaux-de-vie et liqueurs
91,1789,La Rochelle,Angleterre,eau-de-vie double,eau-de-vie double,Eaux-de-vie et liqueurs,100157.8976769,632.3099999999999,livres,livres,kg,323.59549,158.39999,Eaux-de-vie et liqueurs
110,1789,La Rochelle,Angleterre,eau-de-vie simple,eau-de-vie simple,Eaux-de-vie et liqueurs,1920354.29502,9502,muids,muids,litres,.75809866,202.10001,Eaux-de-vie et liqueurs
