destination_partner_balance_1789,commodity_as_toflit,nb_ships,sum_tonnage,nb_ships2,sum_tonnage_per_product
Angleterre,,5,500.0,5,221.66666666666669
Angleterre,Divers,793,12387.0,793,6119.5
Angleterre,Industrie française et étrangère,15,953.0,15,516.5
Angleterre,Matières premières,972,13131.0,972,7990.0
Angleterre,Objets manufacturés,9,196.0,9,104.0
Angleterre,Subsistances,56,3188.0,56,1702.8333333333333
Angleterre,Unknown for TOFLIT,11,545.0,11,327.5
Angleterre,[vide],1,15.0,1,inf
Danemark,Divers,5,129.0,5,58.666666666666664
Danemark,Matières premières,5,162.0,5,81.0
Danemark,Subsistances,3,82.0,3,29.333333333333332
Espagne,Divers,2,235.0,2,97.5
Espagne,Matières premières,1,120.0,1,40.0
Espagne,Objets manufacturés,1,120.0,1,40.0
Espagne,Subsistances,8,1143.0,8,885.5
Etats de l'Empereur,Divers,36,2316.0,36,1135.1666666666667
Etats de l'Empereur,Industrie française et étrangère,5,205.0,5,78.33333333333333
Etats de l'Empereur,Matières premières,19,1388.0,19,704.1666666666666
Etats de l'Empereur,Subsistances,78,3885.0,78,2110.3333333333335
Etats de l'Empereur,Unknown for TOFLIT,2,118.0,2,118.0
Etats-Unis,Divers,1,350.0,1,175.0
Etats-Unis,Matières premières,1,350.0,1,175.0
Hollande,Divers,27,1549.0,27,733.6666666666666
Hollande,Industrie française et étrangère,8,476.0,8,248.0
Hollande,Matières premières,23,1488.0,23,881.6666666666666
Hollande,Subsistances,78,5220.0,78,3611.3333333333335
Hollande,Unknown for TOFLIT,3,210.0,3,133.33333333333331
Portugal,Divers,1,25.0,1,12.5
Portugal,Matières premières,2,265.0,2,252.5
Portugal,Objets manufacturés,4,100.0,4,100.0
Portugal,Subsistances,1,130.0,1,130.0
Quatre villes hanséatiques,Divers,1,170.0,1,56.666666666666664
Quatre villes hanséatiques,Matières premières,4,505.0,4,391.6666666666667
Quatre villes hanséatiques,Subsistances,1,170.0,1,56.666666666666664
Suède,Matières premières,1,12.0,1,12.0
Suède,Unknown for TOFLIT,1,150.0,1,150.0
