cargo,cargo_standardized_fr,departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,nb_cargo,commodity_as_toflit
,,A0198999,La Rochelle,A0355789,Porto,Portugal,Etranger,,Portugal,200.0,1787-09-05,0.0,[vide]
,,A0198999,La Rochelle,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,220.0,1787-09-10,0.0,[vide]
,,A0198999,La Rochelle,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,130.0,1787-11-19,0.0,[vide]
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,110.0,1787-10-24,0.0,[vide]
,,A0198999,La Rochelle,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,130.0,1787-09-10,0.0,[vide]
,,A0198999,La Rochelle,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,60.0,1787-08-22,0.0,[vide]
,,A0198999,La Rochelle,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,70.0,1787-05-05,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,120.0,1787-08-17,0.0,[vide]
,,A0198999,La Rochelle,A1278294,Fiume / Rijeka,Etats de l'Empereur,Etranger,Autriche méditerranéenne,Autriche,150.0,1787-12-10,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,90.0,1787-06-16,0.0,[vide]
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,60.0,1787-10-26,0.0,[vide]
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,110.0,1787-05-14,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,100.0,1787-07-30,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,140.0,1787-04-13,0.0,[vide]
,,A0198999,La Rochelle,A0095951,Santander,Espagne,Etranger,,Espagne,12.0,1787-06-13,0.0,[vide]
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,120.0,1787-10-09,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,140.0,1787-05-14,0.0,[vide]
,,A0198999,La Rochelle,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,150.0,1787-08-10,0.0,[vide]
,,A0198999,La Rochelle,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,360.0,1787-04-17,0.0,[vide]
,,A0198999,La Rochelle,B0000056,Louisiane,Espagne,Etranger,Colonies espagnoles d'Amérique,Espagne,200.0,1787-10-02,0.0,[vide]
,,A0198999,La Rochelle,A0113498,Ferrol,Portugal,Etranger,,Portugal,14.0,1787-01-23,0.0,[vide]
,,A0198999,La Rochelle,A0836627,Christiania / Oslo,Danemark,Etranger,Norvège,Danemark,80.0,1787-09-12,0.0,[vide]
,,A0198999,La Rochelle,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,100.0,1787-06-22,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,130.0,1787-10-11,0.0,[vide]
,,A0198999,La Rochelle,A1278294,Fiume / Rijeka,Etats de l'Empereur,Etranger,Autriche méditerranéenne,Autriche,156.0,1787-04-16,0.0,[vide]
,,A0198999,La Rochelle,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,120.0,1787-03-06,0.0,[vide]
,,A0198999,La Rochelle,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,60.0,1787-08-08,0.0,[vide]
,,A0198999,La Rochelle,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,150.0,1787-02-13,0.0,[vide]
,,A0198999,La Rochelle,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,60.0,1787-08-08,0.0,[vide]
,,A0198999,La Rochelle,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,60.0,1787-01-13,0.0,[vide]
,,A0198999,La Rochelle,A0816635,Copenhague ,Danemark,Etranger,,Danemark,130.0,1787-07-27,0.0,[vide]
,,A0198999,La Rochelle,A0836627,Christiania / Oslo,Danemark,Etranger,Norvège,Danemark,150.0,1787-05-05,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,104.0,1787-04-07,0.0,[vide]
,,A0198999,La Rochelle,A0073119,Bilbao,Espagne,Etranger,,Espagne,18.0,1787-08-11,0.0,[vide]
,,A0198999,La Rochelle,A1278294,Fiume / Rijeka,Etats de l'Empereur,Etranger,Autriche méditerranéenne,Autriche,160.0,1787-08-13,0.0,[vide]
,,A0198999,La Rochelle,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,120.0,1787-03-14,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,100.0,1787-11-10,0.0,[vide]
