cargo,cargo_standardized_fr,departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,nb_cargo
bled,Blé,A0204180,Dunkerque,A0620777,Amsterdam,Etranger,Hollande,Provinces-Unies,65.0,1789-07-14,1.0
mousseline,,A0204180,Dunkerque,A0374720,Madère,Etranger,îles atlantiques portugaises,Portugal,25.0,1789-09-26,1.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,40.0,1789-03-07,3.0
Caffé,Café,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,40.0,1789-03-07,3.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,40.0,1789-03-07,3.0
sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,106.0,1789-10-09,1.0
bled,Blé,A0204180,Dunkerque,A0620777,Amsterdam,Etranger,Hollande,Provinces-Unies,60.0,1789-07-15,1.0
futailles vides,Futailles vides,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-03-31,3.0
Caffé,Café,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-03-31,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-03-31,3.0
sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,60.0,1789-09-24,1.0
sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,55.0,1789-08-21,1.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-08-17,2.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-08-17,2.0
Coton,Coton,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-10-29,3.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-10-29,3.0
Cuirs,,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-10-29,3.0
tabac,,A0204180,Dunkerque,A0251183,Livourne,Etranger,,Toscane,200.0,1789-11-25,1.0
