departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,commodity_purpose,commodity_purpose2,commodity_purpose3,commodity_purpose4,all_cargos,nb_cargo
A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-09-14,,,,,,0.0
A0147257,Saint-Tropez,A0353892,Monaco,,Etranger,,Monaco,2.0,1787-09-24,Vin,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00181565', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",1.0
A0187101,Le Havre,A0816635,Copenhague ,Danemark,Etranger,,Danemark,155.0,1787-07-18,,,,,,0.0
A0210592,Port-Vendres,A1964975,Italie,,Etranger,,multi-Etat,,1787-02-02,Vin,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Transit', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00183116', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",1.0
A0171758,Tonnay-Charente,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,100.0,1787-07-07,,,,,,0.0
A0122218,Rouen,A1759102,Saint-Pétersbourg,Russie,Etranger,Russie - mer Baltique,Empire russe,176.0,1787-05-30,,,,,,0.0
A0124817,Nantes,A0095951,Santander,Espagne,Etranger,,Espagne,60.0,1787-07-18,,,,,,0.0
A0122218,Rouen,A0627935,Rotterdam,Hollande,Etranger,Hollande,Provinces-Unies,36.0,1787-06-11,,,,,,0.0
A0192135,Fécamp,A0869447,Frederikshald / Halden,Danemark,Etranger,Norvège,Danemark,150.0,1787-07-06,,,,,,0.0
A0187101,Le Havre,A0403842,Weymouth,Angleterre,Etranger,Angleterre,Grande-Bretagne,43.0,1787-06-26,,,,,,0.0
A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-03-27,,,,,,0.0
A0122218,Rouen,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,68.0,1787-07-24,,,,,,0.0
A0187101,Le Havre,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,92.0,1787-09-07,,,,,,0.0
A0193167,Bastia,A0223338,île d'Elbe,,Etranger,,Toscane,,1787-11-29,,,,,,0.0
A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-05-26,,,,,,0.0
A0147257,Saint-Tropez,A1904488,Levant,,Etranger,,Empire ottoman,155.0,1787-10-06,Lest,En caravane,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00181592', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': None, 'cargo_item_action': 'Out', 'commodity_purpose': 'En caravane', 'link_to_pointcall': '00181592', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': None}]",2.0
A0122218,Rouen,A0073119,Bilbao,Espagne,Etranger,,Espagne,140.0,1787-06-25,,,,,,0.0
