destination_partner_balance_1789,commodity_as_toflit,nb_ships,sum_tonnage,nb_ships2,sum_tonnage_per_product
Espagne,,0,0.0,0,0.0
Espagne,Divers,0,0.0,0,0.0
Espagne,Industrie française et étrangère,0,0.0,0,0.0
Espagne,Matières premières,0,0.0,0,0.0
Espagne,Subsistances,0,0.0,0,0.0
Espagne,Unknown for TOFLIT,0,0.0,0,0.0
Etats-Unis,Divers,1,150.0,1,6.521739130434782
Etats-Unis,Industrie française et étrangère,15,2940.0,15,191.75003895901511
Etats-Unis,Matières premières,10,1804.0,10,486.5846968988624
Etats-Unis,Métaux,1,220.0,1,7.096774193548387
Etats-Unis,Objets manufacturés,4,780.0,4,41.826398628642664
Etats-Unis,Subsistances,11,1905.0,11,176.67679601059686
Etats-Unis,Unknown for TOFLIT,32,6180.0,32,396.5435561788998
Portugal,Divers,1,240.0,1,18.46153846153846
Portugal,Drogues médicinales,1,300.0,1,10.714285714285714
Portugal,Industrie française et étrangère,15,3800.0,15,149.24812030075188
Portugal,Matières premières,2,460.0,2,19.13533834586466
Portugal,Objets manufacturés,4,1060.0,4,40.563909774436084
Portugal,Subsistances,12,2800.0,12,150.38750722961248
Portugal,Unknown for TOFLIT,25,5900.0,25,311.4893001735107
