destination_partner_balance_1789,nb_ships,sum_tonnage,tonnage moyen
Angleterre,6,1048.0,174.66666666666666
Danemark,1,150.0,150.0
Etats de l'Empereur,8,512.0,64.0
Etats-Unis,1,160.0,160.0
Hollande,5,550.0,110.0
Prusse,3,370.0,123.33333333333333
Quatre villes hanséatiques,10,1050.0,105.0
