destination_partner_balance_1789,nb_ships,sum_tonnage,tonnage moyen
Angleterre,4,770.0,192.5
Danemark,3,360.0,120.0
Espagne,3,230.0,76.66666666666667
Etats de l'Empereur,9,996.0,110.66666666666667
Hollande,4,490.0,122.5
Portugal,2,214.0,107.0
Quatre villes hanséatiques,12,1324.0,110.33333333333333
