cargo,cargo_standardized_fr,departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,nb_cargo,commodity_as_toflit
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-09-14,0.0,[vide]
Vin,Vin,A0147257,Saint-Tropez,A0353892,Monaco,,Etranger,,Monaco,2.0,1787-09-24,1.0,vin
,,A0187101,Le Havre,A0816635,Copenhague ,Danemark,Etranger,,Danemark,155.0,1787-07-18,0.0,[vide]
Vin,Vin,A0210592,Port-Vendres,A1964975,Italie,,Etranger,,multi-Etat,,1787-02-02,1.0,vin
,,A0171758,Tonnay-Charente,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,100.0,1787-07-07,0.0,[vide]
,,A0122218,Rouen,A1759102,Saint-Pétersbourg,Russie,Etranger,Russie - mer Baltique,Empire russe,176.0,1787-05-30,0.0,[vide]
,,A0124817,Nantes,A0095951,Santander,Espagne,Etranger,,Espagne,60.0,1787-07-18,0.0,[vide]
,,A0122218,Rouen,A0627935,Rotterdam,Hollande,Etranger,Hollande,Provinces-Unies,36.0,1787-06-11,0.0,[vide]
,,A0192135,Fécamp,A0869447,Frederikshald / Halden,Danemark,Etranger,Norvège,Danemark,150.0,1787-07-06,0.0,[vide]
,,A0187101,Le Havre,A0403842,Weymouth,Angleterre,Etranger,Angleterre,Grande-Bretagne,43.0,1787-06-26,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-03-27,0.0,[vide]
,,A0122218,Rouen,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,68.0,1787-07-24,0.0,[vide]
,,A0187101,Le Havre,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,92.0,1787-09-07,0.0,[vide]
,,A0193167,Bastia,A0223338,île d'Elbe,,Etranger,,Toscane,,1787-11-29,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-05-26,0.0,[vide]
En caravane,en caravane,A0147257,Saint-Tropez,A1904488,Levant,,Etranger,,Empire ottoman,155.0,1787-10-06,2.0,Unknown for TOFLIT
,,A0122218,Rouen,A0073119,Bilbao,Espagne,Etranger,,Espagne,140.0,1787-06-25,0.0,[vide]
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-01-03,0.0,[vide]
Ris,ris,A0232521,Gênes,A0087160,Catalogne,Espagne,Etranger,,Espagne,,1787-04-06,1.0,grains riz
Passagers,Passagers,A0209786,Port-Bail,A1963330,Jersey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-07-29,1.0,passagers
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-09-14,0.0,[vide]
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-07-02,0.0,[vide]
,,A0124817,Nantes,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,110.0,1787-11-12,0.0,[vide]
,,A0187101,Le Havre,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,172.0,1787-12-29,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-04-24,0.0,[vide]
,,A0391854,Padstow,A0391854,Padstow,Angleterre,Etranger,Angleterre,Grande-Bretagne,32.0,1787-09-27,0.0,[vide]
,,A0187101,Le Havre,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,136.0,1787-05-14,0.0,[vide]
Sel,Sel,A0213139,Le Croisic,A1963986,Mer Baltique,,Etranger,,zone maritime,250.0,1787-04-21,1.0,sel
Thon,thon,A0147257,Saint-Tropez,A0148992,Nice,,Etranger,,Royaume de Piémont-Sardaigne,6.0,1787-03-07,1.0,thon
Sel,Sel,A0213139,Le Croisic,A1963986,Mer Baltique,,Etranger,,zone maritime,200.0,1787-07-03,1.0,sel
,,A0187101,Le Havre,A0360085,Lisbonne,Portugal,Etranger,,Portugal,405.0,1787-10-08,0.0,[vide]
Sel,Sel,A0136930,Marennes,A0389605,Combe Martin,Angleterre,Etranger,Angleterre,Grande-Bretagne,60.0,1787-09-22,1.0,sel
Sel,Sel,A0133403,Ars-en-Ré,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,210.0,1787-05-14,1.0,sel
,,A0187101,Le Havre,A1102661,Stockholm,Suède,Etranger,,Suède,188.0,1787-06-22,0.0,[vide]
,,A0147257,Saint-Tropez,A0232521,Gênes,,Etranger,,République de Gênes,30.0,1787-03-20,0.0,[vide]
,,A0122218,Rouen,A0407958,Whitby,Angleterre,Etranger,Angleterre,Grande-Bretagne,52.0,1787-11-28,0.0,[vide]
Sel,Sel,A0133403,Ars-en-Ré,B0000048,Boston,Etats-Unis,Etranger,Massachussets,Etats-Unis d'Amérique,412.0,1787-04-19,1.0,sel
Vin,Vin,A0180923,Bordeaux,A0620493,Zierikzee,Hollande,Etranger,Zélande,Provinces-Unies,152.0,1787-02-08,2.0,vin
Marchandises,Diverses marchandises,A0180923,Bordeaux,A0620493,Zierikzee,Hollande,Etranger,Zélande,Provinces-Unies,152.0,1787-02-08,2.0,marchandises
,,A0213139,Le Croisic,A0912818,Bergue ,Danemark,Etranger,Norvège,Danemark,150.0,1787-03-08,0.0,[vide]
,,A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-04-27,0.0,[vide]
,,A0165080,Calais,A0386686,Deal,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-05-22,0.0,[vide]
,,A0187101,Le Havre,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,84.0,1787-07-28,0.0,[vide]
Sucre,Sucre,A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,163.0,1787-07-13,2.0,sucre
Café,Café,A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,163.0,1787-07-13,2.0,café
Café,Café,A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,172.0,1787-04-20,2.0,café
Sucre,Sucre,A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,172.0,1787-04-20,2.0,sucre
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-12-21,0.0,[vide]
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-09-02,0.0,[vide]
,,A0171758,Tonnay-Charente,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,116.0,1787-04-24,0.0,[vide]
,,B2009606,Cayenne,B0000005,New York,Etats-Unis,Etranger,New York,Etats-Unis d'Amérique,,1787-05-24,0.0,[vide]
Farine,Farine,A0180923,Bordeaux,A0095838,Le Passage / Pasaia,Espagne,Etranger,,Espagne,74.0,1787-06-19,1.0,farine
,,A0165080,Calais,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,80.0,1787-12-01,0.0,[vide]
Sel,Sel,A0140266,Lorient,B0000008,Salem,Etats-Unis,Etranger,Massachussets,Etats-Unis d'Amérique,110.0,1787-06-23,2.0,sel
Thé,thé,A0140266,Lorient,B0000008,Salem,Etats-Unis,Etranger,Massachussets,Etats-Unis d'Amérique,110.0,1787-06-23,2.0,thé
Vins,Vin,A0187995,Bayonne,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,180.0,1787-01-11,1.0,vin
Vin,Vin,A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,179.0,1787-03-29,1.0,vin
