cargo,cargo_standardized_fr,departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,nb_cargo,commodity_as_toflit
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-10-29,0.0,[vide]
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-09-27,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-09-15,0.0,[vide]
Grains,Grain,A0181755,Collioure,A0086055,Cadaqués,Espagne,Etranger,,Espagne,3.0,1787-01-22,1.0,grains divers
Eau de vie,Eau-de-vie,A0122918,Roscoff,A0388018,Coverack,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-07-27,1.0,eau-de-vie
Balloterie,balloterie,A0187995,Bayonne,A0103760,Saint-Sébastien,Espagne,Etranger,,Espagne,15.0,1787-03-07,2.0,ballots
Blé d' Inde,blé d' inde,A0187995,Bayonne,A0103760,Saint-Sébastien,Espagne,Etranger,,Espagne,15.0,1787-03-07,2.0,Unknown for TOFLIT
Café,Café,A0180923,Bordeaux,A0627935,Rotterdam,Hollande,Etranger,Hollande,Provinces-Unies,267.0,1787-09-28,3.0,café
Sucre,Sucre,A0180923,Bordeaux,A0627935,Rotterdam,Hollande,Etranger,Hollande,Provinces-Unies,267.0,1787-09-28,3.0,sucre
Prunes,prunes,A0180923,Bordeaux,A0627935,Rotterdam,Hollande,Etranger,Hollande,Provinces-Unies,267.0,1787-09-28,3.0,prunes
Vin,Vin,A0180923,Bordeaux,A0816635,Copenhague ,Danemark,Etranger,,Danemark,130.0,1787-03-22,2.0,vin
Prune,prune,A0180923,Bordeaux,A0816635,Copenhague ,Danemark,Etranger,,Danemark,130.0,1787-03-22,2.0,prunes
Vin,Vin,A0180923,Bordeaux,A1875058,Königsberg / Kaliningrad,Prusse,Etranger,,Prusse,200.0,1787-02-12,1.0,vin
,,A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,40.0,1787-07-17,0.0,[vide]
Sel,Sel,A0136930,Marennes,A0618784,Dordrecht ,Hollande,Etranger,Hollande,Provinces-Unies,256.0,1787-06-16,1.0,sel
Sucre,Sucre,A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,198.0,1787-12-01,2.0,sucre
Café,Café,A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,198.0,1787-12-01,2.0,café
,,A0187101,Le Havre,A0148992,Nice,,Etranger,,Royaume de Piémont-Sardaigne,205.0,1787-02-22,0.0,[vide]
Diverses marchandises,Diverses marchandises,A0140266,Lorient,D3674030,Chine,,Etranger,,Chine,813.0,1787-02-17,2.0,marchandises
Vivres pour l' équipage,Vivres,A0140266,Lorient,D3674030,Chine,,Etranger,,Chine,813.0,1787-02-17,2.0,vivres
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-06-09,0.0,[vide]
Marchandises,Diverses marchandises,A0180040,Frioul,A0354005,Gibraltar,Angleterre,Etranger,possessions anglaises en Méditerranée,Grande-Bretagne,,1787-09-15,1.0,marchandises
Marchandises,Diverses marchandises,A0130763,Diélette,A1945858,Aurigny ,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-05-04,1.0,marchandises
,,A0189462,Gravelines,A1039917,Gothembourg ,Suède,Etranger,,Suède,93.0,1787-08-09,0.0,[vide]
,,B1965595,Saint-Pierre-et-Miquelon,A0399131,York,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-09-23,0.0,[vide]
,,A0187101,Le Havre,A0408148,Southampton,Angleterre,Etranger,Angleterre,Grande-Bretagne,38.0,1787-05-11,0.0,[vide]
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-10-17,1.0,genièvre
,,A0192135,Fécamp,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,132.0,1787-06-08,0.0,[vide]
,,A0130761,Dieppe,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,145.0,1787-03-24,0.0,[vide]
,,A0122218,Rouen,A0120232,Cadix,Espagne,Etranger,,Espagne,195.0,1787-11-17,0.0,[vide]
,,A0124817,Nantes,A0360085,Lisbonne,Portugal,Etranger,,Portugal,65.0,1787-12-29,0.0,[vide]
,,A0165080,Calais,A0404691,Chatham ,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-06-17,0.0,[vide]
,,A0187101,Le Havre,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,196.0,1787-06-08,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-08-06,0.0,[vide]
,,A0187101,Le Havre,A0385489,Portsmouth,Angleterre,Etranger,Angleterre,Grande-Bretagne,84.0,1787-09-01,0.0,[vide]
,,A0193167,Bastia,A0236195,Capraia,,Etranger,,République de Gênes,,1787-11-24,0.0,[vide]
,,A0187101,Le Havre,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,163.0,1787-04-03,0.0,[vide]
,,A0187101,Le Havre,A0595327,Ross,Angleterre,Etranger,Irlande,Grande-Bretagne,36.0,1787-02-19,0.0,[vide]
,,A0187101,Le Havre,A0364551,Setúbal ,Portugal,Etranger,,Portugal,560.0,1787-10-26,0.0,[vide]
,,A0124817,Nantes,A0618784,Dordrecht ,Hollande,Etranger,Hollande,Provinces-Unies,162.0,1787-07-11,0.0,[vide]
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,32.0,1787-12-14,0.0,[vide]
Farine,Farine,A0170819,Saint-Malo,A1963330,Jersey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,8.0,1787-07-11,2.0,farine
Bled,Blé,A0170819,Saint-Malo,A1963330,Jersey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,8.0,1787-07-11,2.0,grains blé
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-10-15,0.0,[vide]
,,A0122218,Rouen,A0073119,Bilbao,Espagne,Etranger,,Espagne,46.0,1787-10-20,0.0,[vide]
,,A0187101,Le Havre,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,292.0,1787-07-14,0.0,[vide]
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-05-10,0.0,[vide]
Bois,Bois,A0200718,Brest,A0120232,Cadix,Espagne,Etranger,,Espagne,150.0,1787-08-10,1.0,bois
Potterie,Poterie,A0205085,Cherbourg,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,4.0,1787-07-19,1.0,poterie
,,A0122218,Rouen,A0627935,Rotterdam,Hollande,Etranger,Hollande,Provinces-Unies,34.0,1787-04-21,0.0,[vide]
,,A0122218,Rouen,A0120232,Cadix,Espagne,Etranger,,Espagne,180.0,1787-05-21,0.0,[vide]
,,A0193167,Bastia,A0236195,Capraia,,Etranger,,République de Gênes,,1787-02-28,0.0,[vide]
,,A0187101,Le Havre,A0379790,Liverpool,Angleterre,Etranger,Angleterre,Grande-Bretagne,168.0,1787-07-18,0.0,[vide]
Eau de vie,Eau-de-vie,A0180923,Bordeaux,A0912818,Bergue ,Danemark,Etranger,Norvège,Danemark,76.0,1787-10-09,2.0,eau-de-vie
Tabac,tabac,A0180923,Bordeaux,A0912818,Bergue ,Danemark,Etranger,Norvège,Danemark,76.0,1787-10-09,2.0,tabac
Sel,Sel,A0133403,Ars-en-Ré,A1963986,Mer Baltique,,Etranger,,zone maritime,360.0,1787-10-16,1.0,sel
Différentes marchandises,Diverses marchandises,A0200718,Brest,A0816635,Copenhague ,Danemark,Etranger,,Danemark,120.0,1787-03-05,1.0,marchandises
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-12-04,0.0,[vide]
,,A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,40.0,1787-09-22,0.0,[vide]
Marchandises,Diverses marchandises,A0130763,Diélette,A1963330,Jersey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-09-26,1.0,marchandises
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-03-21,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-09-25,0.0,[vide]
,,A0187101,Le Havre,A0408148,Southampton,Angleterre,Etranger,Angleterre,Grande-Bretagne,75.0,1787-05-26,0.0,[vide]
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-04-18,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-04-26,0.0,[vide]
,,A0124817,Nantes,A0364551,Setúbal ,Portugal,Etranger,,Portugal,180.0,1787-08-21,0.0,[vide]
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-03-16,1.0,genièvre
Sel,Sel,A0136403,Noirmoutier,B2119892,"Terre-Neuve, île de",Angleterre,Etranger,Colonies britanniques d'Amérique,Grande-Bretagne,240.0,1787-06-18,1.0,sel
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-05-12,0.0,[vide]
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-09-22,0.0,[vide]
,,A0124817,Nantes,A0912818,Bergue ,Danemark,Etranger,Norvège,Danemark,123.0,1787-04-11,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-02-27,0.0,[vide]
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-06-09,0.0,[vide]
Vin,Vin,A0187995,Bayonne,A0095951,Santander,Espagne,Etranger,,Espagne,28.0,1787-08-28,2.0,vin
Balloterie,balloterie,A0187995,Bayonne,A0095951,Santander,Espagne,Etranger,,Espagne,28.0,1787-08-28,2.0,ballots
Planches,Planches,A0187995,Bayonne,A0094197,Gijón,Espagne,Etranger,,Espagne,33.0,1787-10-20,2.0,planches
Balloterie,balloterie,A0187995,Bayonne,A0094197,Gijón,Espagne,Etranger,,Espagne,33.0,1787-10-20,2.0,ballots
,,A0187101,Le Havre,A0605259,Cork,Angleterre,Etranger,Irlande,Grande-Bretagne,100.0,1787-02-06,0.0,[vide]
,,A0187836,Honfleur,A0360085,Lisbonne,Portugal,Etranger,,Portugal,84.0,1787-09-21,0.0,[vide]
,,A0187101,Le Havre,A0836627,Christiania / Oslo,Danemark,Etranger,Norvège,Danemark,143.0,1787-04-14,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-05-14,0.0,[vide]
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-10-23,0.0,[vide]
,,A0122918,Roscoff,A0397385,Plymouth,Angleterre,Etranger,Angleterre,Grande-Bretagne,5.0,1787-05-07,0.0,[vide]
,,A0218974,Ajaccio,A0223759,Sardaigne,,Etranger,Sardaigne,Royaume de Piémont-Sardaigne,20.0,1787-05-24,0.0,[vide]
,,A0187101,Le Havre,A0120232,Cadix,Espagne,Etranger,,Espagne,170.0,1787-04-14,0.0,[vide]
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-10-20,0.0,[vide]
,,A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,40.0,1787-09-14,0.0,[vide]
,,A0122218,Rouen,A0114403,La Corogne,Espagne,Etranger,,Espagne,165.0,1787-04-26,0.0,[vide]
,,A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,50.0,1787-07-20,0.0,[vide]
,,A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,50.0,1787-07-05,0.0,[vide]
,,A0165080,Calais,A0834735,Mandal,Danemark,Etranger,Norvège,Danemark,70.0,1787-09-19,0.0,[vide]
,,A0130761,Dieppe,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,230.0,1787-08-09,0.0,[vide]
,,A0187101,Le Havre,A0360085,Lisbonne,Portugal,Etranger,,Portugal,86.0,1787-12-31,0.0,[vide]
Douves,douves,A0232327,Civitavecchia,A1964712,Espagne méditerranéenne,Espagne,Etranger,,Espagne,,1786-10-25,1.0,douves à tonneaux
,,A0187101,Le Havre,A0073119,Bilbao,Espagne,Etranger,,Espagne,145.0,1787-08-08,0.0,[vide]
,,A0204500,Harfleur,A0627935,Rotterdam,Hollande,Etranger,Hollande,Provinces-Unies,86.0,1787-11-22,0.0,[vide]
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-08-27,1.0,genièvre
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-10-17,1.0,genièvre
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-10-29,1.0,genièvre
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-05-19,0.0,[vide]
Bœufs,bœufs,A0209786,Port-Bail,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-09-16,1.0,bœuf
,,A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-09-29,0.0,[vide]
,,A0897151,Flekkefjord ,A0897151,Flekkefjord ,Danemark,Etranger,Norvège,Danemark,60.0,1787-07-04,0.0,[vide]
,,A0198999,La Rochelle,A0355789,Porto,Portugal,Etranger,,Portugal,200.0,1787-09-05,0.0,[vide]
,,B1965595,Saint-Pierre-et-Miquelon,B0000720,"Portsmouth, N.H.",Etats-Unis,Etranger,New Hampshire,Etats-Unis d'Amérique,60.0,1787-06-03,0.0,[vide]
,,A0187101,Le Havre,A0401159,Leith,Angleterre,Etranger,Ecosse,Grande-Bretagne,347.0,1787-02-15,0.0,[vide]
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-08-13,1.0,genièvre
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-08-30,1.0,genièvre
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,32.0,1787-11-13,0.0,[vide]
,,A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-09-03,0.0,[vide]
Passagers,Passagers,A0152606,Boulogne-sur-Mer,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-08-16,1.0,passagers
,,A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,50.0,1787-09-06,0.0,[vide]
,,A0198999,La Rochelle,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,220.0,1787-09-10,0.0,[vide]
,,A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,20.0,1787-05-24,0.0,[vide]
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-01-08,1.0,genièvre
Marchandises,Diverses marchandises,A0130763,Diélette,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-05-04,1.0,marchandises
Marchandises,Diverses marchandises,A0130763,Diélette,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-05-26,1.0,marchandises
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-03-08,1.0,genièvre
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-08-23,1.0,genièvre
,,A0187101,Le Havre,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,97.0,1787-08-11,0.0,[vide]
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-05-07,1.0,genièvre
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-09-05,1.0,genièvre
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-10-18,1.0,genièvre
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-12-01,1.0,genièvre
,,A0187101,Le Havre,A0380557,Sunderland,Angleterre,Etranger,Angleterre,Grande-Bretagne,168.0,1787-05-12,0.0,[vide]
Blé,Blé,A0204180,Dunkerque,A0079352,Barcelone,Espagne,Etranger,,Espagne,160.0,1787-01-20,1.0,grains blé
Genièvre,genièvre,A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-09-12,1.0,genièvre
,,A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-12-07,0.0,[vide]
,,A0196771,Saint-Valéry-sur-Somme,A0407958,Whitby,Angleterre,Etranger,Angleterre,Grande-Bretagne,33.0,1787-11-21,0.0,[vide]
Eau de vie,Eau-de-vie,A0180923,Bordeaux,A1759102,Saint-Pétersbourg,Russie,Etranger,Russie - mer Baltique,Empire russe,160.0,1787-03-27,2.0,eau-de-vie
Vin,Vin,A0180923,Bordeaux,A1759102,Saint-Pétersbourg,Russie,Etranger,Russie - mer Baltique,Empire russe,160.0,1787-03-27,2.0,vin
Eau de vie,Eau-de-vie,A0187995,Bayonne,A0094375,Comillas,Espagne,Etranger,,Espagne,32.0,1787-07-14,1.0,eau-de-vie
Sel,Sel,A0136403,Noirmoutier,A1010107,Riga,Russie,Etranger,,Empire russe,270.0,1787-06-18,1.0,sel
,,A0124817,Nantes,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,140.0,1787-01-19,0.0,[vide]
,,A0171758,Tonnay-Charente,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,25.0,1787-02-15,0.0,[vide]
Orge,Orge,A1964694,Marans,A0360085,Lisbonne,Portugal,Etranger,,Portugal,95.0,1787-11-15,1.0,grains orge
,,A0187101,Le Havre,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,304.0,1787-07-27,0.0,[vide]
,,A0187101,Le Havre,A0380557,Sunderland,Angleterre,Etranger,Angleterre,Grande-Bretagne,188.0,1787-11-24,0.0,[vide]
Eau de vie,Eau-de-vie,A0124809,Mortagne,A0402560,Dumfries,Angleterre,Etranger,Ecosse,Grande-Bretagne,105.0,1787-07-31,1.0,eau-de-vie
