destination_partner_balance_1789,commodity_as_toflit,nb_ships,sum_tonnage,nb_ships2,sum_tonnage_per_product
Espagne,sel,27,1616.0,27,1388.5
Espagne,sucre,13,501.0,13,256.1666666666667
Espagne,toile,12,1355.0,12,961.8333333333334
Espagne,toile de Bretagne,2,310.0,2,210.0
Espagne,vin,28,1798.0,28,956.5
Espagne,vinaigre,1,30.0,1,15.0
Espagne,vivres,0,0.0,0,0.0
Etats de l'Empereur,Unknown for TOFLIT,22,2029.0,22,951.4666666666667
Etats de l'Empereur,[vide],134,15041.0,134,
Etats de l'Empereur,acajou,4,175.0,4,94.33333333333333
Etats de l'Empereur,bière,1,12.0,1,4.0
Etats de l'Empereur,bois de Campêche,2,102.0,2,51.0
Etats de l'Empereur,bois de gaïac,1,52.0,1,7.428571428571429
Etats de l'Empereur,bois de réglisse,2,70.0,2,31.666666666666668
Etats de l'Empereur,brai,1,190.0,1,95.0
Etats de l'Empereur,café,51,3903.0,51,1804.5
Etats de l'Empereur,chocolat,1,52.0,1,7.428571428571429
Etats de l'Empereur,citron et limons,1,58.0,1,19.333333333333332
Etats de l'Empereur,coton,2,115.0,2,30.333333333333332
Etats de l'Empereur,cuirs,2,80.0,2,26.666666666666668
Etats de l'Empereur,eau-de-vie,17,1237.0,17,567.25
Etats de l'Empereur,fer,1,20.0,1,6.666666666666667
Etats de l'Empereur,fruits,4,520.0,4,520.0
Etats de l'Empereur,fumier,1,18.0,1,18.0
Etats de l'Empereur,futailles vides,1,30.0,1,4.285714285714286
Etats de l'Empereur,genièvre,1,20.0,1,6.666666666666667
Etats de l'Empereur,goudron,3,154.0,3,39.85714285714286
Etats de l'Empereur,grains seigle,3,112.0,3,112.0
Etats de l'Empereur,huile,8,628.0,8,458.5833333333333
Etats de l'Empereur,laine,4,318.0,4,168.66666666666666
Etats de l'Empereur,liqueurs,1,52.0,1,17.333333333333332
Etats de l'Empereur,liège,1,12.0,1,4.0
Etats de l'Empereur,marchandises,50,2848.0,50,1464.6666666666667
Etats de l'Empereur,merrains,1,52.0,1,17.333333333333332
Etats de l'Empereur,miel,5,570.0,5,114.0
Etats de l'Empereur,mousseline,2,150.0,2,30.0
Etats de l'Empereur,noix de muscade,2,212.0,2,70.66666666666667
Etats de l'Empereur,papier,1,30.0,1,4.285714285714286
Etats de l'Empereur,plumes,1,195.0,1,65.0
Etats de l'Empereur,prunes,8,1047.0,8,463.51190476190476
Etats de l'Empereur,raisin,1,15.0,1,3.75
Etats de l'Empereur,restant de marchandises,5,780.0,5,780.0
Etats de l'Empereur,réglisse,9,1260.0,9,519.5
Etats de l'Empereur,safran,1,60.0,1,12.0
Etats de l'Empereur,salpêtre,2,344.0,2,68.8
Etats de l'Empereur,sel,16,919.0,16,656.0833333333334
Etats de l'Empereur,sirop,5,235.0,5,100.33333333333333
Etats de l'Empereur,sucre,65,4106.0,65,1852.8690476190477
Etats de l'Empereur,tabac,7,238.0,7,79.2
Etats de l'Empereur,tafia,2,60.0,2,25.0
Etats de l'Empereur,thé,4,432.0,4,88.0
Etats de l'Empereur,thé bou,1,30.0,1,4.285714285714286
Etats de l'Empereur,thé vert,1,30.0,1,4.285714285714286
Etats de l'Empereur,toile,7,102.0,7,37.75
Etats de l'Empereur,troupes,1,60.0,1,60.0
Etats de l'Empereur,térébenthine,2,128.0,2,22.628571428571426
Etats de l'Empereur,vaches,2,15.0,2,15.0
Etats de l'Empereur,vin,37,3777.0,37,1975.3333333333333
Etats de l'Empereur,védasse,1,13.0,1,3.25
Etats de l'Empereur,écorce de cacao,1,70.0,1,35.0
Etats-Unis,Unknown for TOFLIT,5,725.0,5,320.41666666666663
Etats-Unis,[vide],52,6991.0,52,
Etats-Unis,bière,1,130.0,1,26.0
Etats-Unis,caisse,1,180.0,1,22.5
Etats-Unis,cauris,1,180.0,1,22.5
Etats-Unis,cercles de fer,1,300.0,1,100.0
Etats-Unis,chanvre,1,300.0,1,100.0
Etats-Unis,charbon,1,120.0,1,120.0
Etats-Unis,charbon de terre,2,400.0,2,400.0
Etats-Unis,eau-de-vie,31,6030.0,31,1913.9166666666667
Etats-Unis,fusils,2,444.0,2,88.8
Etats-Unis,genièvre,1,130.0,1,26.0
Etats-Unis,malles,1,180.0,1,22.5
Etats-Unis,marchandises,21,4488.0,21,1334.6333333333332
Etats-Unis,poudre à canons,1,180.0,1,22.5
Etats-Unis,rogues,1,130.0,1,26.0
Etats-Unis,salpêtre,1,140.0,1,46.666666666666664
Etats-Unis,sel,47,6681.0,47,5570.416666666667
Etats-Unis,tabac,82,21417.0,82,7333.933333333333
Etats-Unis,thé,1,110.0,1,55.0
Etats-Unis,thé bou,7,908.0,7,286.5833333333333
Etats-Unis,vin,38,6807.0,38,2315.4666666666667
Hollande,Unknown for TOFLIT,3,338.0,3,125.83333333333334
Hollande,[vide],233,22074.0,233,
Hollande,avirons,1,120.0,1,60.0
Hollande,ballots,1,50.0,1,25.0
Hollande,bois de teinture,1,90.0,1,30.0
Hollande,bois rouge,3,402.0,3,67.0
Hollande,brai,4,548.0,4,226.83333333333334
Hollande,buis,1,130.0,1,65.0
Hollande,café,61,9980.0,61,4954.333333333333
Hollande,côtes de tabac,1,105.0,1,35.0
Hollande,eau-de-vie,3,360.0,3,131.66666666666666
Hollande,futailles vides,57,2483.0,57,2139.5
Hollande,genièvre,1,72.0,1,72.0
Hollande,graine,1,40.0,1,20.0
Hollande,grains blé,18,1657.0,18,1279.5
Hollande,grains riz,1,80.0,1,40.0
Hollande,grains seigle,22,1647.0,22,1249.5
Hollande,houblon,1,95.0,1,31.666666666666668
Hollande,huile,3,303.0,3,93.08333333333334
Hollande,huile de térébenthine,2,290.0,2,145.0
Hollande,laine,3,385.0,3,166.66666666666666
Hollande,linge,1,134.0,1,11.166666666666666
Hollande,marchandises,47,5504.0,47,2093.25
Hollande,mercerie,2,105.0,2,35.0
Hollande,miel,8,921.0,8,558.1666666666666
Hollande,osier,4,329.0,4,113.75
Hollande,passagers,1,4.0,1,4.0
Hollande,prunes,5,1019.0,5,398.6666666666667
Hollande,restant de marchandises,2,220.0,2,220.0
Hollande,réglisse,1,148.0,1,49.333333333333336
Hollande,salpêtre,1,134.0,1,11.166666666666666
Hollande,sel,70,14802.0,70,14459.166666666666
Hollande,sirop,1,30.0,1,15.0
Hollande,sucre,120,19942.0,120,10491.5
Hollande,tabac,35,3932.0,35,1837.9166666666667
Hollande,thé,1,70.0,1,23.333333333333332
Hollande,thé vert,1,134.0,1,11.166666666666666
Hollande,troupes,4,245.0,4,245.0
Hollande,térébenthine,1,130.0,1,65.0
Hollande,térébenthine en pâte,1,135.0,1,67.5
Hollande,vin,80,14087.0,80,8957.333333333334
Portugal,Unknown for TOFLIT,4,361.0,4,361.0
Portugal,[vide],83,10551.0,83,
Portugal,avirons,1,50.0,1,16.666666666666668
Portugal,ballots,1,18.0,1,9.0
Portugal,brai,21,1108.0,21,553.1666666666666
Portugal,eau-de-vie,5,1418.0,5,539.3333333333333
Portugal,fèves,1,150.0,1,75.0
Portugal,goudron,14,726.0,14,327.1666666666667
Portugal,grains blé,11,1305.0,11,1180.0
Portugal,grains froment,4,600.0,4,433.3333333333333
Portugal,grains maïs,4,393.0,4,359.0
Portugal,grains orge,8,991.0,8,957.0
Portugal,grains riz,0,0.0,0,0.0
Portugal,jambon,3,165.0,3,66.66666666666667
Portugal,marchandises,6,1975.0,6,767.8333333333333
Portugal,mâts,1,369.0,1,184.5
Portugal,outils de pêche,3,890.0,3,445.0
Portugal,papier,4,320.0,4,135.83333333333331
Portugal,passagers,0,0.0,0,0.0
Portugal,planches,5,760.0,5,361.3333333333333
Portugal,plomb laminé,1,105.0,1,105.0
Portugal,pois,1,100.0,1,50.0
Portugal,poisson salé,0,0.0,0,0.0
Portugal,pots de fer,1,21.0,1,21.0
Portugal,pêche au cachalot,3,890.0,3,445.0
Portugal,salaisons,1,75.0,1,25.0
Portugal,tabac,6,1440.0,6,480.0
Portugal,thé bou,1,90.0,1,90.0
Portugal,vin,6,1975.0,6,767.8333333333333
Prusse,[vide],19,2750.0,19,
Prusse,café,12,2299.0,12,1006.0
Prusse,eau-de-vie,1,145.0,1,72.5
Prusse,marchandises,7,1339.0,7,603.0
Prusse,prunes,1,65.0,1,32.5
Prusse,sel,5,1224.0,5,1224.0
Prusse,sirop,5,1173.0,5,515.8333333333334
Prusse,sucre,21,4966.0,21,2377.8333333333335
Prusse,tabac,1,130.0,1,65.0
Prusse,vin,63,11448.0,63,8155.333333333333
Quatre villes hanséatiques,[vide],130,18601.0,130,
Quatre villes hanséatiques,brai,7,1045.0,7,517.5
Quatre villes hanséatiques,café,126,28343.0,126,12377.666666666666
Quatre villes hanséatiques,coton,2,440.0,2,146.66666666666666
Quatre villes hanséatiques,côtes de tabac,2,319.0,2,131.5
Quatre villes hanséatiques,eau-de-vie,9,1703.0,9,735.6666666666667
Quatre villes hanséatiques,fer,1,120.0,1,60.0
Quatre villes hanséatiques,grains seigle,2,260.0,2,190.0
Quatre villes hanséatiques,huile,1,180.0,1,60.0
Quatre villes hanséatiques,huile de térébenthine,3,435.0,3,194.16666666666666
Quatre villes hanséatiques,marchandises,18,3171.0,18,1273.8333333333333
Quatre villes hanséatiques,peaux d'agneau,1,90.0,1,90.0
Quatre villes hanséatiques,prunes,4,790.0,4,367.5
Quatre villes hanséatiques,sel,6,1172.0,6,1172.0
Quatre villes hanséatiques,sirop,9,1773.0,9,687.3333333333334
Quatre villes hanséatiques,sucre,102,26725.0,102,11571.0
Quatre villes hanséatiques,tabac,15,2776.0,15,1359.1666666666667
Quatre villes hanséatiques,vin,151,31951.0,151,15520.0
Quatre villes hanséatiques,vinaigre,1,156.0,1,78.0
Russie,[vide],20,3905.0,20,
Russie,café,7,1416.0,7,605.0
Russie,eau-de-vie,11,2018.0,11,829.3333333333334
Russie,marchandises,11,2402.0,11,1166.0
Russie,prunes,2,722.0,2,319.3333333333333
Russie,sel,17,3924.0,17,3924.0
Russie,sucre,11,2420.0,11,1210.0
Russie,vin,23,4328.0,23,2104.3333333333335
Suède,[vide],52,6775.0,52,
Suède,café,1,102.0,1,51.0
Suède,eau-de-vie,7,820.0,7,410.0
Suède,marchandises,5,776.0,5,368.0
Suède,prunes,11,1865.0,11,805.8333333333334
Suède,sel,27,2974.0,27,2894.0
Suède,sucre,8,1335.0,8,560.8333333333334
Suède,vin,19,2868.0,19,1307.3333333333333
