destination_partner_balance_1789,commodity_as_toflit,nb_ships,sum_tonnage,nb_ships2,sum_tonnage_per_product
Angleterre,Unknown for TOFLIT,16,636.0,16,359.5
Angleterre,[vide],1400,66258.0,1400,
Angleterre,amidon,1,60.0,1,60.0
Angleterre,avoine,5,280.0,5,280.0
Angleterre,bagages,2,52.0,2,26.0
Angleterre,ballots,3,66.0,3,55.0
Angleterre,bestiaux,6,17.0,6,17.0
Angleterre,beurre,1,5.0,1,5.0
Angleterre,bœuf,6,121.0,6,119.5
Angleterre,café,1,35.0,1,17.5
Angleterre,chanvre,1,30.0,1,15.0
Angleterre,chevaux,1,55.0,1,27.5
Angleterre,châtaignes,1,70.0,1,35.0
Angleterre,cordage,1,50.0,1,25.0
Angleterre,corinthes,2,17.0,2,7.666666666666667
Angleterre,coton,26,3358.0,26,1739.3333333333333
Angleterre,eau-de-vie,225,12194.0,225,7198.5
Angleterre,farine,21,216.0,21,177.5
Angleterre,fer vieux,1,55.0,1,27.5
Angleterre,filets à pêcher,1,30.0,1,10.0
Angleterre,fruits,3,35.0,3,17.5
Angleterre,futailles vides,1,4.0,1,4.0
Angleterre,fèves,9,746.0,9,708.0
Angleterre,genièvre,1296,5164.0,1296,4829.0
Angleterre,gomme,1,65.0,1,21.666666666666668
Angleterre,graine,1,110.0,1,55.0
Angleterre,graine de lin,3,345.0,3,225.0
Angleterre,graine de trèfle,1,4.0,1,4.0
Angleterre,grains blé,16,1027.0,16,1012.5
Angleterre,grains froment,2,84.0,2,84.0
Angleterre,grains orge,1,8.0,1,8.0
Angleterre,grains seigle,1,85.0,1,85.0
Angleterre,huile,1,180.0,1,90.0
Angleterre,jus de réglisse,2,104.0,2,88.0
Angleterre,laine,3,120.0,3,120.0
Angleterre,madriers en planche ou poutrelles,1,28.0,1,28.0
Angleterre,marchandises,346,15833.0,346,8004.5
Angleterre,marchandises de retour,1,100.0,1,50.0
Angleterre,mercerie,3,31.0,3,13.0
Angleterre,merrains,5,299.0,5,221.0
Angleterre,miel,1,22.0,1,11.0
Angleterre,mouton,7,14.0,7,13.0
Angleterre,mouton vivant,1,3.0,1,3.0
Angleterre,noisettes,1,70.0,1,35.0
Angleterre,noix,1,5.0,1,1.6666666666666667
Angleterre,oignons,1,10.0,1,10.0
Angleterre,outils de pêche,63,8823.0,63,4170.5
Angleterre,paniers,1,100.0,1,50.0
Angleterre,passagers,343,8335.0,343,7834.5
Angleterre,pelleterie,1,60.0,1,30.0
Angleterre,plâtre,1,30.0,1,15.0
Angleterre,pommes,2,176.0,2,88.0
Angleterre,porcs,2,4.0,2,3.0
Angleterre,poterie,10,42.0,10,42.0
Angleterre,prunes,8,692.0,8,345.1666666666667
Angleterre,pêche à la morue,100,17539.0,100,9561.833333333334
Angleterre,quincaillerie,2,16.0,2,8.0
Angleterre,restant de marchandises,6,730.0,6,730.0
Angleterre,restant de sa cargaison,2,508.0,2,508.0
Angleterre,saumon,1,100.0,1,50.0
Angleterre,savon,5,77.0,5,32.0
Angleterre,sel,151,18873.0,151,14315.333333333334
Angleterre,sucre,9,179.0,9,70.16666666666667
Angleterre,tabac,10,2344.0,10,833.6666666666667
Angleterre,tabac en poudre,1,40.0,1,20.0
Angleterre,tafia,9,311.0,9,131.0
Angleterre,thé,56,966.0,56,726.5
Angleterre,toile,24,393.0,24,206.33333333333334
Angleterre,toile de Cambrai,5,492.0,5,163.16666666666666
Angleterre,térébenthine,1,3.0,1,3.0
Angleterre,vaches,5,26.0,5,24.5
Angleterre,vide,3,205.0,3,155.0
Angleterre,vin,102,11069.0,102,5625.666666666667
Angleterre,vinaigre,2,92.0,2,30.666666666666664
Angleterre,vivres,5,769.0,5,192.66666666666669
Angleterre,volailles,8,17.0,8,17.0
Danemark,Nankin,1,50.0,1,12.5
Danemark,Unknown for TOFLIT,4,146.0,4,48.66666666666667
Danemark,[vide],139,16950.0,139,
Danemark,bière,1,52.0,1,17.333333333333332
Danemark,café,14,1387.0,14,820.6666666666666
Danemark,eau-de-vie,94,5256.0,94,2750.733333333333
Danemark,eau-de-vie de genièvre,1,45.0,1,11.25
Danemark,feuilles de tabac,19,688.0,19,417.3333333333333
Danemark,genièvre,8,245.0,8,87.28333333333333
Danemark,grains seigle,1,234.0,1,234.0
Danemark,légumes,1,35.0,1,35.0
Danemark,marchandises,28,1595.0,28,789.9166666666666
Danemark,outils de pêche,2,750.0,2,375.0
Danemark,planches,5,640.0,5,370.0
Danemark,prunes,7,1064.0,7,443.8333333333333
Danemark,pêche à la baleine,2,750.0,2,375.0
Danemark,rhum,1,12.0,1,4.0
Danemark,sacs,1,30.0,1,30.0
Danemark,sel,93,9793.0,93,9346.0
Danemark,sirop,1,190.0,1,63.333333333333336
Danemark,sucre,4,468.0,4,172.33333333333334
Danemark,tabac,42,1517.0,42,1034.7
Danemark,thé,8,252.0,8,66.45
Danemark,thé vert,2,95.0,2,31.666666666666668
Danemark,vin,43,4832.0,43,2456.3333333333335
Danemark,vinaigre,1,125.0,1,41.666666666666664
Espagne,Unknown for TOFLIT,49,1164.0,49,916.6666666666666
Espagne,[vide],126,17223.0,126,
Espagne,amidon,2,44.0,2,18.333333333333332
Espagne,ballots,58,2344.0,58,1649.8333333333333
Espagne,barbe de baleine,1,14.0,1,4.666666666666667
Espagne,beurre,1,50.0,1,25.0
Espagne,bière,1,130.0,1,43.333333333333336
Espagne,bois,1,150.0,1,150.0
Espagne,bois pour construction,0,0.0,0,0.0
Espagne,brai,72,2437.0,72,1260.6666666666667
Espagne,cacao,5,120.0,5,72.33333333333333
Espagne,caisse,1,135.0,1,67.5
Espagne,cercles,0,0.0,0,0.0
Espagne,chanvre,0,0.0,0,0.0
Espagne,charbon de terre,0,0.0,0,0.0
Espagne,chaudière de fer,1,66.0,1,66.0
Espagne,cidre,1,60.0,1,30.0
Espagne,cuirs,3,111.0,3,48.833333333333336
Espagne,cuivre,1,40.0,1,20.0
Espagne,douves à tonneaux,0,0.0,0,0.0
Espagne,eau-de-vie,92,2449.0,92,1290.6666666666667
Espagne,farine,30,1870.0,30,1239.3333333333333
Espagne,faïence,0,0.0,0,0.0
Espagne,fer,5,374.0,5,219.83333333333334
Espagne,feuillards,1,95.0,1,95.0
Espagne,futailles vides,1,35.0,1,35.0
Espagne,fèves,4,230.0,4,180.0
Espagne,goudron,68,2066.0,68,877.3333333333334
Espagne,grains blé,20,1654.0,20,1171.5
Espagne,grains divers,2,58.0,2,30.5
Espagne,grains froment,15,705.0,15,553.25
Espagne,grains maïs,6,330.0,6,278.0
Espagne,grains millet,1,60.0,1,60.0
Espagne,grains orge,2,50.0,2,31.0
Espagne,grains riz,0,0.0,0,0.0
Espagne,graisse de baleine,1,15.0,1,15.0
Espagne,haricots blancs,1,3.0,1,3.0
Espagne,huile,1,32.0,1,10.666666666666666
Espagne,jambon,1,55.0,1,13.75
Espagne,laine,2,53.0,2,40.0
Espagne,lard salé,1,55.0,1,13.75
Espagne,libar,2,160.0,2,160.0
Espagne,liqueurs,2,150.0,2,56.666666666666664
Espagne,légumes,1,3.0,1,3.0
Espagne,marbre,1,26.0,1,8.666666666666666
Espagne,marchandises,34,3920.0,34,2370.8333333333335
Espagne,millet petit,2,6.0,2,6.0
Espagne,mistre,1,6.0,1,6.0
Espagne,morue,10,382.0,10,303.3333333333333
Espagne,morue sèche,4,271.0,4,271.0
Espagne,mâches,2,120.0,2,120.0
Espagne,papier,9,287.0,9,103.16666666666667
Espagne,passagers,0,0.0,0,0.0
Espagne,planches,71,2362.0,71,1247.4166666666667
Espagne,plomb,1,22.0,1,7.333333333333333
Espagne,pots de fer,7,368.0,7,309.0
Espagne,raisin,1,13.0,1,13.0
Espagne,salaisons,1,110.0,1,36.666666666666664
Espagne,savon,12,305.0,12,134.16666666666666
