destination_state_1789_fr,cargo_standardized_fr,nb_ships,sum_tonnage,nb_ships2,sum_tonnage_per_product
A0041886,Diverses marchandises,5,180.0,5,80.0
A0041886,Graines de lin,3,80.0,3,70.0
A0041886,Peaux de boeuf,1,20.0,1,10.0
A0041886,Sel,13,396.0,13,256.0
A0041886,Vin,2,80.0,2,40.0
A0041886,cuir,1,40.0,1,20.0
A0041886,cuirs,1,40.0,1,13.333333333333334
A0041886,tabac,3,60.0,3,26.666666666666668
A0046492,Diverses marchandises,1,60.0,1,60.0
A0049808,Café,15,593.0,15,252.33333333333334
A0049808,Coton,1,55.0,1,18.333333333333332
A0049808,Diverses marchandises,28,1836.0,28,755.1666666666666
A0049808,Eau-de-vie,2,280.0,2,280.0
A0049808,Fruits,7,840.0,7,301.6666666666667
A0049808,Huile,8,852.0,8,328.6666666666667
A0049808,Laine,2,86.0,2,43.0
A0049808,Sel,6,283.0,6,215.66666666666669
A0049808,Sucre,22,936.0,22,574.3333333333334
A0049808,Vin,7,290.0,7,121.33333333333334
A0049808,cuirs,2,105.0,2,35.0
A0049808,marbre,1,75.0,1,37.5
A0049808,marbres,1,180.0,1,180.0
A0049808,restant de son chargement,2,240.0,2,240.0
A0049808,restant de son chargement qu’il a apporté ici,1,44.0,1,44.0
A0049808,saumon,1,60.0,1,30.0
A0049808,saumons,2,72.0,2,20.666666666666664
A0049808,tabac faisant restant de son chargement,1,74.0,1,74.0
A0049808,taffia,1,55.0,1,18.333333333333332
A0079352,Avoine,3,390.0,3,390.0
A0079352,Blé,3,445.0,3,287.5
A0079352,Farine,1,200.0,1,100.0
A0079352,Orge,1,108.0,1,108.0
A0079352,balloteries,1,115.0,1,57.5
A0232521,Diverses marchandises,1,200.0,1,100.0
A0232521,tabac,1,200.0,1,100.0
A0251183,Diverses marchandises,2,280.0,2,115.0
A0251183,cloux,1,150.0,1,50.0
A0251183,tabac,3,480.0,3,315.0
A0360085,Bois,1,240.0,1,240.0
A0364551,Eau-de-vie,1,300.0,1,150.0
A0374720,Diverses marchandises,1,25.0,1,12.5
A0374720,Eau-de-vie,1,130.0,1,130.0
A0374720,genevre,1,25.0,1,12.5
A0374720,mousseline,4,100.0,4,100.0
A0618784,Café,1,106.0,1,106.0
A0618784,Sucre,2,180.0,2,135.0
A0618784,tabac,2,182.0,2,137.0
A0620777,Blé,2,125.0,2,125.0
A0620777,Café,5,519.0,5,350.5
A0620777,Eau-de-vie,1,270.0,1,270.0
A0620777,Sucre,3,377.0,3,254.5
A0620777,cottes de tabac,1,92.0,1,46.0
A0622825,Diverses marchandises,1,100.0,1,50.0
A0622825,huille de térbantine,1,100.0,1,50.0
A0624785,Café,16,813.0,16,420.6666666666667
A0624785,Diverses marchandises,21,1085.0,21,508.3333333333333
A0624785,Futailles vides,4,220.0,4,100.0
A0624785,Fèves,1,60.0,1,60.0
A0624785,Huile,1,50.0,1,16.666666666666668
A0624785,Orge,1,40.0,1,40.0
A0624785,Sucre,33,1774.0,33,1203.3333333333333
A0624785,Vin,3,120.0,3,80.0
A0624785,amidon,1,60.0,1,30.0
A0624785,cuir,1,50.0,1,25.0
A0624785,tabac,13,670.0,13,435.0
A0624934,Café,1,90.0,1,45.0
A0624934,Diverses marchandises,1,106.0,1,53.0
A0624934,tabac,2,196.0,2,98.0
A0627935,Café,2,185.0,2,92.5
A0627935,Diverses marchandises,4,258.0,4,122.33333333333334
A0627935,Futailles vides,2,146.0,2,93.0
A0627935,Orge,2,140.0,2,140.0
A0627935,Sucre,3,311.0,3,205.5
A0627935,Vin,2,110.0,2,83.33333333333333
A0627935,azur,1,80.0,1,40.0
A0627935,ozier,2,178.0,2,89.0
A0627935,panier,1,40.0,1,13.333333333333334
A0627935,tabac,1,40.0,1,20.0
A0627935,tabac restant de la cargaison,1,70.0,1,70.0
A0691896,cottes de tabac,1,70.0,1,70.0
A0743522,Diverses marchandises,1,170.0,1,56.666666666666664
A0743522,Vin,1,170.0,1,56.666666666666664
A0743522,tabac,3,435.0,3,321.6666666666667
A0912818,Diverses marchandises,1,35.0,1,11.666666666666666
A0912818,figues,1,35.0,1,11.666666666666666
A0912818,raisins,1,35.0,1,11.666666666666666
A1054071,restant de sa cargaison pris à croisic de caffé et de vin,1,150.0,1,150.0
A1086867,genevre,1,12.0,1,12.0
A1964976,Diverses marchandises,4,94.0,4,47.0
A1964976,genevre,4,122.0,4,61.0
A1964976,tabac,1,40.0,1,20.0
A1964976,taffias,1,12.0,1,6.0
B0000056,Diverses marchandises,1,120.0,1,40.0
B0000056,genevre,1,120.0,1,40.0
B0000056,toile,1,120.0,1,40.0
B2827324,Charbon,1,350.0,1,175.0
B2827324,Diverses marchandises,1,350.0,1,175.0
