cargo,cargo_standardized_fr,departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,nb_cargo,commodity_as_toflit
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,90.0,1789-04-23,0.0,[vide]
,,A0198999,La Rochelle,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,165.0,1789-09-21,0.0,[vide]
,,A0198999,La Rochelle,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,75.0,1789-09-11,0.0,[vide]
,,A0198999,La Rochelle,A0840357,Norvège,Danemark,Etranger,Norvège,Danemark,150.0,1789-07-08,0.0,[vide]
,,A0198999,La Rochelle,A1963986,Mer Baltique,,Etranger,,zone maritime,200.0,1789-04-09,0.0,[vide]
,,A0198999,La Rochelle,A1164922,Stettin,Prusse,Etranger,,Prusse,150.0,1789-03-16,0.0,[vide]
,,A0198999,La Rochelle,A0379790,Liverpool,Angleterre,Etranger,Angleterre,Grande-Bretagne,110.0,1789-09-16,0.0,[vide]
,,A0198999,La Rochelle,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,110.0,1789-09-01,0.0,[vide]
,,A0198999,La Rochelle,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,75.0,1789-01-27,0.0,[vide]
,,A0198999,La Rochelle,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,260.0,1789-11-13,0.0,[vide]
,,A0198999,La Rochelle,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,60.0,1789-10-08,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,120.0,1789-03-27,0.0,[vide]
,,A0198999,La Rochelle,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-09-24,0.0,[vide]
,,A0198999,La Rochelle,A0379790,Liverpool,Angleterre,Etranger,Angleterre,Grande-Bretagne,113.0,1789-09-29,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,100.0,1789-05-05,0.0,[vide]
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,130.0,1789-04-10,0.0,[vide]
,,A0198999,La Rochelle,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,110.0,1789-08-11,0.0,[vide]
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,120.0,1789-10-30,0.0,[vide]
,,A0198999,La Rochelle,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,22.0,1789-07-15,0.0,[vide]
,,A0198999,La Rochelle,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,80.0,1789-04-09,0.0,[vide]
,,A0198999,La Rochelle,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,90.0,1789-06-26,0.0,[vide]
,,A0198999,La Rochelle,A0049808,Ostende,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-12-18,0.0,[vide]
,,A0198999,La Rochelle,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,290.0,1789-07-06,0.0,[vide]
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,120.0,1789-05-23,0.0,[vide]
,,A0198999,La Rochelle,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,220.0,1789-05-11,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,120.0,1789-08-01,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,100.0,1789-09-17,0.0,[vide]
,,A0198999,La Rochelle,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,90.0,1789-10-27,0.0,[vide]
,,A0198999,La Rochelle,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,60.0,1789-09-07,0.0,[vide]
,,A0198999,La Rochelle,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,60.0,1789-07-17,0.0,[vide]
,,A0198999,La Rochelle,A1170043,Elbing / Elblag,Prusse,Etranger,,Prusse,120.0,1789-04-21,0.0,[vide]
,,A0198999,La Rochelle,B0000003,Philadelphie,Etats-Unis,Etranger,Pennsylvanie,Etats-Unis d'Amérique,160.0,1789-12-18,0.0,[vide]
,,A0198999,La Rochelle,A1164922,Stettin,Prusse,Etranger,,Prusse,100.0,1789-10-28,0.0,[vide]
,,A0198999,La Rochelle,A0622244,Noordwijk ,Hollande,Etranger,Hollande,Provinces-Unies,100.0,1789-09-01,0.0,[vide]
,,A0198999,La Rochelle,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,80.0,1789-02-23,0.0,[vide]
