destination_uhgs_id,destination_substate_1789_fr,destination_state_1789_fr,port
A0381691,Angleterre,Grande-Bretagne,London
A0386900,Angleterre,Grande-Bretagne,Berwick
A0406859,Angleterre,Grande-Bretagne,Bristol
A0407764,Angleterre,Grande-Bretagne,Chester
A0397468,Angleterre,Grande-Bretagne,Chichester
A0401683,Angleterre,Grande-Bretagne,Colchester
A0401605,Angleterre,Grande-Bretagne,Cowes
A0409593,Angleterre,Grande-Bretagne,Darthmouth
A0386686,Angleterre,Grande-Bretagne,Deal
A0382747,Angleterre,Grande-Bretagne,Dover
A0390341,Angleterre,Grande-Bretagne,Exeter
A0403551,Angleterre,Grande-Bretagne,Falmouth
A0391703,Angleterre,Grande-Bretagne,Faversham
A0394365,Angleterre,Grande-Bretagne,Fowey
A0386567,Angleterre,Grande-Bretagne,Harwich
A0389327,Angleterre,Grande-Bretagne,Hull
A0379993,Angleterre,Grande-Bretagne,Ipswich
A0379790,Angleterre,Grande-Bretagne,Liverpool
A0381991,Angleterre,Grande-Bretagne,Lynn Regis
A0389696,Angleterre,Grande-Bretagne,Malden
A0405307,Angleterre,Grande-Bretagne,Milford
A0409139,Angleterre,Grande-Bretagne,Newcastle
A0396870,Angleterre,Grande-Bretagne,Newhaven
A0391854,Angleterre,Grande-Bretagne,Padstow
A0379452,Angleterre,Grande-Bretagne,Penzance
A0397385,Angleterre,Grande-Bretagne,Plymouth
A0385489,Angleterre,Grande-Bretagne,Portsmouth
A0401283,Angleterre,Grande-Bretagne,Rochester
A0384561,Angleterre,Grande-Bretagne,Rye
A0388956,Angleterre,Grande-Bretagne,Scarborough
A0397493,Angleterre,Grande-Bretagne,Scilly Isles
A0405054,Angleterre,Grande-Bretagne,Shoreham
A0408148,Angleterre,Grande-Bretagne,Southampton
A0391902,Angleterre,Grande-Bretagne,Stockton
A0380557,Angleterre,Grande-Bretagne,Sunderland
A0384574,Pays de Galles,Grande-Bretagne,Swansea
A0403842,Angleterre,Grande-Bretagne,Weymouth
A0407958,Angleterre,Grande-Bretagne,Whitby
A0395178,Angleterre,Grande-Bretagne,Whitehaven
A0388692,Angleterre,Grande-Bretagne,Yarmouth
,Angleterre,Grande-Bretagne,Arundel
,Angleterre,Grande-Bretagne,Wells
,Pays de Galles,Grande-Bretagne,Llanelly
,Angleterre,Grande-Bretagne,Boston
,Pays de Galles,Grande-Bretagne,Cardiff
,Angleterre,Grande-Bretagne,Aldborough
,Angleterre,Grande-Bretagne,Woodbridge
,Angleterre,Grande-Bretagne,Lancaster
,Angleterre,Grande-Bretagne,Barnstaple
,Angleterre,Grande-Bretagne,Bridlington
,Pays de Galles,Grande-Bretagne,Beaumaris
,Angleterre,Grande-Bretagne,Southwold
,Angleterre,Grande-Bretagne,Truro
,Angleterre,Grande-Bretagne,Carlisle
,Angleterre,Grande-Bretagne,Ilfracombe
,Pays de Galles,Grande-Bretagne,Chepstow
,Angleterre,Grande-Bretagne,Penryn
,Angleterre,Grande-Bretagne,Sandwich
,Angleterre,Grande-Bretagne,Poole
,Angleterre,Grande-Bretagne,Gloucester
