uhgs_id,Names of the ports,from French Flanders_British vessels_Nb,from French Flanders_British vessels_tons,from French Flanders_foreign_vessels_Nb,from French Flanders_foreign_vessels_tons,from France_British vessels_Nb,from France_British vessels_tons,from France_foreign vessels_Nb,from France_foreign vessels_tons
A0381691,London,75,6668,3,450,153,13940,14,1259
#N/A,Aldborough,,,,,,,,
A0379983,Arundel,,,,,2,139,,
#N/A,Barnstaple,,,,,5,553,,
A0386900,Berwick,,,,,1,61,,
#N/A,Biddeford,,,,,3,291,,
#N/A,Blackney O Clay,,,,,,,,
#N/A,Boston,,,,,3,246,,
#N/A,Bridlington,,,,,1,101,,
#N/A,Beaumaris,,,,,,,,
A0406859,Bristol,,,,,11,1070,3,384
#N/A,Cardiff,,,,,,,,
#N/A,Curdigan,,,,,,,,
#N/A,Carlisle,,,,,,,,
#N/A,Chepstow,,,,,,,,
A0407764,Chester,,,,,,,,
A0397468,Chichester,,,,,12,592,,
A0401683,Colchester,,,,,7,327,,
A0401605,Cowes,,,,,10,425,,
A0409593,Darthmouth,,,,,18,1992,,
A0386686,Deal,,,,,,,,
A0382747,Dover,,,,,587,34853,242,6989
A0390341,Exeter,,,,,18,1485,,
A0403551,Falmouth,,,,,1,141,1,48
A0391703,Faversham,,,,,15,512,,
A0394365,Fowey,,,,,1,58,2,106
#N/A,Gloucester,,,,,,,,
#N/A,Gweck,,,,,1,21,,
A0386567,Harwich,,,,,,,,
A0389327,Hull,,,,,45,5507,1,100
A0382128,Ilfracombe,,,,,1,28,,
A0379993,Ipswich,,,,,2,168,,
#N/A,Lancaster,,,,,,,,
#N/A,Llanelly,,,,,,,,
A0379790,Liverpool,,,,,82,8394,4,517
#N/A,Lopes,,,,,2,117,,
#N/A,Lynne,,,,,,,,
A0381991,Lynn Regis,,,,,1,84,,
A0389696,Malden,,,,,12,545,,
A0405307,Milford,,,,,,,,
#N/A,Minchead,,,,,,,,
A0409139,Newcastle,,,,,25,3859,,
A0396870,Newhaven,,,,,1,21,,
A0391854,Padstow,,,,,,,,
#N/A,Penryn,,,,,,,,
A0379452,Penzance,,,,,1,126,1,50
A0397385,Plymouth,,,,,2,222,,
A0403098,Poole,,,,,38,3373,,
A0385489,Portsmouth,,,,,23,1112,,
#N/A,Poullon & Preston,,,,,,,,
A0401283,Rochester,3,75,,,48,1961,,
A0384561,Rye,,,,,5,273,,
#N/A,Saint Yves,,,,,2,105,3,136
A0408933,Sandwich,,,,,,,,
A0388956,Scarborough,,,,,1,106,,
A0397493,Scilly Isles,,,,,,,,
A0405054,Shoreham,,,,,24,1920,,
A0408148,Southampton,,,,,42,1835,1,60
#N/A,Southwold,,,,,2,220,,
A0391902,Stockton,,,,,1,55,,
A0380557,Sunderland,91,11872,,,121,12536,,
A0384574,Swansea,,,,,1,86,1,35
#N/A,Truro,,,,,,,,
#N/A,Wells,,,,,,,,
A0403842,Weymouth,,,,,,,,
A0407958,Whitby,,,,,10,775,,
A0395178,Whitehaven,,,,,2,400,,
#N/A,Wisbeach,,,,,,,,
A0407326,Woodbridge,,,,,1,108,,
A0388692,Yarmouth,,,,,8,688,,
