line_number,year,customs_region,partner,product_orthographic,product_simplification,product_revolutionempire,value,quantity,quantity_unit,quantity_unit_orthographic,quantity_unit_metric,unit_price_metric,value_per_unit,product_revolutionempire
23,1777,Amiens,Angleterre,agrément de soie,agrément de soie,Soieries diverses,7525,150.5,Livres,livres,kg,102.14504,50,Soieries diverses
17,1754,,Angleterre,agrément de soie,agrément de soie,Soieries diverses,340,,,unité manquante,unité manquante,,,Soieries diverses
14,1761,,Angleterre,agrément de soie,agrément de soie,Soieries diverses,240,,,unité manquante,unité manquante,,,Soieries diverses
217,1754,,Angleterre,bas de filoselle,bas de filoselle,Soieries diverses,32,,,unité manquante,unité manquante,,,Soieries diverses
1811,1750,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,2160,144,Paires,paires,nombre,7.5,15,Soieries diverses
6193,1751,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,1410,94,Paires,paires,nombre,7.5,15,Soieries diverses
2748,1763,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,400,50,Paires,paires,nombre,4,8,Soieries diverses
3176,1765,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,960,80,Paires,paires,nombre,6,12,Soieries diverses
1,1766,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,1416,118,Paires,paires,nombre,6,12,Soieries diverses
1,1768,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,1200,120,paires,paires,nombre,5,10,Soieries diverses
3755,1769,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,14400,120,Douzaines,douzaine,nombre,10,120,Soieries diverses
3971,1770,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,48240,402,Douzaines,douzaine,nombre,10,120,Soieries diverses
1,1772,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,43700,437,douzaine,douzaine,nombre,8.333333,100,Soieries diverses
1,1773,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,63800,638,Douzaines,douzaine,nombre,8.333333,100,Soieries diverses
4177,1774,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,40400,404,Douzaines,douzaine,nombre,8.333333,100,Soieries diverses
4436,1775,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,38300,383,Douzaines,douzaine,nombre,8.333333,100,Soieries diverses
4651,1776,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,56700,567,Douzaines,douzaine,nombre,8.333333,100,Soieries diverses
2,1777,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,44100,441,Douzaines,douzaine,nombre,8.333333,100,Soieries diverses
4932,1778,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,7300,73,Douzaines,douzaine,nombre,8.333333,100,Soieries diverses
110,1732,Caen,Angleterre,bas de soie,bas de soie,Soieries diverses,45,,,unité manquante,unité manquante,,,Soieries diverses
2123,1727,La Rochelle,L'Angleterre,bas de soie,bas de soie,Soieries diverses,84,7,Paires,paires,nombre,6,12,Soieries diverses
10374,1756,La Rochelle,L'Angleterre,bas de soie,bas de soie,Soieries diverses,20,.5,Livres,livres,kg,81.716034,40,Soieries diverses
11831,1765,La Rochelle,L'Angleterre,bas de soie,bas de soie,Soieries diverses,324,36,Paires,paires,nombre,4.5,9,Soieries diverses
55,1752,Lyon,Angleterre,bas de soie,bas de soie,Soieries diverses,140,3.5,Livres,livres,kg,81.716034,40,Soieries diverses
4304,1740,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,792,72,pieces,pièces,nombre,11,11,Soieries diverses
5,1750,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,1000,25,livres,livres,kg,81.716034,40,Soieries diverses
4,1752,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,15000,375,Livres,livres,kg,81.716034,40,Soieries diverses
1,1761,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,8000,200,Livres,livres,kg,81.716034,40,Soieries diverses
1,1762,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,6000,150,livres,livres,kg,81.716034,40,Soieries diverses
11,1763,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,25200,630,livres,livres,kg,81.716034,40,Soieries diverses
