produits,Smogglage,Exports nationaux,Pourcentage
Eaux-de-vie,1069551,7598120,14
Vins,3550,11776439,"0,03"
Thés,17270,1595558,1
Feuilles de tabac,378815,946904,40
Sucre brut,4138,3487,119
Café,17718,120759,15
