year,is_smoggleur,value,month
1787,1,71,Janvier
1787,1,124,Février
1787,1,92,Mars
1787,1,67,Avril
1787,1,77,Mai
1787,1,79,Juin
1787,1,96,Juillet
1787,1,98,Août
1787,1,0,Septembre
1787,1,65,Octobre 
1787,1,0,Novembre
1787,1,95,Décembre
1788,1,96,Janvier
1788,1,83,Février
1788,1,82,Mars
1788,1,57,Avril
1788,1,65,Mai
1788,1,70,Juin
1788,1,118,Juillet
1788,1,82,Août
1788,1,55,Septembre
1788,1,81,Octobre 
1788,1,71,Novembre
1788,1,51,Décembre
1789,1,95,Janvier
1789,1,112,Février
1789,1,100,Mars
1789,1,87,Avril
1789,1,80,Mai
1789,1,92,Juin
1789,1,97,Juillet
1789,1,95,Août
1789,1,100,Septembre
1789,1,103,Octobre 
1789,1,80,Novembre
1789,1,89,Décembre
1789,1,99,Janvier
1789,1,109,Février
1789,1,104,Mars
1789,1,83,Avril
1789,1,81,Mai
1789,1,88,Juin
1789,1,99,Juillet
1789,1,98,Août
1789,1,96,Septembre
1789,1,105,Octobre 
1789,1,81,Novembre
1789,1,87,Décembre
1787,0,6005,Janvier
1787,0,6295,Février
1787,0,8624,Mars
1787,0,9020,Avril
1787,0,8539,Mai
1787,0,7528,Juin
1787,0,8555,Juillet
1787,0,10246,Août
1787,0,11651,Septembre
1787,0,9073,Octobre
1787,0,7625,Novembre
1787,0,9371,Décembre
1788,0,7176,Janvier
1788,0,6086,Février
1788,0,11467,Mars
1788,0,11040,Avril
1788,0,11497,Mai
1788,0,9808,Juin
1788,0,10521,Juillet
1788,0,9557,Août
1788,0,10489,Septembre
1788,0,11987,Octobre
1788,0,8293,Novembre
1788,0,4023,Décembre
1789,0,2906,Janvier
1789,0,7677,Février
1789,0,9647,Mars
1789,0,14764,Avril
1789,0,11798,Mai
1789,0,11420,Juin
1789,0,15623,Juillet
1789,0,15059,Août
1789,0,12026,Septembre
1789,0,10830,Octobre
1789,0,10553,Novembre
1789,0,9146,Décembre
