Port de destination,Nombre de départs vers le port de destination,Tonnage cumulé vers le port de destination,Nombre de bateau avec une classe de [1-20],Nombre de bateau avec une classe de [21-50],Nombre de bateau avec une classe de [51-100],Nombre de bateau avec une classe de [101-200],Nombre de bateau avec une classe de [201-500]
Douvres,787,16929,122,512,1,1,0
Londres,25,562,14,10,1,0,0
Deal,95,232,94,1,0,0,0
Whistable,8,30,8,0,0,0,0
Newcastle,1,45,0,1,0,0,0
Faversham,11,42,11,0,0,0,0
Rochester,7,34,7,0,0,0,0
Poole,4,134,1,3,0,0,0
Chatham ,1,2,1,0,0,0,0
Walmer,1,2,1,0,0,0,0
Sunderland,1,280,0,0,0,0,1
Padstow,1,40,0,1,0,0,0
Hasting,1,4,1,0,0,0,0
Yarmouth,1,75,0,0,1,0,0
Folkestone,8,22,8,0,0,0,0
Colchester,2,8,2,0,0,0,0
Chichester,1,36,0,1,0,0,0
Teignmouth,1,12,1,0,0,0,0
Ramsgate,4,8,4,0,0,0,0
Margate,9,44,9,0,0,0,0
Rye,5,60,5,0,0,0,0
Dartmouth,1,24,0,1,0,0,0
