Port de destination,Classe de tonnage,Portion dans les départs
Douvres,[1-20],0.15501905972045743
Douvres,[21-50],0.650571791613723
Douvres,[51-100],0.0012706480304955528
Douvres,[101-200],0.0012706480304955528
Douvres,[201-500],0.0
Londres,[1-20],0.56
Londres,[21-50],0.4
Londres,[51-100],0.04
Londres,[101-200],0.0
Londres,[201-500],0.0
Deal,[1-20],0.9894736842105263
Deal,[21-50],0.010526315789473684
Deal,[51-100],0.0
Deal,[101-200],0.0
Deal,[201-500],0.0
Whistable,[1-20],1.0
Whistable,[21-50],0.0
Whistable,[51-100],0.0
Whistable,[101-200],0.0
Whistable,[201-500],0.0
Newcastle,[1-20],0.0
Newcastle,[21-50],1.0
Newcastle,[51-100],0.0
Newcastle,[101-200],0.0
Newcastle,[201-500],0.0
Faversham,[1-20],1.0
Faversham,[21-50],0.0
Faversham,[51-100],0.0
Faversham,[101-200],0.0
Faversham,[201-500],0.0
Rochester,[1-20],1.0
Rochester,[21-50],0.0
Rochester,[51-100],0.0
Rochester,[101-200],0.0
Rochester,[201-500],0.0
Poole,[1-20],0.25
Poole,[21-50],0.75
Poole,[51-100],0.0
Poole,[101-200],0.0
Poole,[201-500],0.0
Chatham ,[1-20],1.0
Chatham ,[21-50],0.0
Chatham ,[51-100],0.0
Chatham ,[101-200],0.0
Chatham ,[201-500],0.0
Walmer,[1-20],1.0
Walmer,[21-50],0.0
Walmer,[51-100],0.0
Walmer,[101-200],0.0
Walmer,[201-500],0.0
Sunderland,[1-20],0.0
Sunderland,[21-50],0.0
Sunderland,[51-100],0.0
Sunderland,[101-200],0.0
Sunderland,[201-500],1.0
Padstow,[1-20],0.0
Padstow,[21-50],1.0
Padstow,[51-100],0.0
Padstow,[101-200],0.0
Padstow,[201-500],0.0
Hasting,[1-20],1.0
Hasting,[21-50],0.0
Hasting,[51-100],0.0
Hasting,[101-200],0.0
Hasting,[201-500],0.0
Yarmouth,[1-20],0.0
Yarmouth,[21-50],0.0
Yarmouth,[51-100],1.0
Yarmouth,[101-200],0.0
Yarmouth,[201-500],0.0
Folkestone,[1-20],1.0
Folkestone,[21-50],0.0
Folkestone,[51-100],0.0
Folkestone,[101-200],0.0
Folkestone,[201-500],0.0
Colchester,[1-20],1.0
Colchester,[21-50],0.0
Colchester,[51-100],0.0
Colchester,[101-200],0.0
Colchester,[201-500],0.0
Chichester,[1-20],0.0
Chichester,[21-50],1.0
Chichester,[51-100],0.0
Chichester,[101-200],0.0
Chichester,[201-500],0.0
Teignmouth,[1-20],1.0
Teignmouth,[21-50],0.0
Teignmouth,[51-100],0.0
Teignmouth,[101-200],0.0
Teignmouth,[201-500],0.0
Ramsgate,[1-20],1.0
Ramsgate,[21-50],0.0
Ramsgate,[51-100],0.0
Ramsgate,[101-200],0.0
Ramsgate,[201-500],0.0
Margate,[1-20],1.0
Margate,[21-50],0.0
Margate,[51-100],0.0
Margate,[101-200],0.0
Margate,[201-500],0.0
Rye,[1-20],1.0
Rye,[21-50],0.0
Rye,[51-100],0.0
Rye,[101-200],0.0
Rye,[201-500],0.0
Dartmouth,[1-20],0.0
Dartmouth,[21-50],1.0
Dartmouth,[51-100],0.0
Dartmouth,[101-200],0.0
Dartmouth,[201-500],0.0
