uhgs_id,destination,occurence,latitude,longitude
A0816635,Copenhague,1,55.666667,12.583333
A1010107,Riga,1,56.95,24.1
A0895858,Larwick [Norway],1,59.053092,10.02634
A1964976,Nord Ferrow en Norvege,5,62.192805,-7.072907
A1204354,Dantzick,3,54.35,18.666667
A0877138,Sogn,2,61.066667,5.516667
A0848887,Christiansand,1,58.153787,7.996559
A0106063,Alicant,1,38.349909,-0.483427
A0912818,Bergen,1,60.391111,5.324722
A0894753,Arendal,2,58.460278,8.766667
A0180923,Bordeaux,1,44.833333,-0.566667
A0826432,Elseneur,5,56.033333,12.616667
A0385744,Lauwig,1,60.15,-1.15
A0836627,Christiania,6,59.916667,10.75
A0863210,Krageroé,1,58.866667,9.416667
A0849663,Frédérickstad,1,59.216667,10.95
A0869447,Frédérickshall,3,59.15,11.383333
A0350781,Ile de Rhodes,1,36.166667,28
A0756074,Barth,1,54.367824,12.725158
A0858871,Holmestrand,2,59.48705,10.323
A0819577,Randers,1,56.466667,10.05
A1164922,Stettin,1,53.426985,14.550648
B0000939,Nantucket,2,41.283502,-70.099053
A1007317,Libau,2,56.516667,21.016667
A0374720,Madère,1,32.733333,-17
A0834735,Mandal,2,58.033333,7.45
A1746604,Pilau,2,54.652222,19.909167
A0897151,Fleckfjord,1,58.283333,6.683333
