destination_uhgs_id,departure_uhgs_id,departure_longitude,departure_latitude,departure,destination_latitude,destination_longitude,destination
A0170986,A0122218,1.083333,49.433333,Rouen,43.4,3.683333,Sette
A0170819,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,48.65,-2.016667,Saint Malo
A0122594,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,43.388103,-1.654143,Saint Jean de Luz
A0079352,A0204180,2.366667,51.05,Dunkerque,41.38822,2.169399,Barcelonne
A0187995,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,43.483333,-1.483333,Bayonne
A0170986,A0204180,2.366667,51.05,Dunkerque,43.4,3.683333,Sette
A0187995,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,43.483333,-1.483333,Bayonne
A0070159,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,43.362274,-1.7907,Fontarrabie
A0187995,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,43.483333,-1.483333,Bayonne
A0170986,A0192135,0.366667,49.75,Fécamp,43.4,3.683333,Sette
A0196496,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,45.943666,-0.97043,Rochefort
A0170819,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,48.65,-2.016667,Saint Malo
A0122594,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,43.388103,-1.654143,Saint Jean de Luz
A1968858,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,45.583333,-1.05,Rivière de Bordeaux
A0251183,A0204180,2.366667,51.05,Dunkerque,43.55,10.316667,Livourne
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A1759102,A0204180,2.366667,51.05,Dunkerque,59.894444,30.264167,Petersbourg
B1974029,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,14.745717,-61.172419,Saint Pierre en Martinique
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0232521,A0204180,2.366667,51.05,Dunkerque,44.416667,8.95,Genes
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0079352,A0204180,2.366667,51.05,Dunkerque,41.38822,2.169399,Barcelonne
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
B0000935,A0204180,2.366667,51.05,Dunkerque,61.041268,-40.283207,Groenland
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0170986,A0122218,1.083333,49.433333,Rouen,43.4,3.683333,Sette
A0170986,A0122218,1.083333,49.433333,Rouen,43.4,3.683333,Sette
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0170986,A0122218,1.083333,49.433333,Rouen,43.4,3.683333,Sette
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0167057,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,48.838204,-1.597853,Granville
B2048070,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,19.757778,-72.204167,Cap [Français]
A0079352,A0204180,2.366667,51.05,Dunkerque,41.38822,2.169399,Barcelonne
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0170986,A0204180,2.366667,51.05,Dunkerque,43.4,3.683333,Sette
A0187995,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,43.483333,-1.483333,Bayonne
A0198999,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,46.166667,-1.15,La Rochelle
A0251183,A0232521,8.95,44.416667,Genes,43.55,10.316667,Livourne
B1974029,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,14.745717,-61.172419,Saint Pierre en Martinique
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0210797,A0079352,2.169399,41.38822,Barcelonne,43.3,5.4,Marseille
A0079352,A0204180,2.366667,51.05,Dunkerque,41.38822,2.169399,Barcelonne
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0170819,B1965595,-56.333333,46.833333,Saint Pierre et Miquelon,48.65,-2.016667,Saint Malo
A0146289,A0204180,2.366667,51.05,Dunkerque,63.43086,-18.288575,Islande
A0079352,A0204180,2.366667,51.05,Dunkerque,41.38822,2.169399,Barcelonne
