year,value,source,export,import,partner,product,product_revolutionempire,product_simplification,product_sitc_FR,customs_region,customs_office
1789,0,best_guess_region_prodxpart,no,yes,dunkerque,Bray goudron,"Brai, goudron et résines",brai et goudron,Matières brutes non-comestibles non transformées n.d.a.,Caen,Cherbourg
1789,580,best_guess_region_prodxpart,no,yes,dunkerque,Coton en laine,Coton non transformé,coton,Matières brutes non-comestibles non transformées n.d.a.,Caen,Cherbourg
1789,4019.400000000001,best_guess_region_prodxpart,no,yes,dunkerque,Grains commestibles orge,Blé et autres grains comestibles,grains orge,Autres produits alimentaires et animaux,Caen,Cherbourg
1789,0,best_guess_region_prodxpart,no,yes,dunkerque,Lin en masse,Lin,masses de lin,Matières brutes non-comestibles non transformées n.d.a.,Caen,Cherbourg
1789,235,best_guess_region_prodxpart,no,yes,dunkerque,Marchandises à la valeur,Divers mélangés,marchandises à l'estimation,Divers mélangés,Caen,Cherbourg
1789,3694,best_guess_region_prodxpart,yes,no,dunkerque,Bois ; en claffous ou merrain,"Ouvrages de bois, liège et jonc",clafou de bois ou merrains de bois,"Produits du bois, liège, jonc",Flandre,Armentière
1789,3504,best_guess_region_prodxpart,yes,no,dunkerque,Bonneterie ; de laine ; en bas,Habits et lingerie,bas de laine,Articles manufacturés divers n.d.a,Flandre,Armentière
1789,720,best_guess_region_prodxpart,yes,no,dunkerque,Fromage,Fromage,fromage,Autres produits alimentaires et animaux,Flandre,Armentière
1789,3800,best_guess_region_prodxpart,yes,no,dunkerque,Fromage,Fromage,fromage,Autres produits alimentaires et animaux,Flandre,Armentière
1789,133,best_guess_region_prodxpart,yes,no,dunkerque,Marchandises ; à la valeur,Divers mélangés,marchandises à l'estimation,Divers mélangés,Flandre,Armentière
1789,65048,best_guess_region_prodxpart,yes,no,dunkerque,Tabac ; en feuilles,Tabac,feuilles de tabac,Boissons et tabac,Flandre,Armentière
1789,540,best_guess_region_prodxpart,yes,no,dunkerque,Toile ; de fil et coton,Toiles diverses,toile de coton et de fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,Flandre,Armentière
1789,1899,best_guess_region_prodxpart,yes,no,dunkerque,Toile ; de lin ; blanche ; commune,Toiles de chanvre et de lin,toile blanche de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Flandre,Armentière
1789,200,best_guess_region_prodxpart,yes,no,dunkerque,Vin ; de Bourgogne,Vins divers,vin de Bourgogne,Boissons et tabac,Flandre,Armentière
1789,300,best_guess_region_prodxpart,yes,no,dunkerque,Amandes ; diverses,Fruits secs et noix,amandes,Autres produits alimentaires et animaux,Flandre,Lille
1789,4620,best_guess_region_prodxpart,yes,no,dunkerque,Amidon,Ouvrages divers et mélangés,amidon,Produits chimiques transformés n.d.a.,Flandre,Lille
