year,value,source,export,import,partner,product,product_revolutionempire,product_simplification,product_sitc_FR,customs_region,customs_office
1789,144,best_guess_region_prodxpart,yes,no,dunkerque,Verrerie,Verrerie,verrerie,"Articles minéraux non métalliques manufacturés, n.d.a.",Amiens,Saint-Valery-sur-Somme
1789,157.5,best_guess_region_prodxpart,yes,no,dunkerque,Beurre,Beurre,beurre,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,120,best_guess_region_prodxpart,yes,no,dunkerque,Cidre,"Bière, cidre et vinaigre",cidre,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,6145,best_guess_region_prodxpart,yes,no,dunkerque,Eau ; de vie ; simple,Eaux-de-vie et liqueurs,eau-de-vie simple,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,740.00001,best_guess_region_prodxpart,yes,no,dunkerque,Houblon,Matières premières diverses,houblon,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,235,best_guess_region_prodxpart,yes,no,dunkerque,Liqueur,Eaux-de-vie et liqueurs,liqueurs,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,780,best_guess_region_prodxpart,yes,no,dunkerque,Liqueur ; sirop ; melasse,Sirop et mélasse,mélasse,Produits agricoles alimentaires des régions de colonisation européenne,Amiens,Boulogne-sur-Mer
1789,270,best_guess_region_prodxpart,yes,no,dunkerque,Marchandises ; à la valeur,Divers mélangés,marchandises à l'estimation,Divers mélangés,Amiens,Boulogne-sur-Mer
1789,240,best_guess_region_prodxpart,yes,no,dunkerque,Mercerie,Mercerie,mercerie,Divers mélangés,Amiens,Boulogne-sur-Mer
1789,320,best_guess_region_prodxpart,yes,no,dunkerque,Pierres ; à chaux,Matières premières diverses,pierres à chaux,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Boulogne-sur-Mer
1789,2940,best_guess_region_prodxpart,yes,no,dunkerque,Ustenciles ; de pêche,Ouvrages divers et mélangés,outils de pêche,"Métaux, produits métalliques et outils",Amiens,Boulogne-sur-Mer
1789,160,best_guess_region_prodxpart,yes,no,dunkerque,Vin,Vins divers,vin,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,788,best_guess_region_prodxpart,yes,no,dunkerque,Vinaigre,"Bière, cidre et vinaigre",vinaigre,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,1000,best_guess_region_prodxpart,yes,no,dunkerque,Fruits ; secs ; noisettes,Fruits secs et noix,noisette sèches,Autres produits alimentaires et animaux,Amiens,Calais
1789,1858,best_guess_region_prodxpart,yes,no,dunkerque,Papier ; blanc,Papier,papier blanc,Papier,Amiens,Calais
1789,1089.4,best_guess_region_prodxpart,no,yes,dunkerque,Amandes,Fruits secs et noix,amandes,Autres produits alimentaires et animaux,Amiens,Calais
1789,175,best_guess_region_prodxpart,no,yes,dunkerque,Beurre,Beurre,beurre,Autres produits alimentaires et animaux,Amiens,Calais
1789,1170,best_guess_region_prodxpart,no,yes,dunkerque,Bray,"Brai, goudron et résines",brai,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Calais
1789,4000,best_guess_region_prodxpart,no,yes,dunkerque,Cacao,Cacao et chocolat,cacao,Produits agricoles alimentaires des régions de colonisation européenne,Amiens,Calais
1789,31087.5,best_guess_region_prodxpart,no,yes,dunkerque,Caffé,Café,café,Produits agricoles alimentaires des régions de colonisation européenne,Amiens,Calais
1789,711,best_guess_region_prodxpart,no,yes,dunkerque,Drogues diverses,Drogues diverses,drogues,Produits chimiques transformés n.d.a.,Amiens,Calais
1789,1038,best_guess_region_prodxpart,no,yes,dunkerque,Epicerie Piment,Poivre et piment,poivre,Produits agricoles alimentaires des régions de colonisation européenne,Amiens,Calais
1789,1724,best_guess_region_prodxpart,no,yes,dunkerque,Fruits divers,Fruits frais,fruits,Autres produits alimentaires et animaux,Amiens,Calais
1789,13866.25,best_guess_region_prodxpart,no,yes,dunkerque,Fruits divers ; secs ; raisins,[vide],,Divers incertains et inconnus,Amiens,Calais
1789,184,best_guess_region_prodxpart,no,yes,dunkerque,Marchandises à la valeur,Divers mélangés,marchandises à l'estimation,Divers mélangés,Amiens,Calais
1789,450,best_guess_region_prodxpart,no,yes,dunkerque,Peaux diverses,"Cuirs, peaux et pelleterie",peaux,"Cuirs, peaux et produits dérivés hors sellerie",Amiens,Calais
1789,10309.75,best_guess_region_prodxpart,no,yes,dunkerque,Savon,Savon,savon,Produits chimiques transformés n.d.a.,Amiens,Calais
1789,1481.5,best_guess_region_prodxpart,no,yes,dunkerque,Sucre brut,Sucre,sucre brut,Produits agricoles alimentaires des régions de colonisation européenne,Amiens,Calais
1789,144,best_guess_region_prodxpart,no,yes,dunkerque,Vins divers,Vins divers,vin divers,Boissons et tabac,Amiens,Calais
1789,3215,best_guess_region_prodxpart,no,yes,dunkerque,Cendres cassan,Cendres diverses,cendre cassant,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Saint-Valery-sur-Somme
1789,1020,best_guess_region_prodxpart,no,yes,dunkerque,Cendres potasse,"Gravelée, potasse et védasse",potasse,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Saint-Valery-sur-Somme
1789,144,best_guess_region_prodxpart,no,yes,dunkerque,Chanvre,Chanvre,chanvre,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Saint-Valery-sur-Somme
1789,165,best_guess_region_prodxpart,no,yes,dunkerque,Colle de poisson,Colles diverses,colle de poisson,Produits chimiques transformés n.d.a.,Amiens,Saint-Valery-sur-Somme
1789,106760,best_guess_region_prodxpart,no,yes,dunkerque,Cuirs de vache,"Cuirs, peaux et pelleterie",cuirs de vache,"Cuirs, peaux et produits dérivés hors sellerie",Amiens,Saint-Valery-sur-Somme
1789,33276,best_guess_region_prodxpart,no,yes,dunkerque,Eau de vie simple,Eaux-de-vie et liqueurs,eau-de-vie simple,Boissons et tabac,Amiens,Saint-Valery-sur-Somme
1789,232.5,best_guess_region_prodxpart,no,yes,dunkerque,Epicerie ; piment,Poivre et piment,piment,Autres produits alimentaires et animaux,Amiens,Saint-Valery-sur-Somme
1789,3210,best_guess_region_prodxpart,no,yes,dunkerque,Epicerie ; poivre en grain,Poivre et piment,poivre en grains,Produits agricoles alimentaires des régions de colonisation européenne,Amiens,Saint-Valery-sur-Somme
1789,450,best_guess_region_prodxpart,no,yes,dunkerque,Graines ; diverses,Graines diverses et mélangées,graine diverse,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Saint-Valery-sur-Somme
1789,35625,best_guess_region_prodxpart,no,yes,dunkerque,Graines ; de lin,Graines grasses,graine de lin,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Saint-Valery-sur-Somme
1789,9000,best_guess_region_prodxpart,no,yes,dunkerque,Huile ; de poisson,Huile de poisson,huile de poisson,"Huiles, graisses et cires d'origine animale et végétale",Amiens,Saint-Valery-sur-Somme
1789,120,best_guess_region_prodxpart,no,yes,dunkerque,Marchandises à la valeur,Divers mélangés,marchandises à l'estimation,Divers mélangés,Amiens,Saint-Valery-sur-Somme
1789,1150,best_guess_region_prodxpart,no,yes,dunkerque,Plomb,Plomb,plomb,"Métaux, produits métalliques et outils",Amiens,Saint-Valery-sur-Somme
1789,76880,best_guess_region_prodxpart,no,yes,dunkerque,Poissons ; morue,Pêche et fruits de mer,morue,Autres produits alimentaires et animaux,Amiens,Saint-Valery-sur-Somme
1789,1950,best_guess_region_prodxpart,no,yes,dunkerque,Poissons ; saumon,Pêche et fruits de mer,saumon,Autres produits alimentaires et animaux,Amiens,Saint-Valery-sur-Somme
1789,1700,best_guess_region_prodxpart,no,yes,dunkerque,Suif,Graisses diverses,suif,"Huiles, graisses et cires d'origine animale et végétale",Amiens,Saint-Valery-sur-Somme
1789,107,best_guess_region_prodxpart,no,yes,dunkerque,Vin ; ordinaire,Vins divers,vin ordinaire,Boissons et tabac,Amiens,Saint-Valery-sur-Somme
1789,1020.6,best_guess_region_prodxpart,no,yes,dunkerque,Vin ; de Malaga,Vins divers,vin de Malaga,Boissons et tabac,Amiens,Saint-Valery-sur-Somme
1789,2058.5,best_guess_region_prodxpart,no,yes,dunkerque,Amandes,Fruits secs et noix,amandes,Autres produits alimentaires et animaux,Amiens,Étaples
1789,4267.5,best_guess_region_prodxpart,no,yes,dunkerque,Bray en resine,[vide],,Divers incertains et inconnus,Amiens,Étaples
1789,14707.5,best_guess_region_prodxpart,no,yes,dunkerque,Cendre potasse,"Gravelée, potasse et védasse",potasse,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Étaples
1789,800,best_guess_region_prodxpart,no,yes,dunkerque,Charbon,Combustibles dont charbons et bois,charbon,Combustibles,Amiens,Étaples
1789,6095.4,best_guess_region_prodxpart,no,yes,dunkerque,Cuivre en patin gris,Métaux divers et mélangés,cuivre et potin gris,"Métaux, produits métalliques et outils",Amiens,Étaples
1789,566,best_guess_region_prodxpart,no,yes,dunkerque,Drogues medicinales ; jus de reglisse,Réglisse,jus de réglisse,Autres produits alimentaires et animaux,Amiens,Étaples
1789,153,best_guess_region_prodxpart,no,yes,dunkerque,Drogues medicinales ; orge morudée,[vide],,Divers incertains et inconnus,Amiens,Étaples
1789,480,best_guess_region_prodxpart,no,yes,dunkerque,Drogues pour peintures et teinture,Matières brutes et transformées pour teinture,drogues pour peintures et teinture,Produits chimiques transformés n.d.a.,Amiens,Étaples
1789,200,best_guess_region_prodxpart,no,yes,dunkerque,Epicerie Piment,Poivre et piment,poivre,Produits agricoles alimentaires des régions de colonisation européenne,Amiens,Étaples
1789,240,best_guess_region_prodxpart,no,yes,dunkerque,Fer en cercles,Ouvrages métalliques,cercles de fer,"Métaux, produits métalliques et outils",Amiens,Étaples
1789,633.2,best_guess_region_prodxpart,no,yes,dunkerque,Fromage,Fromage,fromage,Autres produits alimentaires et animaux,Amiens,Étaples
1789,1407,best_guess_region_prodxpart,no,yes,dunkerque,Fruits divers,Fruits frais,fruits,Autres produits alimentaires et animaux,Amiens,Étaples
1789,1272,best_guess_region_prodxpart,no,yes,dunkerque,Fruits divers ; figues,[vide],,Divers incertains et inconnus,Amiens,Étaples
1789,1500,best_guess_region_prodxpart,no,yes,dunkerque,Graine de lin,Graines grasses,graine de lin,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Étaples
1789,12138,best_guess_region_prodxpart,no,yes,dunkerque,Graine riz,Riz,grains riz,Autres produits alimentaires et animaux,Amiens,Étaples
1789,155,best_guess_region_prodxpart,no,yes,dunkerque,Marchandises diverses,Divers mélangés,marchandises,Divers mélangés,Amiens,Étaples
1789,300,best_guess_region_prodxpart,no,yes,dunkerque,Plomb en grain,Ouvrages métalliques,plomb en grenaille,"Métaux, produits métalliques et outils",Amiens,Étaples
1789,4905,best_guess_region_prodxpart,no,yes,dunkerque,Sel,Sel,sel,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Étaples
1789,137.7,best_guess_region_prodxpart,no,yes,dunkerque,Souffre,Salpêtre et soufre,soufre,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Étaples
1789,855,best_guess_region_prodxpart,no,yes,dunkerque,Suif en chandelle,"Bougies, chandelles et flambeaux",chandelle de suif,Articles manufacturés divers n.d.a,Amiens,Étaples
1789,453.9,best_guess_region_prodxpart,no,yes,dunkerque,Terre,Matières premières diverses,terre,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Étaples
1789,260,best_guess_region_prodxpart,no,yes,dunkerque,Vin de Malaga,Vins divers,vin de Malaga,Boissons et tabac,Amiens,Étaples
1789,416,best_guess_region_prodxpart,no,yes,dunkerque,Amandes diverses,Fruits secs et noix,amandes,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,639,best_guess_region_prodxpart,no,yes,dunkerque,Bois des Isles gayac,[vide],,Divers incertains et inconnus,Amiens,Boulogne-sur-Mer
1789,270,best_guess_region_prodxpart,no,yes,dunkerque,Bray,"Brai, goudron et résines",brai,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Boulogne-sur-Mer
1789,750,best_guess_region_prodxpart,no,yes,dunkerque,Bray goudron,"Brai, goudron et résines",brai et goudron,Matières brutes non-comestibles non transformées n.d.a.,Amiens,Boulogne-sur-Mer
1789,1080,best_guess_region_prodxpart,no,yes,dunkerque,Caffé,Café,café,Produits agricoles alimentaires des régions de colonisation européenne,Amiens,Boulogne-sur-Mer
1789,241,best_guess_region_prodxpart,no,yes,dunkerque,Drogues diverses,Drogues diverses,drogues,Produits chimiques transformés n.d.a.,Amiens,Boulogne-sur-Mer
1789,805,best_guess_region_prodxpart,no,yes,dunkerque,Drogues tournesol,[vide],,Divers incertains et inconnus,Amiens,Boulogne-sur-Mer
1789,7389.8,best_guess_region_prodxpart,no,yes,dunkerque,Eau de vie simple,Eaux-de-vie et liqueurs,eau-de-vie simple,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,6701.8,best_guess_region_prodxpart,no,yes,dunkerque,Eau de vie de genievre,Eaux-de-vie et liqueurs,eau-de-vie de genièvre,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,652,best_guess_region_prodxpart,no,yes,dunkerque,Fers divers,Fer,fer,"Métaux, produits métalliques et outils",Amiens,Boulogne-sur-Mer
1789,162,best_guess_region_prodxpart,no,yes,dunkerque,Fers en barres,Ouvrages métalliques,barres de fer,"Métaux, produits métalliques et outils",Amiens,Boulogne-sur-Mer
1789,1277.5,best_guess_region_prodxpart,no,yes,dunkerque,Fer blanc,Fer-blanc,fer-blanc,"Métaux, produits métalliques et outils",Amiens,Boulogne-sur-Mer
1789,1049,best_guess_region_prodxpart,no,yes,dunkerque,Fruits divers,Fruits frais,fruits,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,1564.75,best_guess_region_prodxpart,no,yes,dunkerque,Fruits secs ; figues,[vide],,Divers incertains et inconnus,Amiens,Boulogne-sur-Mer
1789,6136.8,best_guess_region_prodxpart,no,yes,dunkerque,Fruits secs ; raisins,Fruits frais,raisin,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,1247.5,best_guess_region_prodxpart,no,yes,dunkerque,Grains ; riz,Riz,grains riz,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,200,best_guess_region_prodxpart,no,yes,dunkerque,Huile de baleine,Huiles diverses,huile de baleine,"Huiles, graisses et cires d'origine animale et végétale",Amiens,Boulogne-sur-Mer
1789,706,best_guess_region_prodxpart,no,yes,dunkerque,Huile d'olive,Huile d'olive à manger,huile d'olive,"Huiles, graisses et cires d'origine animale et végétale",Amiens,Boulogne-sur-Mer
1789,800,best_guess_region_prodxpart,no,yes,dunkerque,Huile de poisson,Huile de poisson,huile de poisson,"Huiles, graisses et cires d'origine animale et végétale",Amiens,Boulogne-sur-Mer
1789,252,best_guess_region_prodxpart,no,yes,dunkerque,Liege en table,[vide],,Divers incertains et inconnus,Amiens,Boulogne-sur-Mer
1789,162,best_guess_region_prodxpart,no,yes,dunkerque,Liqueur,Eaux-de-vie et liqueurs,liqueurs,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,760,best_guess_region_prodxpart,no,yes,dunkerque,Liqueur ; sirop,Boissons diverses et mélangées,liqueurs et sirop,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,622,best_guess_region_prodxpart,no,yes,dunkerque,Marchandises à la valeur,Divers mélangés,marchandises à l'estimation,Divers mélangés,Amiens,Boulogne-sur-Mer
1789,502,best_guess_region_prodxpart,no,yes,dunkerque,Meubles divers,"Meubles, glaces et miroirs",mobilier,Articles manufacturés divers n.d.a,Amiens,Boulogne-sur-Mer
1789,975,best_guess_region_prodxpart,no,yes,dunkerque,Poissons divers,Pêche et fruits de mer,poisson,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,6620,best_guess_region_prodxpart,no,yes,dunkerque,Poissons ; morue,Pêche et fruits de mer,morue,Autres produits alimentaires et animaux,Amiens,Boulogne-sur-Mer
1789,4093.2,best_guess_region_prodxpart,no,yes,dunkerque,Savon,Savon,savon,Produits chimiques transformés n.d.a.,Amiens,Boulogne-sur-Mer
1789,1253.2,best_guess_region_prodxpart,no,yes,dunkerque,Savon blanc,Savon,savon blanc,Produits chimiques transformés n.d.a.,Amiens,Boulogne-sur-Mer
1789,112,best_guess_region_prodxpart,no,yes,dunkerque,Suif,Graisses diverses,suif,"Huiles, graisses et cires d'origine animale et végétale",Amiens,Boulogne-sur-Mer
1789,110,best_guess_region_prodxpart,no,yes,dunkerque,Toiles de chanvre,Toiles de chanvre et de lin,toile de chanvre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Amiens,Boulogne-sur-Mer
1789,9760,best_guess_region_prodxpart,no,yes,dunkerque,Vin de Bordeaux,Vins de Bordeaux,vin de Bordeaux,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,3060,best_guess_region_prodxpart,no,yes,dunkerque,Vin de Bordeaux,Vins de Bordeaux,vin de Bordeaux,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,372,best_guess_region_prodxpart,no,yes,dunkerque,Vin de Frontignan,Vins divers,vin de Frontignan,Boissons et tabac,Amiens,Boulogne-sur-Mer
1789,303.9999924,best_guess_region_prodxpart,yes,no,dunkerque,Bray sec,"Brai, goudron et résines",brai sec,Produits chimiques transformés n.d.a.,Bayonne,Saint-Esprit de Bayonne
1789,271.9999932,best_guess_region_prodxpart,yes,no,dunkerque,Bray resine,"Brai, goudron et résines",brai et résines,Matières brutes non-comestibles non transformées n.d.a.,Bayonne,Saint-Esprit de Bayonne
1789,566.5,best_guess_region_prodxpart,yes,no,dunkerque et petites isles,Anis ; vert,Denrées coloniales et épiceries diverses,anis vert,Autres produits alimentaires et animaux,Bordeaux,Bordeaux
1789,4376.3,best_guess_region_prodxpart,yes,no,dunkerque et petites isles,Bray ; sec et rasine,"Brai, goudron et résines",brai sec et résines,Produits chimiques transformés n.d.a.,Bordeaux,Bordeaux
1789,19720,best_guess_region_prodxpart,yes,no,dunkerque,Chapeaux ; divers,Chapeaux hors paille et écorce,chapeaux,Articles manufacturés divers n.d.a,Bordeaux,Bordeaux
1789,300,best_guess_region_prodxpart,yes,no,dunkerque,Drogues ; pour la peinture et teinture ; pastel,Matières brutes et transformées pour teinture,pastel,Produits chimiques transformés n.d.a.,Bordeaux,Bordeaux
1789,1171.199936,best_guess_region_prodxpart,yes,no,dunkerque,Drogues ; pour la peinture et teinture ; tartre blanc,Matières brutes et transformées pour teinture,tartre blanc,Matières brutes non-comestibles non transformées n.d.a.,Bordeaux,Bordeaux
1789,12032,best_guess_region_prodxpart,yes,no,dunkerque,Eau ; de vie ; simple,Eaux-de-vie et liqueurs,eau-de-vie simple,Boissons et tabac,Bordeaux,Bordeaux
1789,4340,best_guess_region_prodxpart,yes,no,dunkerque,Eau ; de vie ; simple,Eaux-de-vie et liqueurs,eau-de-vie simple,Boissons et tabac,Bordeaux,Bordeaux
1789,32364.2,best_guess_region_prodxpart,yes,no,"petites isles, lorient, dunkerque et bayonne",Fruits ; secs ; prunes ; communes,Fruits secs et noix,prunes communes sèches,Autres produits alimentaires et animaux,Bordeaux,Bordeaux
1789,2217,best_guess_region_prodxpart,yes,no,"petites isles, lorient et dunkerquer",Fruits ; secs ; prunes ; daute,Fruits secs et noix,dattes secs et prunes sèches,Autres produits alimentaires et animaux,Bordeaux,Bordeaux
1789,3327.30009,best_guess_region_prodxpart,yes,no,dunkerque,Huile ; de graine,Huiles diverses,huile de graine,"Huiles, graisses et cires d'origine animale et végétale",Bordeaux,Bordeaux
1789,702,best_guess_region_prodxpart,yes,no,dunkerque,Huile ; de térébenthine,Térébenthine,huile de térébenthine,Produits chimiques transformés n.d.a.,Bordeaux,Bordeaux
1789,4151,best_guess_region_prodxpart,yes,no,"petites isles, dunkerque et lorient",Liège ; en bouchons,Bouchons principalement en liège,liège en bouchons,"Produits du bois, liège, jonc",Bordeaux,Bordeaux
1789,3969.6,best_guess_region_prodxpart,yes,no,"petites isles, lorient, dunkerque et bayonne",Liqueurs ; diverses,Eaux-de-vie et liqueurs,liqueurs diverses,Boissons et tabac,Bordeaux,Bordeaux
1789,60,best_guess_region_prodxpart,yes,no,dunkerque,Miel,Miel,miel,Autres produits alimentaires et animaux,Bordeaux,Bordeaux
1789,2128,best_guess_region_prodxpart,yes,no,bayonne et dunkerque,Papier ; corues,Papier,papier corue,Papier,Bordeaux,Bordeaux
1789,130,best_guess_region_prodxpart,yes,no,dunkerque,Plumes ; d'oye,Plumes brutes,plumes d'oie,Matières brutes non-comestibles non transformées n.d.a.,Bordeaux,Bordeaux
1789,770,best_guess_region_prodxpart,yes,no,dunkerque,Toille ; peinte,Toiles diverses,toile peinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,Bordeaux,Bordeaux
1789,374079,best_guess_region_prodxpart,yes,no,"dunkerque, petites isles, lorient, marseille, bayonne, aslace",Vin ; de ville,Vins divers,vin de ville,Boissons et tabac,Bordeaux,Bordeaux
1789,74568,best_guess_region_prodxpart,yes,no,"bayonne, petites isles, dunkerque et lorient",Vin ; de haut,Vins divers,vin de haut,Boissons et tabac,Bordeaux,Bordeaux
1789,363,best_guess_region_prodxpart,yes,no,dunkerque et petites isles,Vin ; muscat,Vins divers,vin de muscat,Boissons et tabac,Bordeaux,Bordeaux
1789,649.759983756,best_guess_region_prodxpart,yes,no,dunkerque,Vinaigre,"Bière, cidre et vinaigre",vinaigre,Autres produits alimentaires et animaux,Bordeaux,Bordeaux
1789,7009,best_guess_region_prodxpart,yes,no,lorientdunkerque,Eau ; de vie,Eaux-de-vie et liqueurs,eau-de-vie,Boissons et tabac,Bordeaux,Blaye
1789,19957,best_guess_region_prodxpart,yes,no,dunkerquelorientpetitesislesb,Vins,Vins divers,vin,Boissons et tabac,Bordeaux,Blaye
1789,384,best_guess_region_prodxpart,yes,no,dunkerque,Liqueur,Eaux-de-vie et liqueurs,liqueurs,Boissons et tabac,Bordeaux,Libourne
1789,68900,best_guess_region_prodxpart,yes,no,lorientdunkerque,Vin ; de ville,Vins divers,vin de ville,Boissons et tabac,Bordeaux,Libourne
1789,100,best_guess_region_prodxpart,no,yes,dunkerque,Beurre,Beurre,beurre,Autres produits alimentaires et animaux,Bordeaux,Blaye
1789,440,best_guess_region_prodxpart,no,yes,dunkerque,Bierre,"Bière, cidre et vinaigre",bière,Boissons et tabac,Bordeaux,Libourne
1789,7560,best_guess_region_prodxpart,no,yes,dunkerque,Froment,Blé et autres grains comestibles,grains froment,Autres produits alimentaires et animaux,Bordeaux,Libourne
1789,728,best_guess_region_prodxpart,no,yes,dunkerque,Pois ; verts,Légumes,pois verts,Autres produits alimentaires et animaux,Bordeaux,Libourne
1789,153180,best_guess_region_prodxpart,no,yes,dunkerquepetitesisles,Sel,Sel,sel,Matières brutes non-comestibles non transformées n.d.a.,Bordeaux,Libourne
1789,7700,best_guess_region_prodxpart,no,yes,dunkerque,Verres ; en bouteilles,Verrerie,bouteilles de verres,"Articles minéraux non métalliques manufacturés, n.d.a.",Bordeaux,Libourne
1789,4029,best_guess_region_prodxpart,no,yes,dunkerque et bayonne,Bois ; merrain,"Ouvrages de bois, liège et jonc",merrains,"Produits du bois, liège, jonc",Bordeaux,Bordeaux
1789,8666.460000000001,best_guess_region_prodxpart,no,yes,bayonne et dunkerque,Fer ; en barres,Ouvrages métalliques,barres de fer,"Métaux, produits métalliques et outils",Bordeaux,Bordeaux
1789,540,best_guess_region_prodxpart,no,yes,dunkerque,Meules ; à faire,Ouvrages divers et mélangés,meules à faire,"Articles minéraux non métalliques manufacturés, n.d.a.",Bordeaux,Bordeaux
1789,4200,best_guess_region_prodxpart,yes,no,dunkerque,Graine ; de trefle,"Graines de trèfle, de luzerne et de prairie",graine de trèfle,Matières brutes non-comestibles non transformées n.d.a.,Caen,Caen
1789,45,best_guess_region_prodxpart,yes,no,dunkerque,Marchandises ; à la valeur,Divers mélangés,marchandises à l'estimation,Divers mélangés,Caen,Caen
1789,1200,best_guess_region_prodxpart,yes,no,dunkerque,Vinaigre,"Bière, cidre et vinaigre",vinaigre,Autres produits alimentaires et animaux,Caen,Caen
1789,2253,best_guess_region_prodxpart,no,yes,dunkerque,Amidon,Ouvrages divers et mélangés,amidon,Produits chimiques transformés n.d.a.,Caen,Caen
1789,120,best_guess_region_prodxpart,no,yes,dunkerque,Bois de sapin en planches,"Ouvrages de bois, liège et jonc",planches de sapin,"Produits du bois, liège, jonc",Caen,Caen
1789,238,best_guess_region_prodxpart,no,yes,dunkerque,Huile de graine,Huiles diverses,huile de graine,"Huiles, graisses et cires d'origine animale et végétale",Caen,Caen
1789,66,best_guess_region_prodxpart,no,yes,dunkerque,Marchandises à la valeur,Divers mélangés,marchandises à l'estimation,Divers mélangés,Caen,Caen
1789,0,best_guess_region_prodxpart,no,yes,dunkerque,Poisson de mer morue,Pêche et fruits de mer,morue,Autres produits alimentaires et animaux,Caen,Caen
