year,homeport,tonnage,tonnage_class,tonnage_uncertainity,departure_fr,cargo_item_action,cargo_item_action2,cargo_item_action3,cargo_item_action4,commodity_purpose,commodity_purpose2,commodity_purpose3,commodity_purpose4
1787,dunkerque,280,[201-500],0,barcelone,,,,,,,,
1787,dunkerque,150,[101-200],0,barcelone,,,,,,,,
1787,dunkerque,90,[51-100],0,tonnay-charente,,,,,,,,
1787,dunkerque,30,[21-50],0,dunkerque,,,,,,,,
1787,dunkerque,38,[21-50],0,rouen,,,,,,,,
1787,dunkerque,42,[21-50],0,étaples ,,,,,,,,
1787,dunkerque,42,[21-50],0,étaples ,,,,,,,,
1787,dunkerque,42,[21-50],0,étaples ,,,,,,,,
1787,dunkerque,8,[1-20],0,cherbourg,,,,,,,,
1787,dunkerque,30,[21-50],0,calais,,,,,,,,
1787,dunkerque,250,[201-500],0,martinique,out,,,,diverses marchandises permises,,,
1787,dunkerque,200,[101-200],0,martinique,out,,,,autres marchandises,,,
1787,dunkerque,195,[101-200],0,ostende,out,,,,blé,,,
1787,dunkerque,300,[201-500],0,dunkerque,,,,,,,,
1787,dunkerque,350,[201-500],0,martinique,out,out,out,,farine,autres marchandises,bière,
1787,dunkerque,150,[101-200],0,gênes,out,,,,autres marchandises,,,
1787,dunkerque,130,[101-200],0,malaga,,,,,,,,
1787,dunkerque,180,[101-200],0,barcelone,out,,,,charbon de terre,,,
1787,dunkerque,30,[21-50],0,dunkerque,,,,,,,,
1787,dunkerque,90,[51-100],0,cherbourg,out,,,,lest,,,
1787,dunkerque,350,[201-500],-1,tabago / tobago,,,,,,,,
1787,dunkerque,250,[201-500],0,dunkerque,out,,,,diverses marchandises permises,,,
1787,dunkerque,200,[101-200],0,dunkerque,out,,,,autres marchandises,,,
1787,dunkerque,300,[201-500],0,ostende,,,,,,,,
1787,dunkerque,350,[201-500],0,dunkerque,out,out,out,,farine,autres marchandises,bière,
1787,dunkerque,150,[101-200],0,dunkerque,out,,,,autres marchandises,,,
1787,dunkerque,130,[101-200],0,ostende,,,,,,,,
1787,dunkerque,180,[101-200],-2,zélande,in,transit,in,,passager,bled,fèves,
1787,dunkerque,45,[21-50],0,dunkerque,out,,,,pêche à la morue,,,
1787,dunkerque,250,[201-500],0,dunkerque,out,out,,,autres marchandises,blé,,
1787,dunkerque,42,[21-50],0,dunkerque,,,,,,,,
1787,dunkerque,90,[51-100],0,dunkerque,out,,,,pêche à la morue,,,
1787,dunkerque,35,[21-50],0,dunkerque,out,,,,pêche à la morue,,,
1787,dunkerque,40,[21-50],0,dunkerque,out,,,,ustensiles de pêche,,,
1787,dunkerque,35,[21-50],0,dunkerque,,,,,,,,
1787,dunkerque,40,[21-50],0,dunkerque,out,out,,,pêche à la morue,sel en tonnes,,
1787,dunkerque,50,[21-50],0,dunkerque,out,out,,,seigle,bled,,
1787,dunkerque,40,[21-50],0,dunkerque,out,,,,pêche à la morue,,,
1787,dunkerque,50,[21-50],0,dunkerque,out,out,,,pêche à la morue,sel en tonnes,,
1787,dunkerque,250,[201-500],0,dunkerque,out,out,,,blé,autre (etc.),,
1787,dunkerque,140,[101-200],0,dunkerque,,,,,,,,
1787,dunkerque,100,[51-100],0,dunkerque,out,,,,pêche à la morue,,,
1787,dunkerque,100,[51-100],0,dunkerque,out,out,,,bled,pois,,
1787,dunkerque,130,[101-200],0,dunkerque,,,,,,,,
1787,dunkerque,40,[21-50],0,dunkerque,out,,,,seigle,,,
1787,dunkerque,90,[51-100],0,dunkerque,out,out,,,pêche à la morue,sel en tonnes,,
1787,dunkerque,100,[51-100],0,dunkerque,out,,,,pêche à la morue,,,
1787,dunkerque,100,[51-100],0,dunkerque,out,,,,bled,,,
1787,dunkerque,400,[201-500],0,dunkerque,out,,,,autres marchandises permises,,,
1787,dunkerque,90,[51-100],0,dunkerque,out,out,,,sel en tonnes,pêche à la morue,,
1787,dunkerque,180,[101-200],0,dunkerque,out,,,,blé,,,
1787,dunkerque,160,[101-200],0,dunkerque,,,,,,,,
1787,dunkerque,160,[101-200],0,dunkerque,out,,,,bled,,,
1787,dunkerque,40,[21-50],0,dunkerque,out,out,,,bled,seigle,,
1787,dunkerque,220,[201-500],0,dunkerque,out,,,,ustensiles de pêche,,,
1787,dunkerque,30,[21-50],0,dunkerque,,,,,,,,
1787,dunkerque,30,[21-50],0,dunkerque,,,,,,,,
1787,dunkerque,30,[21-50],0,dunkerque,out,,,,café,,,
1787,dunkerque,150,[101-200],0,dunkerque,out,,,,bled,,,
1787,dunkerque,48,[21-50],0,dunkerque,out,,,,ustensiles de pêche,,,
1787,dunkerque,40,[21-50],0,dunkerque,out,out,,,ustensiles de pêche,sel en tonnes,,
1787,dunkerque,30,[21-50],0,dunkerque,out,out,,,autre (etc.),sucre,,
1787,dunkerque,20,[1-20],0,dunkerque,out,,,,diverses marchandises,,,
1787,dunkerque,20,[1-20],0,dunkerque,out,,,,sel,,,
1787,dunkerque,20,[1-20],0,dunkerque,out,out,,,sel,autres marchandises,,
1787,dunkerque,20,[1-20],0,dunkerque,out,out,,,sel,autres marchandises,,
1787,dunkerque,20,[1-20],0,dunkerque,out,,,,sel,,,
1787,dunkerque,50,[21-50],0,dunkerque,out,,,,pêche à la morue,,,
1787,dunkerque,60,[51-100],0,dunkerque,out,,,,avoine,,,
1787,dunkerque,62,[51-100],0,dunkerque,out,,,,bled,,,
1787,dunkerque,62,[51-100],0,quillebeuf,,,,,,,,
1787,dunkerque,40,[21-50],0,dunkerque,out,out,,,ustensiles de pêche,sel en tonnes,,
1787,dunkerque,160,[101-200],0,dunkerque,out,,,,pêche à la morue,,,
1787,dunkerque,20,[1-20],0,dunkerque,out,out,,,sucre,fer,,
1787,dunkerque,90,[51-100],0,dunkerque,,,,,,,,
1787,dunkerque,80,[51-100],0,dunkerque,out,,,,bled,,,
1787,dunkerque,110,[101-200],0,la rochelle,,,,,,,,
1787,dunkerque,60,[51-100],0,dunkerque,out,,,,avoine,,,
