product,total_occurence,total_value
Matières premières diverses,4,6022.715859179996
Chevaux et bêtes de somme,1,46000.0
Coton non transformé,1,500.0
Ouvrages métalliques,2,1390.0
Dentelles,2,492750.0
Étoffes de laine,1,5040.0
Eaux-de-vie et liqueurs,2,288229.5048
Étoffes de soie,2,41350.0
Fleurs artificielles et ouvrages de mode,1,1684.0
Subsistances diverses et mélangées,2,285.0
Fruits secs et noix,1,1000.0
Fruits frais,1,2940.0
Fromage,1,218.5
Gants,2,3826.0
Textiles manufacturés divers et mélangés,1,3000.0
Habits et lingerie,1,7900.0
Huile d'olive à manger,1,100.0
Ouvrages divers et mélangés,4,10900.0
Librairie,2,55763.0
Objets d'art et d'histoire naturelle,2,5753.0
Divers mélangés,1,594.0
Mercerie,1,3089.0
"Meubles, glaces et miroirs",1,1100.0
Papier,3,4888.0
Parfumerie et toilette,1,1190.0
Drogues médicinales diverses,1,1090.0
"Cuirs, peaux et pelleterie",4,10200.0
Plumes brutes,3,60400.0
"Porcelaine, poterie, faïence et ouvrages de terre",2,1095.0
Quincaillerie,1,3430.0
Rubanerie et passementerie de soie,1,526.0
"Bougies, chandelles et flambeaux",1,193.0
Toiles de chanvre et de lin,2,40344.0
Toiles diverses,1,870.0
Verrerie,1,100.0
Vins divers,4,37905.999995
