Port de destination,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
Barking,40,,,,,,,40,,,,
Blacwall,,,,,,,,80,,,,
Brightlandsea,4200,2300,4400,1600,2640,,,,,,,
Burnham,9660,2740,,7420,8800,5660,4580,4880,14720,8000,2180,4000
Chatham,1540,,,,,,,,,,,
Chicheston,,,,,,,,,,,3000,3020
Colchester,19920,7960,14020,17060,8080,16500,13840,7340,13740,15860,12880,12740
Colway,,,,,,2980,,,,,,
Cowes,,,,,,,,,3060,,,
Deal,51240,43740,35460,24460,10140,17960,32004,27900,24480,23540,25040,37830
Douvres,23500,16540,500,11940,18500,7200,10440,7280,14860,28440,17160,23160
Dungeness,,60,,220,20,2020,,,,1800,,1600
Dymchurch,,2400,,1260,,400,,,,,,
Falmouth,,,,,,1200,,,,,,
Feversham,3000,10760,2000,3200,5080,4320,12900,15000,4200,11720,11240,16760
Folkstone,13460,20260,9060,9040,13840,6100,10360,3500,4080,1800,16600,1760
Foy,,,,80,20,,,,,,,
Gravesend,,,40,,,,,,,,,
Greenwich,,,,,,40,40,,,,,
Guerneze,,,,8000,,,,,,,,1200
Harwich,18100,2440,,1600,80,320,4660,2160,80,2000,,
Hastings,29960,2000,10340,18500,6240,3100,2740,1640,16860,3220,19620,15080
Hythe,,660,1300,,20,,,,,,,
Ipswich,,,,,,4040,,,,,,
Landsee,,,,,,,1600,,,,,
Lee,3000,1620,2800,3200,2460,7740,4072,4260,3080,4680,9420,7460
Leith,,,,,,,,,,40,,
Londres,,,40,60,40,160,200,80,,,,
Lynn,2000,,1040,,2400,,,380,,,,
Lydd,,,,2120,720,,1400,,,,,
Maldon,13480,11600,14240,17620,7560,6000,620,10360,7040,8860,4430,10400
Margate,4080,,1040,3400,2000,,,2800,,2400,,1720
Milton,,,,,2020,,,1200,,,400,
Pegwell,2000,2960,1080,2000,,2000,,2000,,,,
Romsay,,,,,,,4000,,,,,
Reculver,,,,,,840,1820,,2200,,800,
Rochester,1280,2660,9920,,,,40,,,4000,,
Rye,,,,860,20,2040,80,,520,,2700,3800
Southwould,,,,,,,4400,,,,,
Whistable,16900,9020,3260,1060,4320,12640,14240,9220,7440,7420,4380,23020
Wivenhoe,6160,2000,6420,4400,,,,,,,,
Woobridge,,,,3200,4700,,,,,,,
Yarmouth,1000,,3340,,,2000,2000,1600,2180,5600,,2480
