year,uhgs_id,count,Unnamed: 0,ogc_fid,x,y,total,toponym,toponyme_standard_fr,toponyme_standard_en,substate_1789_fr,state_1789_fr,substate_1789_en,state_1789_en,belonging_states,belonging_substates,status,has_a_clerk,geonameid,admiralty,province,shiparea,ferme_direction,ferme_bureau,partner_balance_1789,partner_balance_supp_1789,point,toponyme_Christian,facade
1790.0,A0388192,5,1076.0,990.0,1.383233,51.382833,10.0,Margate,Margate,Margate,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2643044.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.383233,51.382833]}",,
1781.0,A0388692,1,1081.0,1061.0,-1.5,50.7,39.0,Yarmouth,Yarmouth,Yarmouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2633414.0,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.5,50.7]}",,
1790.0,A0388692,6,1081.0,1061.0,-1.5,50.7,39.0,Yarmouth,Yarmouth,Yarmouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2633414.0,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.5,50.7]}",,
1790.0,A0389696,9,1297.0,184.0,0.67344,51.731704,3.0,Malden,Maldon,Maldon,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2643160.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.67344,51.731704]}",,
1781.0,A0389793,1,,,-1.766667,50.733333,,,Christchurch,Christchurch,,,,,,,,,,,,,,,,,,Christchurch,sud
1781.0,A0390524,8,490.0,951.0,0.833333,51.616667,5.0,Burnham,Burnham,Burnham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2654270.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.833333,51.616667]}",,
1790.0,A0390524,8,490.0,951.0,0.833333,51.616667,5.0,Burnham,Burnham,Burnham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2654270.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.833333,51.616667]}",,
1790.0,A0391370,4,487.0,1172.0,1.2,51.36667,0.0,,Reculvers,Reculvers,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.2,51.36667]}",,
1781.0,A0391890,3,720.0,1175.0,1.033333,51.8,0.0,,Brightlingsea,Brightlingsea,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.033333,51.8]}",,
1790.0,A0391890,4,720.0,1175.0,1.033333,51.8,0.0,,Brightlingsea,Brightlingsea,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.033333,51.8]}",,
1781.0,A0392080,3,332.0,937.0,1.1,51.35,8.0,Wistable,Whistable,Whistable,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,3209928.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.1,51.35]}",,
1790.0,A0392080,9,332.0,937.0,1.1,51.35,8.0,Wistable,Whistable,Whistable,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,3209928.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.1,51.35]}",,
1790.0,A0392491,3,691.0,1317.0,0.966667,51.85,0.0,Wevenhoe  [Wivenhoe],Wivenhoe,Wivenhoe,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.966667,51.85]}",,
1781.0,A0397255,1,,,1.3,52.633333,,,Norwich,Norwich,,,,,,,,,,,,,,,,,,Norwich,est
