destination,1781,1782,1785,1786,1787,1788,1789,1790,1791,Facade,destination_fixed,Unnamed: 0,ogc_fid,uhgs_id,x,y,total,toponym,toponyme_standard_fr,toponyme_standard_en,substate_1789_fr,state_1789_fr,substate_1789_en,state_1789_en,belonging_states,belonging_substates,status,has_a_clerk,geonameid,admiralty,province,shiparea,ferme_direction,ferme_bureau,partner_balance_1789,partner_balance_supp_1789,point,indicator_column
Harwich,8,23,29,38,27,39,37,35,19,Est,Harwich,954.0,283.0,A0386567,1.3,51.95,32.0,Harwich,Harwich,Harwich,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2647383.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.3,51.95]}",both
Hasting,41,12,44,91,105,63,72,50,62,Sud,Hasting,805.0,970.0,A0383904,0.6,50.85,5.0,Hastings,Hasting,Hasting,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2647356.0,,Sussex,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.6,50.85]}",both
Hull,,,,1,,,1,1,1,Est,Hull,1120.0,1083.0,A0389327,-0.333333,53.716667,61.0,Hull,Hull,Hull,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2641633.0,,York shire,NOR-HUMB,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.333333,53.716667]}",both
Hythe,,,,,7,14,11,4,,Sud,Hythe,284.0,967.0,A0387612,1.083333,51.066667,1.0,Hythe,Hythe,Hythe,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,3042211.0,,Kent,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.083333,51.066667]}",both
Ipswich,3,1,,3,14,6,5,2,1,Est,Ipswich,363.0,945.0,A0379993,1.155939,52.059278,3.0,Ipswith,Ipswich,Ipswich,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2646057.0,,Suffolk shire,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.155939,52.059278]}",both
Jersey,,,,,1,,,,,Sud,Jersey,1107.0,466.0,A1963330,-2.116667,49.216667,227.0,Jersey,Jersey,Jersey,Iles anglo-normandes,Grande-Bretagne,Channel Islands,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Iles anglo-normandes""}]",,,3042143.0,,Jersey,MAN-PORT,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-2.116667,49.216667]}",both
King's Lynn,,1,5,1,2,3,5,3,2,Est,King's Lynn,1397.0,933.0,A0381991,0.383333,52.75,15.0,Lynn,King's Lynn,King's Lynn,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,6947737.0,,Norfolk,NOR-HUMB,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.383333,52.75]}",both
Lee,1,2,9,11,50,33,37,27,29,Sud,Lee on Solent,1274.0,1184.0,A0385891,-1.2,50.8,0.0,,Lee on Solent,Lee on Solent,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.2,50.8]}",both
Leith,,,,2,,,1,1,,Est,Leith,791.0,217.0,A0401159,-3.166667,55.95,10.0,Leith,Leith,Leith,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2644641.0,,Ecosse,NOR-FORH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.166667,55.95]}",both
Leigh,2,,,,,,,,,Est,Leith,791.0,217.0,A0401159,-3.166667,55.95,10.0,Leith,Leith,Leith,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2644641.0,,Ecosse,NOR-FORH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.166667,55.95]}",both
Londres,1,1,5,5,30,29,27,16,10,Est,Londres,1065.0,252.0,A0381691,-0.1,51.516667,417.0,Londres,Londres,London,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2643743.0,,Middlesex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.1,51.516667]}",both
Lydd,6,3,1,1,,3,7,4,2,Sud,Lydd,937.0,963.0,A0382374,0.916667,50.95,2.0,Lydd,Lydd,Lydd,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,3167096.0,,Kent,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.916667,50.95]}",both
Maldon,,1,4,11,48,69,55,62,,Est,Maldon,1297.0,184.0,A0389696,0.67344,51.731704,3.0,Malden,Maldon,Maldon,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2643160.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.67344,51.731704]}",both
Margate,77,71,30,42,16,14,21,9,8,Est,Margate,1076.0,990.0,A0388192,1.383233,51.382833,10.0,Margate,Margate,Margate,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2643044.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.383233,51.382833]}",both
West-Mersey,,,1,2,1,,,,,Est,Mersey,711.0,1173.0,A0388793,-3.033333,53.45,0.0,,Mersey,Mersey,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Lancashire,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.033333,53.45]}",both
Mersey,,,,4,4,,,,,Ouest,Mersey,711.0,1173.0,A0388793,-3.033333,53.45,0.0,,Mersey,Mersey,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Lancashire,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.033333,53.45]}",both
Newcastle,,,,,,1,2,,,Est,Newcastle,354.0,29.0,A0409139,-1.619444,54.988056,153.0,Newcastle,Newcastle,Newcastle,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2641673.0,,North Umberland,NOR-TYNE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.619444,54.988056]}",both
Newhaven,,,,,,2,,,,Sud,Newhaven,1080.0,445.0,A0396870,0.033333,50.783333,3.0,Newhaven,Newhaven,Newhaven,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2641637.0,,Sussex, MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.033333,50.783333]}",both
Norfolk,,,6,,,,,,,Est,Norfolk,151.0,1318.0,A0393358,1.0,52.666667,0.0,Norfolck,Norfolk,Norfolk,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Norfolk,NOR-HUMB,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1,52.666667]}",both
Penzance,,,,,,2,,,,Sud,Penzance,23.0,273.0,A0379452,-5.547778,50.113611,9.0,Penzance,Penzance,Penzance,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2640377.0,,Cornwall, MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-5.547778,50.113611]}",both
Plymouth,,,,,1,,,,1,Sud,Plymouth,27.0,1084.0,A0397385,-4.138611,50.396389,20.0,Plymouth,Plymouth,Plymouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2640194.0,,Devon shire,MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-4.138611,50.396389]}",both
Poole,,,,,,1,,,,Sud,Poole,1117.0,365.0,A0393049,-1.616667,53.9,36.0,Pool,Poole,Poole,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2640102.0,,York shire,MAN-PORT,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.616667,53.9]}",both
Poole,,,,,,1,,,,Sud,Poole,1154.0,1187.0,A0403098,-1.979313,50.7187,0.0,,Poole,Poole,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Dorset shire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.979313,50.7187]}",both
Portsmouth,,,1 ?,1,2,,1,1,,Sud,Portsmouth,17.0,475.0,A0385489,-1.083333,50.766667,33.0,Portsmouth,Portsmouth,Portsmouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,6458606.0,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.083333,50.766667]}",both
Ramsgate,,,,1,6,,,,,Sud,Ramsgate,829.0,858.0,A0395164,1.433333,51.333333,7.0,Ramsgate,Ramsgate,Ramsgate,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2639660.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.433333,51.333333]}",both
Reculver,,3,,7,6,,,3,4,Est,Reculvers,487.0,1172.0,A0391370,1.2,51.36667,0.0,,Reculvers,Reculvers,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.2,51.36667]}",both
Rochester,1,1,,13,25,5,17,10,4,Est,Rochester,1405.0,229.0,A0401283,0.504513,51.389812,10.0,Rochester,Rochester,Rochester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2639268.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.504513,51.389812]}",both
Rye,1,1,2,19,26,20,18,17,11,Sud,Rye,650.0,238.0,A0384561,0.733995,50.952079,5.0,Rye,Rye,Rye,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2638909.0,,Sussex,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.733995,50.952079]}",both
Saltfleet,,,,,,1,,,1,Est,Saltfleet,1217.0,1193.0,A0380965,0.183333,53.416668,0.0,,Saltfleet,Saltfleet,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Lincoln shire,NOR-HUMB,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.183333,53.416668]}",both
Sandgate,4,,,2,1,,,,,Sud,Sandgate,314.0,1178.0,A0409318,1.15,51.066666,0.0,,Sandgate,Sandgate,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Kent,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.15,51.066666]}",both
Scarborough,,1,,2,,,,,,Est,Scarborough,1393.0,111.0,A0388956,-0.399656,54.280691,12.0,Scarbourg,Scarborough,Scarborough,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2638419.0,,York shire,NOR-HUMB,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.399656,54.280691]}",both
Shoreham,,2,1,,1,1,4,,,Sud,Shoreham,1366.0,920.0,A0405054,-0.233333,50.833333,7.0,Shoram en Angleterre,Shoreham,Shoreham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2637916.0,,Sussex,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.233333,50.833333]}",both
Southampton,,,1,2,3,,,,,Sud,Southampton,92.0,1094.0,A0408148,-1.4,50.9,60.0,Southampton,Southampton,Southampton,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2637487.0,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.4,50.9]}",both
