destination,1781,1782,1785,1786,1787,1788,1789,1790,1791,Facade,destination_fixed,Unnamed: 0,ogc_fid,uhgs_id,x,y,total,toponym,toponyme_standard_fr,toponyme_standard_en,substate_1789_fr,state_1789_fr,substate_1789_en,state_1789_en,belonging_states,belonging_substates,status,has_a_clerk,geonameid,admiralty,province,shiparea,ferme_direction,ferme_bureau,partner_balance_1789,partner_balance_supp_1789,point,indicator_column
Arundel,,,,,1,1,,,,Sud,Arundel,1385.0,1190.0,A0379983,-0.55,50.85,0.0,,Arundel,Arundel,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Sussex,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.55,50.85]}",both
Aurigny,,,1,,,,,,,Sud,Aurigny,1034.0,1017.0,A1945858,-2.2,49.716667,34.0,Origny,Aurigny,Alderney,Iles anglo-normandes,Grande-Bretagne,Channel Islands,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Iles anglo-normandes""}]",,,3042422.0,,Guernesey,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-2.2,49.716667]}",both
Ayr,,,1,,,,,,,Ouest,Ayr,1004.0,1328.0,A0407418,-4.616667,55.45,0.0,Ayr,Ayr,Ayr,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,,,Ecosse,ANE-MALI,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-4.616667,55.45]}",both
Banff,,,,,,2,,,,Est,Banff,378.0,427.0,A0406679,-2.533333,57.666667,2.0,Banfen,Banff,Banff,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2656402.0,,Ecosse,NOR-CROM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-2.533333,57.666667]}",both
Barking,,,,,4,1,1,1,,Est,Barking,249.0,1186.0,A0406923,0.083333,51.533333,0.0,,Barking,Barking,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.083333,51.533333]}",both
Belfast,,,1,,,,,,,Ouest,Belfast,793.0,832.0,A0380140,-5.933333,54.583333,4.0,Belfast,Belfast,Belfast,Irlande,Grande-Bretagne,Ireland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Irlande""}]",,,2655984.0,,Irlande,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-5.933333,54.583333]}",both
Boston,,,1,1,,,4,,,Est,Boston,933.0,1311.0,A0385857,-0.016667,52.983333,0.0,Bortan,Boston,Boston,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Lincoln shire,NOR-HUMB,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.016667,52.983333]}",both
Brightlingsea,2,5,2,,,,,7,1,Est,Brightlingsea,720.0,1175.0,A0391890,1.033333,51.8,0.0,,Brightlingsea,Brightlingsea,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.033333,51.8]}",both
Brighton,,3,1,1,1,2,6,,1,Sud,Brighton,227.0,16.0,A0410570,-0.15,50.833333,127.0,Brighthelm-Stone [Brighton],Brighton,Brighton,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2654710.0,,Sussex, MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.15,50.833333]}",both
Broadstairs,,,,,,,2,,,Sud,Broadstairs,382.0,563.0,A0403623,1.45,51.366667,1.0,Broadstairs,Broadstairs,Broadstairs,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,5889189.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.45,51.366667]}",both
Burnham,27,58,79,128,101,102,67,47,11,Est,Burnham,490.0,951.0,A0390524,0.833333,51.616667,5.0,Burnham,Burnham,Burnham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2654270.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.833333,51.616667]}",both
Chatham,50,34,8,7,4,2,,1,,Est,Chatham,32.0,422.0,A0404691,0.531778,51.380278,1.0,Chatam,Chatham,Chatham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2653305.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.531778,51.380278]}",both
Chichester,,,,1,3,,2,2,,Sud,Chichester,955.0,479.0,A0397468,-0.783333,50.833333,12.0,Chichester,Chichester,Chichester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2653192.0,,Sussex,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.783333,50.833333]}",both
Essex,1,2,,,,,,,,Est,Colchester,1264.0,185.0,A0401683,0.9,51.883333,6.0,Colchester,Colchester,Colchester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2652618.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.9,51.883333]}",both
Colchester,41,34,6,18,15,50,57,73,40,Est,Colchester,1264.0,185.0,A0401683,0.9,51.883333,6.0,Colchester,Colchester,Colchester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2652618.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.9,51.883333]}",both
Corton,,,,,,,13,,,Est,Corton,1368.0,1171.0,A0406758,1.766667,52.516666,0.0,,Corton,Corton,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Suffolk shire,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.766667,52.516666]}",both
Cowes,,,,,3,6,1,1,1,Sud,Cowes,963.0,270.0,A0401605,-1.3,50.766667,3.0,Cowes,Cowes,Cowes,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2652204.0,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.3,50.766667]}",both
Darmouth,,,,1,1,,,,,Sud,Dartmouth,1336.0,355.0,A0409593,-3.583333,50.35,12.0,Dartmouth,Dartmouth,Dartmouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2651498.0,,Devon shire,MAN-PORT,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.583333,50.35]}",both
Deal,179,197,97,113,130,120,246,180,98,Sud,Deal,754.0,819.0,A0386686,1.4,51.216667,100.0,Deal,Deal,Deal,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2651468.0,,Kent,NOR-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.4,51.216667]}",both
Donaghadee,,,,,2,,,,,Ouest,Donaghadee,765.0,1192.0,A0410502,-5.533333,54.63333,0.0,,Donaghadee,Donaghadee,Irlande,Grande-Bretagne,Ireland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Irlande""}]",,,,,Irlande,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-5.533333,54.63333]}",both
Douvres,7,22,88,69,103,83,98,90,49,Sud,Douvres,537.0,465.0,A0382747,1.3,51.133333,937.0,Douvres,Douvres,Dover,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2651048.0,,Kent,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.3,51.133333]}",both
Dublin,,,,1,,,,,1,Ouest,Dublin,522.0,34.0,A0614666,-6.248889,53.333056,43.0,Dublin,Dublin,Dublin,Irlande,Grande-Bretagne,Ireland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Irlande""}]",,,2964574.0,,Irlande,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-6.248889,53.333056]}",both
Dungeness,5,,3,19,3,11,6,5,3,Sud,Dungeness,1401.0,1180.0,A0386886,0.983333,50.916668,0.0,,Dungeness,Dungeness,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Kent,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.983333,50.916668]}",both
Exeter,,,,,4,,,,,Sud,Exeter,1194.0,713.0,A0390341,-3.533664,50.72077,4.0,Exeter,Exeter,Exeter,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2649808.0,,Devon shire,MAN-PORT,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.533664,50.72077]}",both
Faversham,,,,12,57,56,49,49,12,Est,Faversham,358.0,411.0,A0391703,0.9,51.316667,13.0,Faversham,Faversham,Faversham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2649622.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.9,51.316667]}",both
Folkstone,70,45,58,96,108,140,123,69,63,Sud,Folkestone,919.0,971.0,A0387292,1.183333,51.083333,14.0,Folkestone,Folkestone,Folkestone,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2649258.0,,Kent,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.183333,51.083333]}",both
Glasgow,,,,1,,,,,,Ouest,Glasgow,20.0,959.0,A0397114,-4.25,55.833333,11.0,Glasgow,Glasgow,Glasgow,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2640156.0,,Ecosse,ANE-MALI,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-4.25,55.833333]}",both
Gravesend,,,,1,1,,2,1,,Est,Gravesend,753.0,239.0,A0410522,0.366667,51.433333,2.0,Gravesend,Gravesend,Gravesend,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,6163035.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.366667,51.433333]}",both
Greenhock,,,,,,1,,,,Ouest,Greenock,731.0,179.0,A0390202,-4.75,55.933333,12.0,Greenock,Greenock,Greenock,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2647948.0,,Ecosse,ANE-MALI,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-4.75,55.933333]}",both
Greenwich,,4,26,9,4,20,6,3,3,Est,Greenwich,980.0,448.0,A0397762,0.0,51.466667,6.0,Greenwich,Greenwich,Greenwich,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2647937.0,,Surrey,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0,51.466667]}",both
Guernesey,,,,,,1,4,2,,Sud,Guernesey,1392.0,835.0,A1945598,-2.6,49.45,182.0,Guernesey,Guernesey,Guernesey,Iles anglo-normandes,Grande-Bretagne,Channel Islands,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Iles anglo-normandes""}]",,,3042363.0,,Guernesey,MAN-PORT,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-2.6,49.45]}",both
