Port de destination,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
Barking,60,,,,,,,,,,,
Brightlandsea,680,,680,400,200,,,,,,,
Burnham,3080,,,2820,2000,860,1500,1800,3200,2900,320,40
Chichester,,,,,,,,,,,1000,100
Colchester,2360,1300,1420,4440,560,1440,2980,660,3660,1040,1820,1460
Colwa,,,,,,200,,,,,,
Cowes,,,,,,,,,320,,,
Deal,5620,12230,7420,13780,1760,4080,7200,560,10080,4940,11220,7800
Douvres,4400,1700,1080,4800,5060,3700,6260,7480,8420,10340,6820,6900
Dungeness,3600,2720,,1720,3600,220,400,3200,560,900,,800
Dymchurch,,260,,60,,,,,,,,
Falmouth,,,,,,880,,,,,,
Feversham,120,1740,60,1300,32,660,4040,5320,600,1500,2700,2180
Folkstone,4500,5500,4780,1120,10120,1620,4500,3200,1020,680,400,200
Foy,,,,120,,,,,,,,
Guernezé,,,,4000,,,,,,,,
Harwich,400,200,,200,,,660,100,120,400,,
Hastings,2080,,980,10520,200,760,1780,400,4100,2960,3940,1060
Hythe,,400,540,,,,,,,,,
Ipswich,,,,,,160,,,,,,
Ladgley,,,,,,,60,,,,,
Lee,800,,600,700,1200,1380,440,1360,360,200,620,680
Leith,,,,,,,,,,1640,,
Londres,,,80,,,,40,,,,,
Lynn,2000,,160,,400,,,1100,,,,
Lydd,,2000,,360,160,,1100,,,,,
Maldene,3220,1500,2620,2740,1140,1460,1380,1540,540,1440,720,2180
Margate,520,,400,540,1200,,,400,,160,,580
Milton,,,,,800,,,200,,,80,
Pegwell,800,460,200,400,,800,,800,,,,
Reculver,,,,,,560,160,,600,,800,
Rochester,160,260,2540,,,,,,,480,,
Rye,,720,,,740,200,,2000,1340,,640,1080
Feasalter,,,,,,,,,,,1340,
Southwould,,,,,,,1060,,,,,
Whistable,1560,880,1520,520,200,3320,2080,1760,1680,800,920,3940
Wivenhse,1800,1400,840,2420,,,,,,,,
Woodbridge,,,,800,100,,,,,,,
Yarmouth,,,420,,,1200,1200,200,200,540,,1000
