Port de destination,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
Brightlandsee,80,20,400,400,,,,,,,,
Burnham,540,120,,,,340,,80,600,1700,820,40
Chichester,,,,,,,,,,,1000,100
Colchester,900,120,2740,520,100,520,1620,100,860,800,2420,400
Colway,,,,,,240,,,,,,
Cowes,,,,,,,,,240,,,
Deal,1740,5140,2420,4620,1200,2500,3540,4060,2180,1980,4140,4880
Douvres,1160,700,440,2180,2320,1400,1440,620,3620,5520,7960,6900
Dungeness,5000,160,,2420,2400,120,110,4200,1900,2100,,300
Dymchurch,,780,1200,,,1360,,,,,,
Folkstone,6700,2760,4080,100,7460,1600,1500,1000,1000,200,600,160
Falmouth,,,,,,920,,,,,,
Feversham,1060,2020,40,1220,200,1380,1000,2960,4120,340,1520,1060
Guernezé,,,,2000,,,,,,,,800
Harwich,,,,200,,,400,100,20,400,,
Hastings,8400,1000,2240,6460,200,7020,4000,240,3800,7340,7660,1530
Hythe,,26,240,,,,,,,,,
Ipswich,,,,,,80,,,,,,
Landeley,,,,,,,200,,,,,
Lee,620,,200,400,4220,780,120,2940,160,120,340,280
Leith,,,,,,,,,,2400,,
Londres,,,20,,,,,,,,,
Lynn,,,,,200,,,2380,,,,
Lydd,,200,,720,120,,1800,,,,,
Malden,1300,1940,960,2780,620,1000,320,1700,280,460,2620,840
Margate,400,,1080,1220,280,,,200,,100,,300
Milton,,,,,,,,80,,,,
Pegwell,400,,400,200,,900,,200,,,,
Reculver,,,,,,200,380,,200,,400,
Rochester,40,200,2140,,,,,,,240,,
Rye,,2550,,3280,3300,860,800,900,1120,,860,720
Seasalter,,,,,,,,,,,180,
Southwould,,,,,,,700,,,,,
Whistable,1460,780,760,720,,1640,1160,1401,520,740,760,2100
Winchelsea,,,,,,,,1880,,,,
Wivenhoe,600,920,,160,,,,,,,,
Woodbridge,,,,400,400,,,,,,,
Yarmouth,200,,300,,,,200,200,600,340,,200
