month,uhgs_id,count,latitude,longitude,toponyme_standard_fr,toponyme_standard_en,shiparea,state_1789_fr,substate_1789_fr,state_1789_en,substate_1789_en,province,amiraute,has_a_clerk,Nb_conges_1787_CR,nb_conges_1787_inputdone,Nb_conges_1789_CR,nb_conges_1789_inputdone,status,ferme_direction,ferme_bureau,ferme_bureau_uncertainty,partner_balance_1789,partner_balance_supp_1789,partner_balance_1789_uncertainty,partner_balance_supp_1789_uncertainty,toponyme,toustopos,geonameid,relation_state,topofreq,geom,point3857,country2019_name,country2019_iso2code,country2019_region,ogc_fid,belonging_states,belonging_substates,belonging_states_en,belonging_substates_en
05 Mai,A0382747,2,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
06 Juin,A0382747,2,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
07 Juillet,A0382747,1,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
09 Septembre,A0382747,1,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
10 Octobre,A0382747,2,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
11 Novembre,A0382747,2,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
05 Mai,A0383886,1,57.133333,-2.1,Aberdeen,Aberdeen,NOR-CROM,Grande-Bretagne,Ecosse,Great Britain,Scotland,Ecosse,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Aberdeen,"Aberdeen,Aberdéen,Berdeen [Aberdeen]",2657832.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Aberdeen', 'freq': 5}, {'topo': 'Aberdéen', 'freq': 1}, {'topo': 'Berdeen [Aberdeen]', 'freq': 1}]",0101000020E6100000CDCCCCCCCCCC00C0213D450E11914C40,0101000020110F000034F3007257890CC1051003F0E6B45D41,United Kingdom,GB,150.0,529,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""Scotland""}]"
07 Juillet,A0383886,1,57.133333,-2.1,Aberdeen,Aberdeen,NOR-CROM,Grande-Bretagne,Ecosse,Great Britain,Scotland,Ecosse,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Aberdeen,"Aberdeen,Aberdéen,Berdeen [Aberdeen]",2657832.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Aberdeen', 'freq': 5}, {'topo': 'Aberdéen', 'freq': 1}, {'topo': 'Berdeen [Aberdeen]', 'freq': 1}]",0101000020E6100000CDCCCCCCCCCC00C0213D450E11914C40,0101000020110F000034F3007257890CC1051003F0E6B45D41,United Kingdom,GB,150.0,529,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""Scotland""}]"
10 Octobre,A0383886,1,57.133333,-2.1,Aberdeen,Aberdeen,NOR-CROM,Grande-Bretagne,Ecosse,Great Britain,Scotland,Ecosse,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Aberdeen,"Aberdeen,Aberdéen,Berdeen [Aberdeen]",2657832.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Aberdeen', 'freq': 5}, {'topo': 'Aberdéen', 'freq': 1}, {'topo': 'Berdeen [Aberdeen]', 'freq': 1}]",0101000020E6100000CDCCCCCCCCCC00C0213D450E11914C40,0101000020110F000034F3007257890CC1051003F0E6B45D41,United Kingdom,GB,150.0,529,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""Scotland""}]"
 03 Mars,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
01 Janvier,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
04 Avril,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
05 Mai,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
06 Juin,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
07 Juillet,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
09 Septembre,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
10 Octobre,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
11 Novembre,A0383904,2,50.85,0.6,Hasting,Hasting,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Hastings,"Hasting,Hastings",2647356.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Hastings', 'freq': 3}, {'topo': 'Hasting', 'freq': 2}]",0101000020E6100000333333333333E33FCDCCCCCCCC6C4940,0101000020110F00001DD4921C7B4EF04036B68ECE3C285941,United Kingdom,GB,150.0,970,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
 03 Mars,A0384561,1,50.952079,0.733995,Rye,Rye,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Rye,Rye,2638909.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Rye', 'freq': 5}]",0101000020E61000003EAE0D15E37CE73FAC1A84B9DD794940,0101000020110F00004CC1BE31BFF2F340810A475BD5395941,United Kingdom,GB,150.0,238,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
04 Avril,A0384561,1,50.952079,0.733995,Rye,Rye,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Rye,Rye,2638909.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Rye', 'freq': 5}]",0101000020E61000003EAE0D15E37CE73FAC1A84B9DD794940,0101000020110F00004CC1BE31BFF2F340810A475BD5395941,United Kingdom,GB,150.0,238,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
05 Mai,A0384561,1,50.952079,0.733995,Rye,Rye,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Rye,Rye,2638909.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Rye', 'freq': 5}]",0101000020E61000003EAE0D15E37CE73FAC1A84B9DD794940,0101000020110F00004CC1BE31BFF2F340810A475BD5395941,United Kingdom,GB,150.0,238,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
06 Juin,A0384561,1,50.952079,0.733995,Rye,Rye,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Rye,Rye,2638909.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Rye', 'freq': 5}]",0101000020E61000003EAE0D15E37CE73FAC1A84B9DD794940,0101000020110F00004CC1BE31BFF2F340810A475BD5395941,United Kingdom,GB,150.0,238,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
07 Juillet,A0384561,1,50.952079,0.733995,Rye,Rye,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Rye,Rye,2638909.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Rye', 'freq': 5}]",0101000020E61000003EAE0D15E37CE73FAC1A84B9DD794940,0101000020110F00004CC1BE31BFF2F340810A475BD5395941,United Kingdom,GB,150.0,238,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
09 Septembre,A0384561,1,50.952079,0.733995,Rye,Rye,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Rye,Rye,2638909.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Rye', 'freq': 5}]",0101000020E61000003EAE0D15E37CE73FAC1A84B9DD794940,0101000020110F00004CC1BE31BFF2F340810A475BD5395941,United Kingdom,GB,150.0,238,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
11 Novembre,A0384561,1,50.952079,0.733995,Rye,Rye,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Sussex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Rye,Rye,2638909.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Rye', 'freq': 5}]",0101000020E61000003EAE0D15E37CE73FAC1A84B9DD794940,0101000020110F00004CC1BE31BFF2F340810A475BD5395941,United Kingdom,GB,150.0,238,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
06 Juin,A0384802,1,52.333333,1.683333,Southwold,Southwold,NOR-THAM,Grande-Bretagne,Angleterre,Great Britain,England,Suffolk shire,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Southwold,"Southwold,Southwould",2637277.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Southwold', 'freq': 2}, {'topo': 'Southwould', 'freq': 1}]",0101000020E6100000EB707495EEEEFA3FBBD6DEA7AA2A4A40,0101000020110F0000F3B2DD2DDEDF0641704CC68CD32B5A41,United Kingdom,GB,150.0,295,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
 03 Mars,A0386567,2,51.95,1.3,Harwich,Harwich,NOR-THAM,Grande-Bretagne,Angleterre,Great Britain,England,Essex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Harwich,"Harwich,Harwick",2647383.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Harwich', 'freq': 31}, {'topo': 'Harwick', 'freq': 1}]",0101000020E6100000CDCCCCCCCCCCF43F9A99999999F94940,0101000020110F000020BB49B45AAA0141851BDD76ECE75941,United Kingdom,GB,150.0,283,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
01 Janvier,A0386567,1,51.95,1.3,Harwich,Harwich,NOR-THAM,Grande-Bretagne,Angleterre,Great Britain,England,Essex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Harwich,"Harwich,Harwick",2647383.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Harwich', 'freq': 31}, {'topo': 'Harwick', 'freq': 1}]",0101000020E6100000CDCCCCCCCCCCF43F9A99999999F94940,0101000020110F000020BB49B45AAA0141851BDD76ECE75941,United Kingdom,GB,150.0,283,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
04 Avril,A0386567,1,51.95,1.3,Harwich,Harwich,NOR-THAM,Grande-Bretagne,Angleterre,Great Britain,England,Essex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Harwich,"Harwich,Harwick",2647383.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Harwich', 'freq': 31}, {'topo': 'Harwick', 'freq': 1}]",0101000020E6100000CDCCCCCCCCCCF43F9A99999999F94940,0101000020110F000020BB49B45AAA0141851BDD76ECE75941,United Kingdom,GB,150.0,283,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
05 Mai,A0386567,1,51.95,1.3,Harwich,Harwich,NOR-THAM,Grande-Bretagne,Angleterre,Great Britain,England,Essex,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Harwich,"Harwich,Harwick",2647383.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Harwich', 'freq': 31}, {'topo': 'Harwick', 'freq': 1}]",0101000020E6100000CDCCCCCCCCCCF43F9A99999999F94940,0101000020110F000020BB49B45AAA0141851BDD76ECE75941,United Kingdom,GB,150.0,283,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
