month,uhgs_id,count,latitude,longitude,toponyme_standard_fr,toponyme_standard_en,shiparea,state_1789_fr,substate_1789_fr,state_1789_en,substate_1789_en,province,amiraute,has_a_clerk,Nb_conges_1787_CR,nb_conges_1787_inputdone,Nb_conges_1789_CR,nb_conges_1789_inputdone,status,ferme_direction,ferme_bureau,ferme_bureau_uncertainty,partner_balance_1789,partner_balance_supp_1789,partner_balance_1789_uncertainty,partner_balance_supp_1789_uncertainty,toponyme,toustopos,geonameid,relation_state,topofreq,geom,point3857,country2019_name,country2019_iso2code,country2019_region,ogc_fid,belonging_states,belonging_substates,belonging_states_en,belonging_substates_en
05 Mai,A0381991,1,52.75,0.383333,King's Lynn,King's Lynn,NOR-HUMB,Grande-Bretagne,Angleterre,Great Britain,England,Norfolk,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Lynn,"Lil en Angleterre [Lynn],Linn,Lyn en Angleterre,Lynn",6947737.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Lynn', 'freq': 12}, {'topo': 'Lil en Angleterre [Lynn]', 'freq': 1}, {'topo': 'Linn', 'freq': 1}, {'topo': 'Lyn en Angleterre', 'freq': 1}]",0101000020E610000079909E228788D83F0000000000604A40,0101000020110F00004CDF4FE60DD6E440963E20FA4D765A41,United Kingdom,GB,150.0,933,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
 03 Mars,A0382374,1,50.95,0.916667,Lydd,Lydd,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Lydd,Lydd,3167096.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Lydd', 'freq': 2}]",0101000020E61000005D514A085655ED3F9A99999999794940,0101000020110F000099866B75AEE9F840D463038479395941,United Kingdom,GB,150.0,963,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
01 Janvier,A0382374,1,50.95,0.916667,Lydd,Lydd,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Lydd,Lydd,3167096.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Lydd', 'freq': 2}]",0101000020E61000005D514A085655ED3F9A99999999794940,0101000020110F000099866B75AEE9F840D463038479395941,United Kingdom,GB,150.0,963,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
04 Avril,A0382374,1,50.95,0.916667,Lydd,Lydd,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Lydd,Lydd,3167096.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Lydd', 'freq': 2}]",0101000020E61000005D514A085655ED3F9A99999999794940,0101000020110F000099866B75AEE9F840D463038479395941,United Kingdom,GB,150.0,963,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
05 Mai,A0382374,1,50.95,0.916667,Lydd,Lydd,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Lydd,Lydd,3167096.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Lydd', 'freq': 2}]",0101000020E61000005D514A085655ED3F9A99999999794940,0101000020110F000099866B75AEE9F840D463038479395941,United Kingdom,GB,150.0,963,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
07 Juillet,A0382374,2,50.95,0.916667,Lydd,Lydd,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Lydd,Lydd,3167096.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Lydd', 'freq': 2}]",0101000020E61000005D514A085655ED3F9A99999999794940,0101000020110F000099866B75AEE9F840D463038479395941,United Kingdom,GB,150.0,963,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
09 Septembre,A0382374,1,50.95,0.916667,Lydd,Lydd,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Lydd,Lydd,3167096.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Lydd', 'freq': 2}]",0101000020E61000005D514A085655ED3F9A99999999794940,0101000020110F000099866B75AEE9F840D463038479395941,United Kingdom,GB,150.0,963,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
 03 Mars,A0382747,1,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
01 Janvier,A0382747,1,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
04 Avril,A0382747,1,51.133333,1.3,Douvres,Dover,MAN-DOVE,Grande-Bretagne,Angleterre,Great Britain,England,Kent,,,,,,,,,,,Angleterre,Etranger,0.0,0.0,Douvres,Douvres,2651048.0,"{""relationType"" : ""gvp:broaderPartitive"", ""relationTo"" : ""http://www.geonames.org/2635167"", ""label"" : ""Grande-Bretagne"", ""when"" : {""timespans"" : [{""start"" : {""in"" : ""*""}, ""end"" : {""in"" : ""*""}}]}}","[{'topo': 'Douvres', 'freq': 937}]",0101000020E6100000CDCCCCCCCCCCF43F213D450E11914940,0101000020110F000020BB49B45AAA01414AFABE302C595941,United Kingdom,GB,150.0,465,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]","[{""1749-1815"" : ""Great Britain""}]","[{""1749-1815"" : ""England""}]"
