Port de destination,Produit,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
Douvres,Marchandises des Indes,2600,23000,12000,,1800,500,,,,,,
Colchester,Marchandises des Indes,,,,7200,,,,,,,,
Harwich,Marchandises des Indes,,,,,,,24000,,,,,
Eawsand,Marchandises des Indes,18000,,,,,,,,,,,
Folkstone,Marchandises des Indes,,14000,52000,47500,600,26000,24000,27400,,10800,,
Foy,Marchandises des Indes,,,,4800,,,,,,,,
Hastings,Marchandises des Indes,,,,26200,4800,,,,,30000,,12000
Londres,Marchandises des Indes,,,4320,,,,,,,,,
Douvres,Nankins,,,,,,3600,,,,,,4800
Londres,Nankins,,,,,3360,,,,,,,
Douvres,Dentelles,,,,,,5200,,,8000,,,
Londres,Dentelles,,,,,14400,,,,,,,
Hastings,Mousselines,,,,,,,,,,,20000,
Douvres,Mousselines,,,,,,,,,12000,,,
Folkstone,Mousselines,,,,,,,,30000,,,,
Londres,Mousselines,,,,,10840,,,,,,,
Douvres,Soie,,,,,,2400,,,,,,1200
Folkstone,Soie,6200,,,,,,,,36000,2700,,
Hastings,Soie,,,,,,,,,,,12000,
