Port de destination,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
Aberdeen,,,,,,,5000,,,,,
Brightlandsea,200,,,,,,,,,,,
Burnham,300,,,5000,500,,,1500,,6000,,1000
Colchester,3300,2000,,1750,,400,400,300,400,100,200,4000
Deal,800,250,250,2800,1150,3240,200,4700,11200,6100,9400,1495
Douvres,1620,,3500,2800,900,50,2900,2120,4600,4400,6500,
Dungeness,400,1000,,4000,2400,,,4000,4600,4800,,
Falmouth,,,,,,800,,,,,,
Feversham,,,,,,,,,400,,,4300
Folkstone,4690,3400,15200,,5600,5000,2800,7200,,1200,,
Guernezé,,,,,,,,,,,,48700
Harwich,,100,,,,,,,50,,,
Hastings,3700,,,2900,800,3000,4000,,900,,11460,33600
Lee,100,,,300,3400,4000,,3000,200,60,200,8000
Leith,,,,,,,,,,11800,,
Lydd,,5600,,,,,1600,,,,,
Maldon,200,,,6000,,,,,4000,4500,3500,4000
Margate,,,400,150,,,,,,,,
Pegwell,2000,2400,,1000,,2000,,1000,,,,
Reculver,,,,,,500,,,,,,
Ramsay,,,,,,,400,,,,,
Rye,,1800,,1600,2300,2080,800,1440,1210,,6100,
Whistable,25,,120,,,,880,500,300,,,
Winchelsea,,,,,,,,1200,,,,
Woudbridge,,,,2000,,,,,,,,
Yarmouth,,,,,,,,300,,,,
