destination,"01 Janvier","02 Février"," 03 Mars","04 Avril","05 Mai","06 Juin","07 Juillet","08 Août","09 Septembre","10 Octobre","11 Novembre","12 Décembre"
Deal,19,21,14,15,7,11,18,13,17,13,14,22
Douvres,11,11,4,6,6,5,4,5,7,9,7,9
Colchester,9,4,8,7,4,8,7,5,7,8,7,7
Folkestone,9,8,8,7,8,4,6,7,3,6,8,3
Maldon,7,6,8,7,4,3,3,5,4,4,3,6
Whistable,8,5,5,1,2,5,6,5,3,4,2,9
Hasting,6,1,4,6,3,3,3,2,3,3,8,4
Feversham,2,6,1,2,2,2,5,7,2,5,5,7
Harwich,1,2,,1,3,10,12,4,1,1,,
Burnsham,4,2,,4,3,2,3,3,5,3,1,1
Leigh,2,1,1,2,3,5,2,3,2,2,4,3
Rye,,3,1,2,2,2,1,1,2,,3,2
Londres,,,2,2,2,2,5,2,,,,
Dungeness,2,1,,1,1,1,1,2,1,2,,1
Rochester,1,3,4,,,,1,,,2,,
Yarmouth,1,,1,,,1,1,1,1,3,,1
Brightlansea,3,2,2,1,2,,,,,,,
Margate,2,,1,2,1,,,1,,1,,1
Lydd,,1,,2,1,,2,,,,,
Pegwell,1,1,1,1,,1,,1,,,,
Wivenhoe,2,1,2,1,,,,,,,,
Aberdeen,,1,,,1,,1,1,,1,,
Lynn,1,,1,,1,,,1,,,,
Milton,,,,,2,,,1,,,1,
Reculver,,,,,,1,1,,1,,1,
Woodbridge,,,,2,2,,,,,,,
Chichester,,,,,,,,,,,2,1
Dymchurch,,1,,1,,1,,,,,,
Hythe,,1,1,,1,,,,,,,
Barking,1,,,,,,,1,,,,
Foy,,,,1,1,,,,,,,
Guerneze,,,,1,,,,,,,,1
Greenwith,,,,,,1,1,,,,,
Ipswich,,,,,,2,,,,,,
Southwold,,,,,,2,,,,,,
Blacwall,,,,,,,,2,,,,
Eawsand & Chatham,1,,,,,,,,,,,
Gravesand,,,1,,,,,,,,,
Colmay-Falmouth,,,,,,1,,,,,,
Langley-Ramsay,,,,,,,1,,,,,
Winchelsea,,,,,,,,1,,,,
Cowes,,,,,,,,,1,,,
Leith,,,,,,,,,,1,,
Seasalter,,,,,,,,,,,1,
Portsmouth,,,,,,,,,,,,1
