line_number,year,customs_region,partner,product_orthographic,product_simplification,product_revolutionempire,value,quantity,quantity_unit,quantity_unit_orthographic,quantity_unit_metric,unit_price_metric,value_per_unit,product_revolutionempire
402,1787.2,Flandre,Angleterre,tabac en feuilles,feuilles de tabac,Tabac,349000,959782,livres,livres,kg,,"0,363624239671092",Tabac
124,1787.2,Rennes,Angleterre,tabac en feuilles,feuilles de tabac,Tabac,337000,962307,livres,livres,kg,,"0,35020009207041",Tabac
2721,1787,,Angleterre,tabac en feuilles,feuilles de tabac,Tabac,946904,2700000,livres,livres,kg,,"0,350705185185185",Tabac
716,1788,,Angleterre,tabac en feuilles,feuilles de tabac,Tabac,694300,1941000,Livres,livres,kg,,"0,357702215352911",Tabac
,,,,,,national export value 87-88,1641204,,,,,moyenne,"0,3555579330699",
,,,,,,,,,,,,médiane,"0,354203700269048",
