line_number,year,customs_region,partner,product_orthographic,product_simplification,product_revolutionempire,value,quantity,quantity_unit,quantity_unit_orthographic,quantity_unit_metric,unit_price_metric,value_per_unit
3318,1787,,Angleterre,marchandises de colonies françaises de l'Amérique sucre brut,sucre brut,Sucre,3487,11624,livres,livres,kg,,"0,299982794218857"
723,1788,,Angleterre,sucre brut,sucre brut,Sucre,31300,78300,Livres,livres,kg,,"0,399744572158365"
,,,,,,,,,,,,moyenne,"0,349863683188611"
